Time,burger king
2022-08-29,46
2022-08-30,46
2022-08-31,45
2022-09-01,49
2022-09-02,53
2022-09-03,61
2022-09-04,63
2022-09-05,62
2022-09-06,43
2022-09-07,46
2022-09-08,45
2022-09-09,48
2022-09-10,59
2022-09-11,55
2022-09-12,49
2022-09-13,47
2022-09-14,49
2022-09-15,48
2022-09-16,54
2022-09-17,65
2022-09-18,66
2022-09-19,49
2022-09-20,47
2022-09-21,46
2022-09-22,42
2022-09-23,50
2022-09-24,59
2022-09-25,59
2022-09-26,42
2022-09-27,44
2022-09-28,45
2022-09-29,48
2022-09-30,49
2022-10-01,56
2022-10-02,54
2022-10-03,42
2022-10-04,45
2022-10-05,46
2022-10-06,46
2022-10-07,50
2022-10-08,59
2022-10-09,55
2022-10-10,48
2022-10-11,46
2022-10-12,45
2022-10-13,48
2022-10-14,57
2022-10-15,63
2022-10-16,63
2022-10-17,48
2022-10-18,45
2022-10-19,53
2022-10-20,51
2022-10-21,55
2022-10-22,62
2022-10-23,65
2022-10-24,43
2022-10-25,51
2022-10-26,49
2022-10-27,52
2022-10-28,56
2022-10-29,71
2022-10-30,69
2022-10-31,49
2022-11-01,48
2022-11-02,47
2022-11-03,48
2022-11-04,54
2022-11-05,59
2022-11-06,60
2022-11-07,45
2022-11-08,45
2022-11-09,43
2022-11-10,50
2022-11-11,55
2022-11-12,55
2022-11-13,57
2022-11-14,42
2022-11-15,42
2022-11-16,45
2022-11-17,48
2022-11-18,50
2022-11-19,54
2022-11-20,56
2022-11-21,46
2022-11-22,44
2022-11-23,55
2022-11-24,67
2022-11-25,46
2022-11-26,45
2022-11-27,54
2022-11-28,42
2022-11-29,42
2022-11-30,41
2022-12-01,44
2022-12-02,49
2022-12-03,52
2022-12-04,53
2022-12-05,42
2022-12-06,41
2022-12-07,42
2022-12-08,43
2022-12-09,45
2022-12-10,51
2022-12-11,53
2022-12-12,43
2022-12-13,43
2022-12-14,43
2022-12-15,41
2022-12-16,48
2022-12-17,53
2022-12-18,49
2022-12-19,46
2022-12-20,44
2022-12-21,45
2022-12-22,50
2022-12-23,46
2022-12-24,56
2022-12-25,100
2022-12-26,59
2022-12-27,47
2022-12-28,56
2022-12-29,51
2022-12-30,52
2022-12-31,55
2023-01-01,71
2023-01-02,48
2023-01-03,40
2023-01-04,42
2023-01-05,45
2023-01-06,49
2023-01-07,56
2023-01-08,58
2023-01-09,53
2023-01-10,43
2023-01-11,41
2023-01-12,45
2023-01-13,48
2023-01-14,54
2023-01-15,52
2023-01-16,53
2023-01-17,46
2023-01-18,44
2023-01-19,42
2023-01-20,49
2023-01-21,52
2023-01-22,58
2023-01-23,47
2023-01-24,47
2023-01-25,45
2023-01-26,47
2023-01-27,50
2023-01-28,57
2023-01-29,58
2023-01-30,49
2023-01-31,43
2023-02-01,48
2023-02-02,50
2023-02-03,51
2023-02-04,64
2023-02-05,55
2023-02-06,51
2023-02-07,44
2023-02-08,48
2023-02-09,49
2023-02-10,48
2023-02-11,59
2023-02-12,54
2023-02-13,42
2023-02-14,43
2023-02-15,44
2023-02-16,48
2023-02-17,51
2023-02-18,56
2023-02-19,56
2023-02-20,49
2023-02-21,44
2023-02-22,45
2023-02-23,45
2023-02-24,49
2023-02-25,59
2023-02-26,57
2023-02-27,44
2023-02-28,39
2023-03-01,48
2023-03-02,47
2023-03-03,46
2023-03-04,55
2023-03-05,58
2023-03-06,44
2023-03-07,43
2023-03-08,48
2023-03-09,48
2023-03-10,50
2023-03-11,56
2023-03-12,56
2023-03-13,44
2023-03-14,45
2023-03-15,46
2023-03-16,48
2023-03-17,48
2023-03-18,56
2023-03-19,55
2023-03-20,47
2023-03-21,44
2023-03-22,49
2023-03-23,52
2023-03-24,53
2023-03-25,61
2023-03-26,60
2023-03-27,48
2023-03-28,59
2023-03-29,69
2023-03-30,62
2023-03-31,53
2023-04-01,61
2023-04-02,60
2023-04-03,46
2023-04-04,44
2023-04-05,46
2023-04-06,45
2023-04-07,49
2023-04-08,55
2023-04-09,59
2023-04-10,53
2023-04-11,46
2023-04-12,43
2023-04-13,43
2023-04-14,53
2023-04-15,62
2023-04-16,60
2023-04-17,45
2023-04-18,44
2023-04-19,44
2023-04-20,46
2023-04-21,51
2023-04-22,63
2023-04-23,59
2023-04-24,42
2023-04-25,42
2023-04-26,40
2023-04-27,47
2023-04-28,47
2023-04-29,52
2023-04-30,60
2023-05-01,41
2023-05-02,44
2023-05-03,46
2023-05-04,47
2023-05-05,50
2023-05-06,68
2023-05-07,68
2023-05-08,56
2023-05-09,50
2023-05-10,51
2023-05-11,49
2023-05-12,48
2023-05-13,58
2023-05-14,54
2023-05-15,45
2023-05-16,51
2023-05-17,56
2023-05-18,70
2023-05-19,76
2023-05-20,80
2023-05-21,75
2023-05-22,58
2023-05-23,59
2023-05-24,63
2023-05-25,64
