Time,burger king
2023-04-26,41
2023-04-27,48
2023-04-28,48
2023-04-29,53
2023-04-30,61
2023-05-01,42
2023-05-02,45
2023-05-03,47
2023-05-04,48
2023-05-05,51
2023-05-06,69
2023-05-07,69
2023-05-08,57
2023-05-09,51
2023-05-10,52
2023-05-11,50
2023-05-12,49
2023-05-13,59
2023-05-14,56
2023-05-15,46
2023-05-16,52
2023-05-17,57
2023-05-18,71
2023-05-19,78
2023-05-20,82
2023-05-21,77
2023-05-22,59
2023-05-23,61
2023-05-24,64
2023-05-25,66
2023-05-26,71
2023-05-27,78
2023-05-28,80
2023-05-29,82
2023-05-30,54
2023-05-31,59
2023-06-01,64
2023-06-02,64
2023-06-03,75
2023-06-04,74
2023-06-05,56
2023-06-06,54
2023-06-07,56
2023-06-08,57
2023-06-09,57
2023-06-10,63
2023-06-11,63
2023-06-12,51
2023-06-13,51
2023-06-14,51
2023-06-15,55
2023-06-16,58
2023-06-17,59
2023-06-18,61
2023-06-19,55
2023-06-20,50
2023-06-21,50
2023-06-22,52
2023-06-23,56
2023-06-24,60
2023-06-25,63
2023-06-26,53
2023-06-27,49
2023-06-28,49
2023-06-29,53
2023-06-30,60
2023-07-01,64
2023-07-02,61
2023-07-03,54
2023-07-04,65
2023-07-05,51
2023-07-06,49
2023-07-07,53
2023-07-08,59
2023-07-09,58
2023-07-10,48
2023-07-11,50
2023-07-12,63
2023-07-13,70
2023-07-14,70
2023-07-15,67
2023-07-16,69
2023-07-17,56
2023-07-18,52
2023-07-19,54
2023-07-20,57
2023-07-21,58
2023-07-22,61
2023-07-23,63
2023-07-24,52
2023-07-25,52
2023-07-26,51
2023-07-27,52
2023-07-28,54
2023-07-29,58
2023-07-30,59
2023-07-31,49
2023-08-01,48
2023-08-02,51
2023-08-03,52
2023-08-04,52
2023-08-05,55
2023-08-06,57
2023-08-07,50
2023-08-08,50
2023-08-09,50
2023-08-10,49
2023-08-11,48
2023-08-12,51
2023-08-13,63
2023-08-14,48
2023-08-15,49
2023-08-16,48
2023-08-17,54
2023-08-18,58
2023-08-19,62
2023-08-20,60
2023-08-21,51
2023-08-22,54
2023-08-23,51
2023-08-24,49
2023-08-25,50
2023-08-26,54
2023-08-27,61
2023-08-28,48
2023-08-29,46
2023-08-30,52
2023-08-31,60
2023-09-01,61
2023-09-02,55
2023-09-03,55
2023-09-04,57
2023-09-05,44
2023-09-06,41
2023-09-07,47
2023-09-08,46
2023-09-09,55
2023-09-10,57
2023-09-11,42
2023-09-12,43
2023-09-13,45
2023-09-14,45
2023-09-15,48
2023-09-16,56
2023-09-17,56
2023-09-18,81
2023-09-19,53
2023-09-20,47
2023-09-21,45
2023-09-22,48
2023-09-23,52
2023-09-24,56
2023-09-25,46
2023-09-26,46
2023-09-27,47
2023-09-28,46
2023-09-29,53
2023-09-30,60
2023-10-01,58
2023-10-02,43
2023-10-03,44
2023-10-04,46
2023-10-05,47
2023-10-06,49
2023-10-07,55
2023-10-08,56
2023-10-09,45
2023-10-10,42
2023-10-11,43
2023-10-12,46
2023-10-13,48
2023-10-14,57
2023-10-15,57
2023-10-16,47
2023-10-17,45
2023-10-18,46
2023-10-19,51
2023-10-20,57
2023-10-21,59
2023-10-22,57
2023-10-23,46
2023-10-24,44
2023-10-25,48
2023-10-26,45
2023-10-27,49
2023-10-28,54
2023-10-29,58
2023-10-30,44
2023-10-31,49
2023-11-01,49
2023-11-02,47
2023-11-03,47
2023-11-04,58
2023-11-05,58
2023-11-06,43
2023-11-07,44
2023-11-08,45
2023-11-09,48
2023-11-10,49
2023-11-11,58
2023-11-12,54
2023-11-13,41
2023-11-14,41
2023-11-15,45
2023-11-16,46
2023-11-17,49
2023-11-18,57
2023-11-19,53
2023-11-20,45
2023-11-21,45
2023-11-22,51
2023-11-23,70
2023-11-24,44
2023-11-25,46
2023-11-26,52
2023-11-27,40
2023-11-28,41
2023-11-29,48
2023-11-30,42
2023-12-01,46
2023-12-02,54
2023-12-03,51
2023-12-04,41
2023-12-05,43
2023-12-06,40
2023-12-07,44
2023-12-08,49
2023-12-09,55
2023-12-10,55
2023-12-11,42
2023-12-12,43
2023-12-13,47
2023-12-14,48
2023-12-15,48
2023-12-16,55
2023-12-17,54
2023-12-18,45
2023-12-19,45
2023-12-20,53
2023-12-21,46
2023-12-22,55
2023-12-23,59
2023-12-24,64
2023-12-25,100
2023-12-26,61
2023-12-27,51
2023-12-28,51
2023-12-29,55
2023-12-30,56
2023-12-31,58
2024-01-01,67
2024-01-02,50
2024-01-03,55
2024-01-04,58
2024-01-05,53
2024-01-06,51
2024-01-07,51
2024-01-08,40
2024-01-09,39
2024-01-10,42
2024-01-11,41
2024-01-12,44
2024-01-13,49
2024-01-14,45
2024-01-15,42
2024-01-16,39
2024-01-17,46
2024-01-18,44
2024-01-19,41
2024-01-20,53
