Time,burger king
2025-12-11,52
2025-12-12,52
2025-12-13,60
2025-12-14,55
2025-12-15,41
2025-12-16,40
2025-12-17,42
2025-12-18,40
2025-12-19,46
2025-12-20,50
2025-12-21,48
2025-12-22,45
2025-12-23,43
2025-12-24,53
2025-12-25,77
2025-12-26,56
2025-12-27,43
2025-12-28,47
2025-12-29,43
2025-12-30,50
2025-12-31,41
2026-01-01,48
2026-01-02,45
2026-01-03,43
2026-01-04,44
2026-01-05,36
2026-01-06,35
2026-01-07,39
2026-01-08,38
2026-01-09,38
2026-01-10,43
2026-01-11,42
2026-01-12,36
2026-01-13,36
2026-01-14,35
2026-01-15,38
2026-01-16,37
2026-01-17,41
2026-01-18,39
2026-01-19,41
2026-01-20,33
2026-01-21,38
2026-01-22,37
2026-01-23,36
2026-01-24,40
2026-01-25,38
2026-01-26,36
2026-01-27,34
2026-01-28,34
2026-01-29,36
2026-01-30,39
2026-01-31,40
2026-02-01,39
2026-02-02,33
2026-02-03,34
2026-02-04,35
2026-02-05,37
2026-02-06,42
2026-02-07,40
2026-02-08,36
2026-02-09,28
2026-02-10,30
2026-02-11,33
2026-02-12,37
2026-02-13,37
2026-02-14,39
2026-02-15,43
2026-02-16,36
2026-02-17,33
2026-02-18,37
2026-02-19,36
2026-02-20,38
2026-02-21,41
2026-02-22,37
2026-02-23,35
2026-02-24,36
2026-02-25,37
2026-02-26,45
2026-02-27,59
2026-02-28,69
2026-03-01,62
2026-03-02,50
2026-03-03,52
2026-03-04,52
2026-03-05,48
2026-03-06,48
2026-03-07,56
2026-03-08,58
2026-03-09,46
2026-03-10,49
2026-03-11,46
2026-03-12,46
2026-03-13,48
2026-03-14,52
2026-03-15,51
2026-03-16,47
2026-03-17,42
2026-03-18,44
2026-03-19,42
2026-03-20,45
2026-03-21,52
2026-03-22,51
2026-03-23,41
2026-03-24,44
2026-03-25,80
2026-03-26,56
2026-03-27,77
2026-03-28,95
2026-03-29,100
2026-03-30,88
2026-03-31,50
2026-04-01,44
2026-04-02,42
2026-04-03,45
2026-04-04,47
2026-04-05,48
2026-04-06,43
2026-04-07,45
2026-04-08,45
2026-04-09,44
2026-04-10,48
2026-04-11,47
2026-04-12,46
2026-04-13,37
2026-04-14,34
2026-04-15,44
2026-04-16,72
2026-04-17,40
2026-04-18,48
2026-04-19,49
2026-04-20,40
2026-04-21,42
2026-04-22,51
2026-04-23,49
2026-04-24,42
2026-04-25,47
2026-04-26,47
2026-04-27,38
2026-04-28,40
2026-04-29,49
2026-04-30,48
2026-05-01,49
2026-05-02,49
2026-05-03,46
2026-05-04,58
2026-05-05,48
2026-05-06,52
2026-05-07,46
2026-05-08,50
2026-05-09,55
2026-05-10,49
2026-05-11,40
2026-05-12,46
2026-05-13,44
2026-05-14,43
2026-05-15,45
2026-05-16,50
2026-05-17,48
2026-05-18,39
2026-05-19,41
2026-05-20,56
2026-05-21,44
2026-05-22,46
2026-05-23,50
2026-05-24,50
2026-05-25,49
2026-05-26,42
2026-05-27,51
2026-05-28,48
2026-05-29,46
2026-05-30,56
2026-05-31,61
