Time,burger king
2023-12-22,55
2023-12-23,59
2023-12-24,64
2023-12-25,100
2023-12-26,61
2023-12-27,51
2023-12-28,51
2023-12-29,55
2023-12-30,56
2023-12-31,58
2024-01-01,67
2024-01-02,50
2024-01-03,55
2024-01-04,58
2024-01-05,53
2024-01-06,51
2024-01-07,51
2024-01-08,40
2024-01-09,39
2024-01-10,42
2024-01-11,41
2024-01-12,44
2024-01-13,49
2024-01-14,45
2024-01-15,42
2024-01-16,39
2024-01-17,46
2024-01-18,44
2024-01-19,41
2024-01-20,53
2024-01-21,45
2024-01-22,42
2024-01-23,45
2024-01-24,45
2024-01-25,46
2024-01-26,46
2024-01-27,53
2024-01-28,52
2024-01-29,54
2024-01-30,63
2024-01-31,55
2024-02-01,46
2024-02-02,48
2024-02-03,53
2024-02-04,50
2024-02-05,43
2024-02-06,47
2024-02-07,47
2024-02-08,48
2024-02-09,45
2024-02-10,57
2024-02-11,51
2024-02-12,39
2024-02-13,42
2024-02-14,42
2024-02-15,44
2024-02-16,50
2024-02-17,50
2024-02-18,52
2024-02-19,45
2024-02-20,47
2024-02-21,43
2024-02-22,43
2024-02-23,45
2024-02-24,51
2024-02-25,52
2024-02-26,42
2024-02-27,40
2024-02-28,44
2024-02-29,50
2024-03-01,56
2024-03-02,64
2024-03-03,59
2024-03-04,46
2024-03-05,41
2024-03-06,40
2024-03-07,43
2024-03-08,47
2024-03-09,51
2024-03-10,54
2024-03-11,49
2024-03-12,49
2024-03-13,56
2024-03-14,55
2024-03-15,51
2024-03-16,52
2024-03-17,55
2024-03-18,44
2024-03-19,43
2024-03-20,44
2024-03-21,42
2024-03-22,46
2024-03-23,50
2024-03-24,56
2024-03-25,41
2024-03-26,43
2024-03-27,46
2024-03-28,46
2024-03-29,49
2024-03-30,51
2024-03-31,55
2024-04-01,45
2024-04-02,42
2024-04-03,45
2024-04-04,45
2024-04-05,47
2024-04-06,55
2024-04-07,53
2024-04-08,45
2024-04-09,43
2024-04-10,44
2024-04-11,45
2024-04-12,47
2024-04-13,53
2024-04-14,52
2024-04-15,44
2024-04-16,45
2024-04-17,44
2024-04-18,44
2024-04-19,47
2024-04-20,60
2024-04-21,56
2024-04-22,43
2024-04-23,42
2024-04-24,46
2024-04-25,46
2024-04-26,46
2024-04-27,54
2024-04-28,56
2024-04-29,47
2024-04-30,41
2024-05-01,43
2024-05-02,47
2024-05-03,48
2024-05-04,55
2024-05-05,52
2024-05-06,41
2024-05-07,40
2024-05-08,40
2024-05-09,58
2024-05-10,61
2024-05-11,60
2024-05-12,55
2024-05-13,43
2024-05-14,43
2024-05-15,47
2024-05-16,46
2024-05-17,54
2024-05-18,57
2024-05-19,61
2024-05-20,47
2024-05-21,48
2024-05-22,48
2024-05-23,52
2024-05-24,60
2024-05-25,58
2024-05-26,59
2024-05-27,58
2024-05-28,54
2024-05-29,58
2024-05-30,56
2024-05-31,54
2024-06-01,64
2024-06-02,61
2024-06-03,52
2024-06-04,54
2024-06-05,50
2024-06-06,53
2024-06-07,54
2024-06-08,57
2024-06-09,55
2024-06-10,47
2024-06-11,46
2024-06-12,48
2024-06-13,50
2024-06-14,53
2024-06-15,55
2024-06-16,55
2024-06-17,50
2024-06-18,49
2024-06-19,51
2024-06-20,48
2024-06-21,54
2024-06-22,59
2024-06-23,54
2024-06-24,47
2024-06-25,45
2024-06-26,50
2024-06-27,51
2024-06-28,53
2024-06-29,58
2024-06-30,59
2024-07-01,51
2024-07-02,51
2024-07-03,51
2024-07-04,61
2024-07-05,57
2024-07-06,54
2024-07-07,55
2024-07-08,47
2024-07-09,48
2024-07-10,48
2024-07-11,48
2024-07-12,52
2024-07-13,54
2024-07-14,54
2024-07-15,46
2024-07-16,45
2024-07-17,48
2024-07-18,53
2024-07-19,55
2024-07-20,60
2024-07-21,57
2024-07-22,48
2024-07-23,48
2024-07-24,48
2024-07-25,52
2024-07-26,58
2024-07-27,59
2024-07-28,55
2024-07-29,47
2024-07-30,50
2024-07-31,49
2024-08-01,49
2024-08-02,49
2024-08-03,55
2024-08-04,56
2024-08-05,45
2024-08-06,44
2024-08-07,48
2024-08-08,45
2024-08-09,48
2024-08-10,49
2024-08-11,55
2024-08-12,46
2024-08-13,43
2024-08-14,45
2024-08-15,45
2024-08-16,47
2024-08-17,53
2024-08-18,51
2024-08-19,49
2024-08-20,44
2024-08-21,42
2024-08-22,48
2024-08-23,51
2024-08-24,54
2024-08-25,55
2024-08-26,41
2024-08-27,44
2024-08-28,42
2024-08-29,46
2024-08-30,47
2024-08-31,56
2024-09-01,54
2024-09-02,52
2024-09-03,39
2024-09-04,41
2024-09-05,44
2024-09-06,43
2024-09-07,51
2024-09-08,51
2024-09-09,42
2024-09-10,40
2024-09-11,39
2024-09-12,44
2024-09-13,41
2024-09-14,53
2024-09-15,48
2024-09-16,40
