Time,nba games
2025-04-15,23
2025-04-16,41
2025-04-17,38
2025-04-18,29
2025-04-19,82
2025-04-20,93
2025-04-21,55
2025-04-22,66
2025-04-23,60
2025-04-24,53
2025-04-25,50
2025-04-26,78
2025-04-27,89
2025-04-28,49
2025-04-29,62
2025-04-30,63
2025-05-01,65
2025-05-02,56
2025-05-03,69
2025-05-04,75
2025-05-05,56
2025-05-06,60
2025-05-07,59
2025-05-08,61
2025-05-09,62
2025-05-10,100
2025-05-11,97
2025-05-12,57
2025-05-13,67
2025-05-14,64
2025-05-15,67
2025-05-16,56
2025-05-17,71
2025-05-18,68
2025-05-19,31
2025-05-20,33
2025-05-21,49
2025-05-22,48
2025-05-23,48
2025-05-24,56
2025-05-25,63
2025-05-26,60
2025-05-27,50
2025-05-28,44
2025-05-29,43
2025-05-30,38
2025-05-31,29
2025-06-01,44
2025-06-02,11
2025-06-03,11
2025-06-04,10
2025-06-05,15
2025-06-06,35
2025-06-07,16
2025-06-08,23
2025-06-09,28
2025-06-10,13
2025-06-11,16
2025-06-12,29
2025-06-13,14
2025-06-14,33
2025-06-15,17
2025-06-16,14
2025-06-17,29
2025-06-18,12
2025-06-19,15
2025-06-20,33
2025-06-21,9
2025-06-22,17
2025-06-23,28
2025-06-24,3
2025-06-25,3
2025-06-26,3
2025-06-27,2
2025-06-28,2
2025-06-29,2
2025-06-30,2
2025-07-01,2
2025-07-02,2
2025-07-03,2
2025-07-04,2
2025-07-05,3
2025-07-06,3
2025-07-07,2
2025-07-08,2
2025-07-09,2
2025-07-10,2
2025-07-11,3
2025-07-12,3
2025-07-13,2
2025-07-14,2
2025-07-15,2
2025-07-16,2
2025-07-17,2
2025-07-18,2
2025-07-19,2
2025-07-20,2
2025-07-21,2
2025-07-22,2
2025-07-23,1
2025-07-24,1
2025-07-25,1
2025-07-26,2
2025-07-27,2
2025-07-28,1
2025-07-29,2
2025-07-30,2
2025-07-31,2
2025-08-01,2
2025-08-02,1
2025-08-03,1
2025-08-04,1
2025-08-05,1
2025-08-06,1
2025-08-07,1
2025-08-08,2
2025-08-09,2
2025-08-10,2
2025-08-11,1
2025-08-12,1
2025-08-13,1
2025-08-14,2
2025-08-15,2
2025-08-16,2
2025-08-17,1
2025-08-18,1
2025-08-19,1
2025-08-20,1
2025-08-21,1
2025-08-22,1
2025-08-23,1
2025-08-24,1
2025-08-25,1
2025-08-26,1
2025-08-27,1
2025-08-28,1
2025-08-29,1
2025-08-30,1
2025-08-31,1
2025-09-01,1
2025-09-02,1
2025-09-03,1
2025-09-04,1
2025-09-05,1
2025-09-06,2
2025-09-07,2
2025-09-08,1
2025-09-09,1
2025-09-10,1
2025-09-11,1
2025-09-12,1
2025-09-13,1
2025-09-14,1
2025-09-15,1
2025-09-16,1
2025-09-17,1
2025-09-18,1
2025-09-19,1
2025-09-20,1
2025-09-21,2
2025-09-22,1
2025-09-23,1
2025-09-24,1
2025-09-25,1
2025-09-26,1
2025-09-27,1
2025-09-28,2
2025-09-29,1
2025-09-30,2
2025-10-01,2
2025-10-02,3
2025-10-03,3
2025-10-04,4
2025-10-05,4
2025-10-06,5
2025-10-07,5
2025-10-08,4
2025-10-09,5
2025-10-10,5
2025-10-11,5
2025-10-12,5
2025-10-13,5
2025-10-14,5
2025-10-15,7
2025-10-16,6
2025-10-17,5
2025-10-18,6
2025-10-19,5
2025-10-20,5
2025-10-21,19
2025-10-22,41
2025-10-23,34
2025-10-24,30
2025-10-25,33
2025-10-26,27
2025-10-27,18
2025-10-28,24
2025-10-29,23
2025-10-30,21
2025-10-31,18
2025-11-01,23
2025-11-02,18
2025-11-03,14
2025-11-04,18
2025-11-05,18
2025-11-06,22
2025-11-07,15
2025-11-08,22
2025-11-09,17
2025-11-10,13
2025-11-11,17
2025-11-12,17
2025-11-13,18
2025-11-14,13
2025-11-15,21
2025-11-16,17
2025-11-17,13
2025-11-18,15
2025-11-19,18
2025-11-20,17
2025-11-21,14
2025-11-22,21
2025-11-23,17
2025-11-24,14
2025-11-25,15
2025-11-26,19
2025-11-27,20
2025-11-28,14
2025-11-29,22
2025-11-30,17
2025-12-01,13
2025-12-02,15
2025-12-03,14
2025-12-04,15
2025-12-05,14
2025-12-06,17
2025-12-07,15
2025-12-08,12
2025-12-09,13
2025-12-10,13
2025-12-11,15
2025-12-12,14
2025-12-13,19
2025-12-14,17
2025-12-15,12
2025-12-16,14
2025-12-17,15
2025-12-18,13
2025-12-19,16
2025-12-20,16
2025-12-21,17
2025-12-22,12
2025-12-23,16
2025-12-24,24
2025-12-25,43
2025-12-26,26
2025-12-27,20
2025-12-28,16
2025-12-29,13
2025-12-30,15
2025-12-31,18
2026-01-01,18
2026-01-02,15
2026-01-03,18
2026-01-04,16
2026-01-05,12
2026-01-06,14
2026-01-07,13
2026-01-08,15
2026-01-09,13
