Time,nba games
2022-01-01,27
2022-01-02,29
2022-01-03,19
2022-01-04,27
2022-01-05,25
2022-01-06,22
2022-01-07,23
2022-01-08,31
2022-01-09,31
2022-01-10,27
2022-01-11,21
2022-01-12,24
2022-01-13,26
2022-01-14,20
2022-01-15,28
2022-01-16,25
2022-01-17,23
2022-01-18,20
2022-01-19,19
2022-01-20,22
2022-01-21,22
2022-01-22,28
2022-01-23,24
2022-01-24,24
2022-01-25,18
2022-01-26,24
2022-01-27,21
2022-01-28,23
2022-01-29,29
2022-01-30,31
2022-01-31,19
2022-02-01,21
2022-02-02,22
2022-02-03,24
2022-02-04,24
2022-02-05,26
2022-02-06,31
2022-02-07,21
2022-02-08,23
2022-02-09,23
2022-02-10,22
2022-02-11,25
2022-02-12,28
2022-02-13,27
2022-02-14,13
2022-02-15,27
2022-02-16,22
2022-02-17,28
2022-02-18,23
2022-02-19,14
2022-02-20,11
2022-02-21,14
2022-02-22,9
2022-02-23,10
2022-02-24,12
2022-02-25,22
2022-02-26,27
2022-02-27,33
2022-02-28,21
2022-03-01,20
2022-03-02,20
2022-03-03,23
2022-03-04,23
2022-03-05,24
2022-03-06,34
2022-03-07,21
2022-03-08,23
2022-03-09,22
2022-03-10,24
2022-03-11,24
2022-03-12,28
2022-03-13,35
2022-03-14,19
2022-03-15,27
2022-03-16,23
2022-03-17,24
2022-03-18,18
2022-03-19,28
2022-03-20,28
2022-03-21,20
2022-03-22,21
2022-03-23,23
2022-03-24,23
2022-03-25,19
2022-03-26,24
2022-03-27,32
2022-03-28,20
2022-03-29,21
2022-03-30,25
2022-03-31,23
2022-04-01,24
2022-04-02,34
2022-04-03,40
2022-04-04,22
2022-04-05,17
2022-04-06,28
2022-04-07,21
2022-04-08,22
2022-04-09,28
2022-04-10,35
2022-04-11,26
2022-04-12,21
2022-04-13,38
2022-04-14,35
2022-04-15,26
2022-04-16,74
2022-04-17,94
2022-04-18,54
2022-04-19,60
2022-04-20,55
2022-04-21,56
2022-04-22,60
2022-04-23,89
2022-04-24,99
2022-04-25,57
2022-04-26,61
2022-04-27,57
2022-04-28,54
2022-04-29,57
2022-04-30,66
2022-05-01,80
2022-05-02,35
2022-05-03,52
2022-05-04,54
2022-05-05,57
2022-05-06,52
2022-05-07,80
2022-05-08,92
2022-05-09,48
2022-05-10,58
2022-05-11,52
2022-05-12,60
2022-05-13,63
2022-05-14,100
2022-05-15,100
2022-05-16,54
2022-05-17,37
2022-05-18,53
2022-05-19,49
2022-05-20,49
2022-05-21,67
2022-05-22,71
2022-05-23,50
2022-05-24,47
2022-05-25,48
2022-05-26,44
2022-05-27,47
2022-05-28,51
2022-05-29,39
2022-05-30,51
2022-05-31,12
2022-06-01,12
2022-06-02,19
2022-06-03,38
2022-06-04,18
2022-06-05,30
2022-06-06,31
2022-06-07,14
2022-06-08,21
2022-06-09,35
2022-06-10,19
2022-06-11,41
2022-06-12,22
2022-06-13,19
2022-06-14,36
2022-06-15,15
2022-06-16,20
2022-06-17,32
2022-06-18,4
2022-06-19,3
2022-06-20,3
2022-06-21,2
2022-06-22,2
2022-06-23,3
2022-06-24,2
2022-06-25,2
2022-06-26,2
2022-06-27,2
2022-06-28,2
2022-06-29,2
2022-06-30,2
2022-07-01,2
2022-07-02,3
2022-07-03,3
2022-07-04,2
2022-07-05,2
2022-07-06,3
2022-07-07,2
2022-07-08,3
2022-07-09,3
2022-07-10,3
2022-07-11,3
2022-07-12,2
2022-07-13,2
2022-07-14,2
2022-07-15,2
2022-07-16,2
2022-07-17,2
2022-07-18,2
2022-07-19,2
2022-07-20,1
2022-07-21,1
2022-07-22,1
2022-07-23,1
2022-07-24,1
2022-07-25,1
2022-07-26,1
2022-07-27,1
2022-07-28,1
2022-07-29,1
2022-07-30,1
2022-07-31,1
2022-08-01,1
2022-08-02,1
2022-08-03,1
2022-08-04,1
2022-08-05,2
2022-08-06,1
2022-08-07,2
2022-08-08,1
2022-08-09,1
2022-08-10,1
2022-08-11,1
2022-08-12,1
2022-08-13,2
2022-08-14,3
2022-08-15,3
2022-08-16,2
2022-08-17,2
2022-08-18,3
2022-08-19,2
2022-08-20,2
2022-08-21,2
2022-08-22,1
2022-08-23,2
2022-08-24,2
2022-08-25,1
2022-08-26,1
2022-08-27,1
2022-08-28,2
2022-08-29,1
2022-08-30,1
2022-08-31,2
2022-09-01,2
2022-09-02,2
2022-09-03,2
2022-09-04,2
2022-09-05,2
2022-09-06,2
2022-09-07,2
2022-09-08,2
2022-09-09,2
2022-09-10,2
2022-09-11,2
2022-09-12,2
2022-09-13,2
2022-09-14,2
2022-09-15,2
2022-09-16,2
2022-09-17,2
2022-09-18,2
2022-09-19,2
2022-09-20,2
2022-09-21,2
2022-09-22,2
2022-09-23,2
2022-09-24,2
2022-09-25,2
2022-09-26,2
2022-09-27,2
