Time,miami heat
2025-04-15,15
2025-04-16,37
2025-04-17,79
2025-04-18,46
2025-04-19,100
2025-04-20,62
2025-04-21,56
2025-04-22,19
2025-04-23,34
2025-04-24,58
2025-04-25,16
2025-04-26,58
2025-04-27,23
2025-04-28,35
2025-04-29,82
2025-04-30,18
2025-05-01,14
2025-05-02,11
2025-05-03,11
2025-05-04,16
2025-05-05,12
2025-05-06,9
2025-05-07,10
2025-05-08,9
2025-05-09,10
2025-05-10,12
2025-05-11,10
2025-05-12,12
2025-05-13,13
2025-05-14,10
2025-05-15,9
2025-05-16,9
2025-05-17,9
2025-05-18,10
2025-05-19,9
2025-05-20,8
2025-05-21,9
2025-05-22,9
2025-05-23,9
2025-05-24,8
2025-05-25,9
2025-05-26,9
2025-05-27,8
2025-05-28,8
2025-05-29,9
2025-05-30,9
2025-05-31,8
2025-06-01,9
2025-06-02,8
2025-06-03,9
2025-06-04,8
2025-06-05,9
2025-06-06,10
2025-06-07,9
2025-06-08,9
2025-06-09,9
2025-06-10,8
2025-06-11,7
2025-06-12,8
2025-06-13,10
2025-06-14,12
2025-06-15,15
2025-06-16,13
2025-06-17,13
2025-06-18,13
2025-06-19,12
2025-06-20,13
2025-06-21,13
2025-06-22,21
2025-06-23,17
2025-06-24,18
2025-06-25,20
2025-06-26,34
2025-06-27,22
2025-06-28,17
2025-06-29,18
2025-06-30,19
2025-07-01,28
2025-07-02,25
2025-07-03,20
2025-07-04,20
2025-07-05,24
2025-07-06,21
2025-07-07,27
2025-07-08,20
2025-07-09,17
2025-07-10,16
2025-07-11,18
2025-07-12,14
2025-07-13,15
2025-07-14,16
2025-07-15,17
2025-07-16,12
2025-07-17,17
2025-07-18,13
2025-07-19,13
2025-07-20,14
2025-07-21,11
2025-07-22,12
2025-07-23,11
2025-07-24,11
2025-07-25,10
2025-07-26,10
2025-07-27,12
2025-07-28,10
2025-07-29,10
2025-07-30,13
2025-07-31,12
2025-08-01,10
2025-08-02,10
2025-08-03,11
2025-08-04,8
2025-08-05,9
2025-08-06,10
2025-08-07,8
2025-08-08,9
2025-08-09,9
2025-08-10,8
2025-08-11,8
2025-08-12,9
2025-08-13,8
2025-08-14,10
2025-08-15,13
2025-08-16,9
2025-08-17,9
2025-08-18,9
2025-08-19,9
2025-08-20,9
2025-08-21,8
2025-08-22,8
2025-08-23,7
2025-08-24,8
2025-08-25,7
2025-08-26,8
2025-08-27,7
2025-08-28,8
2025-08-29,9
2025-08-30,8
2025-08-31,8
2025-09-01,8
2025-09-02,7
2025-09-03,8
2025-09-04,7
2025-09-05,6
2025-09-06,7
2025-09-07,7
2025-09-08,6
2025-09-09,6
2025-09-10,6
2025-09-11,6
2025-09-12,6
2025-09-13,7
2025-09-14,8
2025-09-15,7
2025-09-16,6
2025-09-17,8
2025-09-18,7
2025-09-19,7
2025-09-20,7
2025-09-21,5
2025-09-22,6
2025-09-23,7
2025-09-24,8
2025-09-25,7
2025-09-26,6
2025-09-27,8
2025-09-28,6
2025-09-29,8
2025-09-30,7
2025-10-01,7
2025-10-02,8
2025-10-03,7
2025-10-04,10
2025-10-05,14
2025-10-06,11
2025-10-07,15
2025-10-08,13
2025-10-09,17
2025-10-10,10
2025-10-11,11
2025-10-12,14
2025-10-13,15
2025-10-14,12
2025-10-15,11
2025-10-16,11
2025-10-17,13
2025-10-18,18
2025-10-19,11
2025-10-20,10
2025-10-21,13
2025-10-22,33
2025-10-23,47
2025-10-24,25
2025-10-25,38
2025-10-26,37
2025-10-27,30
2025-10-28,33
2025-10-29,41
2025-10-30,29
2025-10-31,40
2025-11-01,17
2025-11-02,21
2025-11-03,45
2025-11-04,34
2025-11-05,20
2025-11-06,44
2025-11-07,24
2025-11-08,48
2025-11-09,38
2025-11-10,23
2025-11-11,49
2025-11-12,27
2025-11-13,35
2025-11-14,25
2025-11-15,42
2025-11-16,17
2025-11-17,20
2025-11-18,38
2025-11-19,26
2025-11-20,42
2025-11-21,22
2025-11-22,38
2025-11-23,38
2025-11-24,28
2025-11-25,42
2025-11-26,29
2025-11-27,45
2025-11-28,18
2025-11-29,31
2025-11-30,45
2025-12-01,19
2025-12-02,34
2025-12-03,24
2025-12-04,38
2025-12-05,25
2025-12-06,39
2025-12-07,28
2025-12-08,16
2025-12-09,41
2025-12-10,42
2025-12-11,15
2025-12-12,15
2025-12-13,15
2025-12-14,15
2025-12-15,20
2025-12-16,29
2025-12-17,15
2025-12-18,17
2025-12-19,31
2025-12-20,32
2025-12-21,23
2025-12-22,23
2025-12-23,18
2025-12-24,24
2025-12-25,14
2025-12-26,26
2025-12-27,33
2025-12-28,29
2025-12-29,20
2025-12-30,30
2025-12-31,15
2026-01-01,23
2026-01-02,33
2026-01-03,34
2026-01-04,31
2026-01-05,19
2026-01-06,20
2026-01-07,31
2026-01-08,22
2026-01-09,70
