Time,amazon prime video
2025-04-15,43
2025-04-16,43
2025-04-17,46
2025-04-18,46
2025-04-19,46
2025-04-20,50
2025-04-21,44
2025-04-22,43
2025-04-23,42
2025-04-24,43
2025-04-25,47
2025-04-26,49
2025-04-27,50
2025-04-28,43
2025-04-29,43
2025-04-30,43
2025-05-01,43
2025-05-02,45
2025-05-03,48
2025-05-04,51
2025-05-05,43
2025-05-06,46
2025-05-07,45
2025-05-08,41
2025-05-09,47
2025-05-10,43
2025-05-11,43
2025-05-12,44
2025-05-13,43
2025-05-14,44
2025-05-15,45
2025-05-16,47
2025-05-17,43
2025-05-18,46
2025-05-19,49
2025-05-20,48
2025-05-21,47
2025-05-22,54
2025-05-23,51
2025-05-24,47
2025-05-25,57
2025-05-26,55
2025-05-27,47
2025-05-28,44
2025-05-29,50
2025-05-30,46
2025-05-31,44
2025-06-01,54
2025-06-02,57
2025-06-03,47
2025-06-04,46
2025-06-05,44
2025-06-06,45
2025-06-07,46
2025-06-08,52
2025-06-09,47
2025-06-10,41
2025-06-11,42
2025-06-12,41
2025-06-13,42
2025-06-14,45
2025-06-15,52
2025-06-16,43
2025-06-17,47
2025-06-18,44
2025-06-19,46
2025-06-20,44
2025-06-21,49
2025-06-22,50
2025-06-23,43
2025-06-24,42
2025-06-25,41
2025-06-26,45
2025-06-27,41
2025-06-28,48
2025-06-29,48
2025-06-30,42
2025-07-01,41
2025-07-02,39
2025-07-03,43
2025-07-04,46
2025-07-05,47
2025-07-06,54
2025-07-07,46
2025-07-08,40
2025-07-09,41
2025-07-10,43
2025-07-11,44
2025-07-12,50
2025-07-13,53
2025-07-14,48
2025-07-15,50
2025-07-16,67
2025-07-17,78
2025-07-18,59
2025-07-19,76
2025-07-20,80
2025-07-21,67
2025-07-22,56
2025-07-23,64
2025-07-24,63
2025-07-25,61
2025-07-26,64
2025-07-27,66
2025-07-28,56
2025-07-29,66
2025-07-30,94
2025-07-31,87
2025-08-01,65
2025-08-02,52
2025-08-03,56
2025-08-04,49
2025-08-05,52
2025-08-06,66
2025-08-07,63
2025-08-08,57
2025-08-09,61
2025-08-10,63
2025-08-11,51
2025-08-12,47
2025-08-13,61
2025-08-14,63
2025-08-15,53
2025-08-16,51
2025-08-17,55
2025-08-18,47
2025-08-19,47
2025-08-20,66
2025-08-21,66
2025-08-22,60
2025-08-23,58
2025-08-24,60
2025-08-25,51
2025-08-26,47
2025-08-27,72
2025-08-28,66
2025-08-29,58
2025-08-30,54
2025-08-31,56
2025-09-01,61
2025-09-02,52
2025-09-03,66
2025-09-04,64
2025-09-05,56
2025-09-06,52
2025-09-07,53
2025-09-08,50
2025-09-09,44
2025-09-10,60
2025-09-11,74
2025-09-12,100
2025-09-13,53
2025-09-14,53
2025-09-15,47
2025-09-16,50
2025-09-17,75
2025-09-18,75
2025-09-19,90
2025-09-20,62
2025-09-21,65
2025-09-22,53
2025-09-23,48
2025-09-24,46
2025-09-25,53
2025-09-26,77
2025-09-27,54
2025-09-28,50
2025-09-29,46
2025-09-30,44
2025-10-01,45
2025-10-02,48
2025-10-03,71
2025-10-04,45
2025-10-05,49
2025-10-06,44
2025-10-07,44
2025-10-08,44
2025-10-09,48
2025-10-10,71
2025-10-11,43
2025-10-12,50
2025-10-13,45
2025-10-14,44
2025-10-15,48
2025-10-16,49
2025-10-17,73
2025-10-18,45
2025-10-19,47
2025-10-20,48
2025-10-21,41
2025-10-22,43
2025-10-23,48
2025-10-24,68
2025-10-25,53
2025-10-26,52
2025-10-27,43
2025-10-28,41
2025-10-29,44
2025-10-30,56
2025-10-31,79
2025-11-01,56
2025-11-02,53
2025-11-03,46
2025-11-04,43
2025-11-05,45
2025-11-06,46
2025-11-07,67
2025-11-08,54
2025-11-09,50
2025-11-10,46
2025-11-11,44
2025-11-12,46
2025-11-13,48
2025-11-14,68
2025-11-15,55
2025-11-16,54
2025-11-17,45
2025-11-18,44
2025-11-19,48
2025-11-20,50
2025-11-21,70
2025-11-22,55
2025-11-23,54
2025-11-24,46
2025-11-25,48
2025-11-26,50
2025-11-27,49
2025-11-28,76
2025-11-29,57
2025-11-30,58
2025-12-01,49
2025-12-02,46
2025-12-03,42
2025-12-04,47
2025-12-05,70
2025-12-06,56
2025-12-07,57
2025-12-08,46
2025-12-09,46
2025-12-10,47
2025-12-11,50
2025-12-12,63
2025-12-13,52
2025-12-14,59
2025-12-15,45
2025-12-16,47
2025-12-17,63
2025-12-18,65
2025-12-19,88
2025-12-20,54
2025-12-21,53
2025-12-22,49
2025-12-23,51
2025-12-24,55
2025-12-25,62
2025-12-26,69
2025-12-27,55
2025-12-28,56
2025-12-29,49
2025-12-30,47
2025-12-31,49
2026-01-01,53
2026-01-02,49
2026-01-03,52
2026-01-04,52
2026-01-05,42
2026-01-06,41
2026-01-07,43
2026-01-08,41
2026-01-09,46
