Time,amazon prime video
2025-12-11,51
2025-12-12,64
2025-12-13,53
2025-12-14,60
2025-12-15,46
2025-12-16,47
2025-12-17,65
2025-12-18,66
2025-12-19,90
2025-12-20,55
2025-12-21,54
2025-12-22,50
2025-12-23,52
2025-12-24,56
2025-12-25,63
2025-12-26,70
2025-12-27,56
2025-12-28,57
2025-12-29,50
2025-12-30,48
2025-12-31,49
2026-01-01,54
2026-01-02,50
2026-01-03,53
2026-01-04,53
2026-01-05,43
2026-01-06,42
2026-01-07,44
2026-01-08,42
2026-01-09,46
2026-01-10,54
2026-01-11,100
2026-01-12,42
2026-01-13,42
2026-01-14,44
2026-01-15,45
2026-01-16,46
2026-01-17,51
2026-01-18,58
2026-01-19,47
2026-01-20,42
2026-01-21,45
2026-01-22,44
2026-01-23,47
2026-01-24,60
2026-01-25,66
2026-01-26,52
2026-01-27,46
2026-01-28,46
2026-01-29,43
2026-01-30,45
2026-01-31,54
2026-02-01,61
2026-02-02,44
2026-02-03,41
2026-02-04,46
2026-02-05,40
2026-02-06,40
2026-02-07,50
2026-02-08,51
2026-02-09,36
2026-02-10,38
2026-02-11,40
2026-02-12,36
2026-02-13,42
2026-02-14,42
2026-02-15,53
2026-02-16,43
2026-02-17,39
2026-02-18,39
2026-02-19,37
2026-02-20,41
2026-02-21,47
2026-02-22,48
2026-02-23,43
2026-02-24,40
2026-02-25,37
2026-02-26,38
2026-02-27,41
2026-02-28,42
2026-03-01,46
2026-03-02,40
2026-03-03,41
2026-03-04,38
2026-03-05,43
2026-03-06,43
2026-03-07,45
2026-03-08,49
2026-03-09,38
2026-03-10,37
2026-03-11,37
2026-03-12,38
2026-03-13,45
2026-03-14,51
2026-03-15,51
2026-03-16,40
2026-03-17,42
2026-03-18,55
2026-03-19,53
2026-03-20,47
2026-03-21,48
2026-03-22,51
2026-03-23,45
2026-03-24,43
2026-03-25,47
2026-03-26,44
2026-03-27,43
2026-03-28,47
2026-03-29,47
2026-03-30,36
2026-03-31,42
2026-04-01,44
2026-04-02,49
2026-04-03,48
2026-04-04,48
2026-04-05,47
2026-04-06,49
2026-04-07,47
2026-04-08,53
2026-04-09,56
2026-04-10,55
2026-04-11,56
2026-04-12,50
2026-04-13,42
2026-04-14,43
2026-04-15,58
2026-04-16,56
2026-04-17,51
2026-04-18,69
2026-04-19,58
2026-04-20,44
2026-04-21,44
2026-04-22,55
2026-04-23,54
2026-04-24,54
2026-04-25,58
2026-04-26,49
2026-04-27,45
2026-04-28,42
2026-04-29,47
2026-04-30,44
2026-05-01,45
2026-05-02,55
2026-05-03,49
2026-05-04,40
2026-05-05,40
2026-05-06,47
2026-05-07,49
2026-05-08,53
2026-05-09,55
2026-05-10,46
2026-05-11,40
2026-05-12,49
2026-05-13,55
2026-05-14,57
2026-05-15,58
2026-05-16,62
2026-05-17,60
2026-05-18,60
2026-05-19,53
2026-05-20,65
2026-05-21,61
2026-05-22,55
2026-05-23,58
2026-05-24,69
2026-05-25,61
2026-05-26,51
2026-05-27,51
2026-05-28,51
2026-05-29,53
2026-05-30,54
2026-05-31,55
