Time,amazon prime video
2023-04-26,52
2023-04-27,53
2023-04-28,56
2023-04-29,61
2023-04-30,66
2023-05-01,55
2023-05-02,51
2023-05-03,53
2023-05-04,51
2023-05-05,53
2023-05-06,59
2023-05-07,54
2023-05-08,54
2023-05-09,51
2023-05-10,52
2023-05-11,51
2023-05-12,58
2023-05-13,58
2023-05-14,65
2023-05-15,60
2023-05-16,57
2023-05-17,57
2023-05-18,60
2023-05-19,64
2023-05-20,60
2023-05-21,59
2023-05-22,57
2023-05-23,56
2023-05-24,58
2023-05-25,58
2023-05-26,60
2023-05-27,61
2023-05-28,60
2023-05-29,65
2023-05-30,56
2023-05-31,54
2023-06-01,54
2023-06-02,60
2023-06-03,64
2023-06-04,68
2023-06-05,60
2023-06-06,59
2023-06-07,57
2023-06-08,59
2023-06-09,57
2023-06-10,62
2023-06-11,62
2023-06-12,60
2023-06-13,53
2023-06-14,59
2023-06-15,56
2023-06-16,58
2023-06-17,58
2023-06-18,63
2023-06-19,56
2023-06-20,52
2023-06-21,53
2023-06-22,51
2023-06-23,52
2023-06-24,58
2023-06-25,60
2023-06-26,54
2023-06-27,51
2023-06-28,48
2023-06-29,47
2023-06-30,50
2023-07-01,58
2023-07-02,63
2023-07-03,55
2023-07-04,60
2023-07-05,49
2023-07-06,54
2023-07-07,55
2023-07-08,59
2023-07-09,64
2023-07-10,54
2023-07-11,54
2023-07-12,48
2023-07-13,52
2023-07-14,93
2023-07-15,77
2023-07-16,80
2023-07-17,61
2023-07-18,54
2023-07-19,53
2023-07-20,53
2023-07-21,71
2023-07-22,66
2023-07-23,68
2023-07-24,59
2023-07-25,54
2023-07-26,55
2023-07-27,56
2023-07-28,69
2023-07-29,71
2023-07-30,66
2023-07-31,55
2023-08-01,50
2023-08-02,48
2023-08-03,52
2023-08-04,66
2023-08-05,63
2023-08-06,65
2023-08-07,57
2023-08-08,54
2023-08-09,51
2023-08-10,56
2023-08-11,78
2023-08-12,75
2023-08-13,73
2023-08-14,63
2023-08-15,56
2023-08-16,54
2023-08-17,55
2023-08-18,76
2023-08-19,74
2023-08-20,69
2023-08-21,60
2023-08-22,54
2023-08-23,50
2023-08-24,52
2023-08-25,56
2023-08-26,61
2023-08-27,61
2023-08-28,53
2023-08-29,50
2023-08-30,49
2023-08-31,49
2023-09-01,52
2023-09-02,56
2023-09-03,56
2023-09-04,62
2023-09-05,50
2023-09-06,47
2023-09-07,49
2023-09-08,55
2023-09-09,55
2023-09-10,56
2023-09-11,51
2023-09-12,47
2023-09-13,49
2023-09-14,60
2023-09-15,100
2023-09-16,58
2023-09-17,59
2023-09-18,49
2023-09-19,50
2023-09-20,42
2023-09-21,55
2023-09-22,89
2023-09-23,61
2023-09-24,62
2023-09-25,51
2023-09-26,47
2023-09-27,46
2023-09-28,58
2023-09-29,86
2023-09-30,59
2023-10-01,63
2023-10-02,49
2023-10-03,49
2023-10-04,49
2023-10-05,52
2023-10-06,79
2023-10-07,60
2023-10-08,60
2023-10-09,49
2023-10-10,51
2023-10-11,48
2023-10-12,54
2023-10-13,79
2023-10-14,62
2023-10-15,63
2023-10-16,49
2023-10-17,48
2023-10-18,49
2023-10-19,53
2023-10-20,77
2023-10-21,59
2023-10-22,59
2023-10-23,50
2023-10-24,47
2023-10-25,50
2023-10-26,52
2023-10-27,74
2023-10-28,54
2023-10-29,58
2023-10-30,53
2023-10-31,55
2023-11-01,51
2023-11-02,52
2023-11-03,87
2023-11-04,63
2023-11-05,58
2023-11-06,52
2023-11-07,49
2023-11-08,46
2023-11-09,48
2023-11-10,77
2023-11-11,58
2023-11-12,58
2023-11-13,51
2023-11-14,48
2023-11-15,51
2023-11-16,51
2023-11-17,86
2023-11-18,59
2023-11-19,55
2023-11-20,55
2023-11-21,60
2023-11-22,52
2023-11-23,58
2023-11-24,84
2023-11-25,64
2023-11-26,64
2023-11-27,53
2023-11-28,51
2023-11-29,50
2023-11-30,49
2023-12-01,79
2023-12-02,57
2023-12-03,60
2023-12-04,49
2023-12-05,50
2023-12-06,48
2023-12-07,53
2023-12-08,69
2023-12-09,60
2023-12-10,61
2023-12-11,54
2023-12-12,52
2023-12-13,60
2023-12-14,58
2023-12-15,85
2023-12-16,63
2023-12-17,63
2023-12-18,62
2023-12-19,64
2023-12-20,68
2023-12-21,71
2023-12-22,90
2023-12-23,67
2023-12-24,63
2023-12-25,67
2023-12-26,63
2023-12-27,69
2023-12-28,66
2023-12-29,83
2023-12-30,64
2023-12-31,61
2024-01-01,63
2024-01-02,59
2024-01-03,56
2024-01-04,57
2024-01-05,57
2024-01-06,65
2024-01-07,65
2024-01-08,55
2024-01-09,52
2024-01-10,52
2024-01-11,54
2024-01-12,56
2024-01-13,62
2024-01-14,64
2024-01-15,61
2024-01-16,55
2024-01-17,55
2024-01-18,52
2024-01-19,64
2024-01-20,68
