Time,blooket join
2022-01-01,1
2022-01-02,0
2022-01-03,3
2022-01-04,5
2022-01-05,6
2022-01-06,6
2022-01-07,8
2022-01-08,1
2022-01-09,1
2022-01-10,7
2022-01-11,8
2022-01-12,8
2022-01-13,11
2022-01-14,9
2022-01-15,2
2022-01-16,1
2022-01-17,1
2022-01-18,6
2022-01-19,7
2022-01-20,10
2022-01-21,12
2022-01-22,2
2022-01-23,1
2022-01-24,8
2022-01-25,7
2022-01-26,9
2022-01-27,12
2022-01-28,14
2022-01-29,3
2022-01-30,1
2022-01-31,9
2022-02-01,10
2022-02-02,10
2022-02-03,11
2022-02-04,11
2022-02-05,3
2022-02-06,2
2022-02-07,9
2022-02-08,9
2022-02-09,11
2022-02-10,12
2022-02-11,15
2022-02-12,2
2022-02-13,1
2022-02-14,8
2022-02-15,9
2022-02-16,10
2022-02-17,13
2022-02-18,12
2022-02-19,2
2022-02-20,2
2022-02-21,3
2022-02-22,8
2022-02-23,8
2022-02-24,10
2022-02-25,12
2022-02-26,3
2022-02-27,1
2022-02-28,8
2022-03-01,10
2022-03-02,10
2022-03-03,12
2022-03-04,14
2022-03-05,3
2022-03-06,2
2022-03-07,9
2022-03-08,10
2022-03-09,11
2022-03-10,14
2022-03-11,12
2022-03-12,2
2022-03-13,2
2022-03-14,7
2022-03-15,8
2022-03-16,9
2022-03-17,10
2022-03-18,9
2022-03-19,2
2022-03-20,1
2022-03-21,7
2022-03-22,9
2022-03-23,10
2022-03-24,12
2022-03-25,52
2022-03-26,3
2022-03-27,2
2022-03-28,28
2022-03-29,32
2022-03-30,11
2022-03-31,44
2022-04-01,50
2022-04-02,3
2022-04-03,2
2022-04-04,29
2022-04-05,31
2022-04-06,37
2022-04-07,42
2022-04-08,54
2022-04-09,3
2022-04-10,2
2022-04-11,29
2022-04-12,34
2022-04-13,39
2022-04-14,43
2022-04-15,17
2022-04-16,2
2022-04-17,2
2022-04-18,21
2022-04-19,31
2022-04-20,34
2022-04-21,39
2022-04-22,47
2022-04-23,3
2022-04-24,2
2022-04-25,38
2022-04-26,41
2022-04-27,43
2022-04-28,48
2022-04-29,60
2022-04-30,4
2022-05-01,2
2022-05-02,39
2022-05-03,43
2022-05-04,46
2022-05-05,50
2022-05-06,60
2022-05-07,4
2022-05-08,2
2022-05-09,47
2022-05-10,44
2022-05-11,46
2022-05-12,54
2022-05-13,63
2022-05-14,4
2022-05-15,3
2022-05-16,43
2022-05-17,45
2022-05-18,51
2022-05-19,54
2022-05-20,53
2022-05-21,3
2022-05-22,2
2022-05-23,45
2022-05-24,46
2022-05-25,44
2022-05-26,40
2022-05-27,34
2022-05-28,3
2022-05-29,2
2022-05-30,1
2022-05-31,23
2022-06-01,21
2022-06-02,25
2022-06-03,25
2022-06-04,2
2022-06-05,1
2022-06-06,21
2022-06-07,20
2022-06-08,22
2022-06-09,19
2022-06-10,17
2022-06-11,2
2022-06-12,1
2022-06-13,16
2022-06-14,16
2022-06-15,15
2022-06-16,15
2022-06-17,11
2022-06-18,1
2022-06-19,1
2022-06-20,5
2022-06-21,9
2022-06-22,9
2022-06-23,9
2022-06-24,5
2022-06-25,1
2022-06-26,1
2022-06-27,5
2022-06-28,4
2022-06-29,5
2022-06-30,5
2022-07-01,2
2022-07-02,0
2022-07-03,1
2022-07-04,0
2022-07-05,2
2022-07-06,2
2022-07-07,3
2022-07-08,2
2022-07-09,0
2022-07-10,0
2022-07-11,3
2022-07-12,2
2022-07-13,3
2022-07-14,3
2022-07-15,2
2022-07-16,1
2022-07-17,1
2022-07-18,2
2022-07-19,2
2022-07-20,3
2022-07-21,3
2022-07-22,1
2022-07-23,0
2022-07-24,0
2022-07-25,2
2022-07-26,3
2022-07-27,2
2022-07-28,3
2022-07-29,2
2022-07-30,1
2022-07-31,0
2022-08-01,2
2022-08-02,2
2022-08-03,3
2022-08-04,4
2022-08-05,7
2022-08-06,1
2022-08-07,1
2022-08-08,5
2022-08-09,7
2022-08-10,9
2022-08-11,12
2022-08-12,18
2022-08-13,1
2022-08-14,1
2022-08-15,12
2022-08-16,16
2022-08-17,19
2022-08-18,25
2022-08-19,39
2022-08-20,2
2022-08-21,1
2022-08-22,22
2022-08-23,29
2022-08-24,33
2022-08-25,45
2022-08-26,58
2022-08-27,3
2022-08-28,1
2022-08-29,34
2022-08-30,40
2022-08-31,48
2022-09-01,62
2022-09-02,63
2022-09-03,4
2022-09-04,2
2022-09-05,1
2022-09-06,40
2022-09-07,47
2022-09-08,60
2022-09-09,75
2022-09-10,4
2022-09-11,2
2022-09-12,46
2022-09-13,57
2022-09-14,63
2022-09-15,71
2022-09-16,100
2022-09-17,5
2022-09-18,3
2022-09-19,53
2022-09-20,71
2022-09-21,71
2022-09-22,71
2022-09-23,85
2022-09-24,5
2022-09-25,4
2022-09-26,45
2022-09-27,56
