Time,go
2023-04-26,87
2023-04-27,83
2023-04-28,81
2023-04-29,87
2023-04-30,84
2023-05-01,80
2023-05-02,85
2023-05-03,84
2023-05-04,82
2023-05-05,84
2023-05-06,91
2023-05-07,86
2023-05-08,86
2023-05-09,86
2023-05-10,90
2023-05-11,82
2023-05-12,83
2023-05-13,84
2023-05-14,81
2023-05-15,89
2023-05-16,89
2023-05-17,86
2023-05-18,87
2023-05-19,86
2023-05-20,84
2023-05-21,88
2023-05-22,86
2023-05-23,87
2023-05-24,83
2023-05-25,85
2023-05-26,82
2023-05-27,90
2023-05-28,89
2023-05-29,85
2023-05-30,84
2023-05-31,87
2023-06-01,78
2023-06-02,87
2023-06-03,88
2023-06-04,90
2023-06-05,86
2023-06-06,84
2023-06-07,88
2023-06-08,85
2023-06-09,87
2023-06-10,89
2023-06-11,87
2023-06-12,84
2023-06-13,84
2023-06-14,86
2023-06-15,87
2023-06-16,86
2023-06-17,90
2023-06-18,93
2023-06-19,87
2023-06-20,86
2023-06-21,92
2023-06-22,92
2023-06-23,94
2023-06-24,92
2023-06-25,93
2023-06-26,85
2023-06-27,89
2023-06-28,86
2023-06-29,86
2023-06-30,85
2023-07-01,95
2023-07-02,93
2023-07-03,87
2023-07-04,92
2023-07-05,87
2023-07-06,89
2023-07-07,87
2023-07-08,93
2023-07-09,95
2023-07-10,87
2023-07-11,87
2023-07-12,87
2023-07-13,86
2023-07-14,89
2023-07-15,93
2023-07-16,92
2023-07-17,87
2023-07-18,87
2023-07-19,87
2023-07-20,86
2023-07-21,87
2023-07-22,94
2023-07-23,94
2023-07-24,88
2023-07-25,88
2023-07-26,88
2023-07-27,86
2023-07-28,87
2023-07-29,89
2023-07-30,95
2023-07-31,88
2023-08-01,84
2023-08-02,84
2023-08-03,87
2023-08-04,88
2023-08-05,87
2023-08-06,94
2023-08-07,89
2023-08-08,84
2023-08-09,86
2023-08-10,82
2023-08-11,93
2023-08-12,87
2023-08-13,96
2023-08-14,88
2023-08-15,87
2023-08-16,98
2023-08-17,85
2023-08-18,87
2023-08-19,93
2023-08-20,93
2023-08-21,87
2023-08-22,89
2023-08-23,86
2023-08-24,86
2023-08-25,85
2023-08-26,98
2023-08-27,100
2023-08-28,87
2023-08-29,84
2023-08-30,86
2023-08-31,88
2023-09-01,87
2023-09-02,91
2023-09-03,95
2023-09-04,92
2023-09-05,92
2023-09-06,90
2023-09-07,84
2023-09-08,86
2023-09-09,86
2023-09-10,91
2023-09-11,90
2023-09-12,89
2023-09-13,89
2023-09-14,84
2023-09-15,88
2023-09-16,85
2023-09-17,90
2023-09-18,87
2023-09-19,88
2023-09-20,91
2023-09-21,87
2023-09-22,84
2023-09-23,86
2023-09-24,91
2023-09-25,88
2023-09-26,82
2023-09-27,88
2023-09-28,89
2023-09-29,87
2023-09-30,89
2023-10-01,89
2023-10-02,86
2023-10-03,92
2023-10-04,98
2023-10-05,83
2023-10-06,87
2023-10-07,86
2023-10-08,88
2023-10-09,90
2023-10-10,85
2023-10-11,85
2023-10-12,85
2023-10-13,86
2023-10-14,80
2023-10-15,88
2023-10-16,86
2023-10-17,88
2023-10-18,90
2023-10-19,85
2023-10-20,84
2023-10-21,85
2023-10-22,86
2023-10-23,88
2023-10-24,87
2023-10-25,85
2023-10-26,89
2023-10-27,85
2023-10-28,82
2023-10-29,81
2023-10-30,85
2023-10-31,87
2023-11-01,86
2023-11-02,86
2023-11-03,85
2023-11-04,86
2023-11-05,99
2023-11-06,87
2023-11-07,84
2023-11-08,85
2023-11-09,85
2023-11-10,84
2023-11-11,84
2023-11-12,85
2023-11-13,86
2023-11-14,85
2023-11-15,91
2023-11-16,87
2023-11-17,85
2023-11-18,84
2023-11-19,84
2023-11-20,82
2023-11-21,84
2023-11-22,88
2023-11-23,80
2023-11-24,84
2023-11-25,87
2023-11-26,87
2023-11-27,86
2023-11-28,86
2023-11-29,86
2023-11-30,85
2023-12-01,84
2023-12-02,81
2023-12-03,89
2023-12-04,83
2023-12-05,85
2023-12-06,82
2023-12-07,80
2023-12-08,83
2023-12-09,83
2023-12-10,85
2023-12-11,84
2023-12-12,84
2023-12-13,94
2023-12-14,84
2023-12-15,84
2023-12-16,84
2023-12-17,82
2023-12-18,81
2023-12-19,83
2023-12-20,89
2023-12-21,87
2023-12-22,81
2023-12-23,86
2023-12-24,79
2023-12-25,82
2023-12-26,84
2023-12-27,87
2023-12-28,85
2023-12-29,88
2023-12-30,89
2023-12-31,88
2024-01-01,91
2024-01-02,89
2024-01-03,89
2024-01-04,92
2024-01-05,88
2024-01-06,89
2024-01-07,94
2024-01-08,92
2024-01-09,89
2024-01-10,89
2024-01-11,89
2024-01-12,89
2024-01-13,89
2024-01-14,87
2024-01-15,85
2024-01-16,81
2024-01-17,85
2024-01-18,88
2024-01-19,87
2024-01-20,91
