Time,andrew wiggins
2023-12-22,12
2023-12-23,54
2023-12-24,38
2023-12-25,60
2023-12-26,12
2023-12-27,12
2023-12-28,16
2023-12-29,32
2023-12-30,35
2023-12-31,40
2024-01-01,14
2024-01-02,21
2024-01-03,52
2024-01-04,39
2024-01-05,85
2024-01-06,31
2024-01-07,10
2024-01-08,25
2024-01-09,17
2024-01-10,20
2024-01-11,41
2024-01-12,31
2024-01-13,54
2024-01-14,33
2024-01-15,28
2024-01-16,22
2024-01-17,23
2024-01-18,14
2024-01-19,10
2024-01-20,11
2024-01-21,10
2024-01-22,8
2024-01-23,5
2024-01-24,16
2024-01-25,62
2024-01-26,71
2024-01-27,23
2024-01-28,56
2024-01-29,9
2024-01-30,41
2024-01-31,80
2024-02-01,14
2024-02-02,21
2024-02-03,71
2024-02-04,73
2024-02-05,26
2024-02-06,31
2024-02-07,61
2024-02-08,100
2024-02-09,32
2024-02-10,17
2024-02-11,44
2024-02-12,21
2024-02-13,28
2024-02-14,13
2024-02-15,92
2024-02-16,57
2024-02-17,8
2024-02-18,8
2024-02-19,9
2024-02-20,7
2024-02-21,9
2024-02-22,17
2024-02-23,76
2024-02-24,51
2024-02-25,30
2024-02-26,23
2024-02-27,27
2024-02-28,33
2024-02-29,60
2024-03-01,78
2024-03-02,47
2024-03-03,40
2024-03-04,27
2024-03-05,24
2024-03-06,48
2024-03-07,73
2024-03-08,28
2024-03-09,10
2024-03-10,21
2024-03-11,8
2024-03-12,21
2024-03-13,21
2024-03-14,22
2024-03-15,15
2024-03-16,38
2024-03-17,38
2024-03-18,68
2024-03-19,72
2024-03-20,24
2024-03-21,40
2024-03-22,24
2024-03-23,34
2024-03-24,46
2024-03-25,18
2024-03-26,65
2024-03-27,72
2024-03-28,35
2024-03-29,33
2024-03-30,20
2024-03-31,28
2024-04-01,17
2024-04-02,25
2024-04-03,53
2024-04-04,46
2024-04-05,37
2024-04-06,21
2024-04-07,18
2024-04-08,15
2024-04-09,13
2024-04-10,31
2024-04-11,30
2024-04-12,38
2024-04-13,28
2024-04-14,12
2024-04-15,14
2024-04-16,53
2024-04-17,96
2024-04-18,16
2024-04-19,9
2024-04-20,9
2024-04-21,12
2024-04-22,19
2024-04-23,4
2024-04-24,5
2024-04-25,10
2024-04-26,7
2024-04-27,6
2024-04-28,4
2024-04-29,7
2024-04-30,13
2024-05-01,8
2024-05-02,5
2024-05-03,7
2024-05-04,10
2024-05-05,8
2024-05-06,7
2024-05-07,6
2024-05-08,45
2024-05-09,8
2024-05-10,23
2024-05-11,12
2024-05-12,6
2024-05-13,6
2024-05-14,16
2024-05-15,7
2024-05-16,10
2024-05-17,7
2024-05-18,7
2024-05-19,9
2024-05-20,11
2024-05-21,9
2024-05-22,6
2024-05-23,4
2024-05-24,5
2024-05-25,5
2024-05-26,7
2024-05-27,8
2024-05-28,6
2024-05-29,8
2024-05-30,5
2024-05-31,5
2024-06-01,5
2024-06-02,6
2024-06-03,10
2024-06-04,6
2024-06-05,6
2024-06-06,4
2024-06-07,0
2024-06-08,0
2024-06-09,0
2024-06-10,5
2024-06-11,5
2024-06-12,5
2024-06-13,0
2024-06-14,4
2024-06-15,5
2024-06-16,6
2024-06-17,0
2024-06-18,8
2024-06-19,12
2024-06-20,8
2024-06-21,11
2024-06-22,11
2024-06-23,5
2024-06-24,10
2024-06-25,7
2024-06-26,21
2024-06-27,20
2024-06-28,29
2024-06-29,37
2024-06-30,26
2024-07-01,34
2024-07-02,25
2024-07-03,30
2024-07-04,18
2024-07-05,21
2024-07-06,15
2024-07-07,12
2024-07-08,11
2024-07-09,9
2024-07-10,13
2024-07-11,12
2024-07-12,8
2024-07-13,6
2024-07-14,4
2024-07-15,4
2024-07-16,6
2024-07-17,4
2024-07-18,6
2024-07-19,6
2024-07-20,7
2024-07-21,0
2024-07-22,0
2024-07-23,6
2024-07-24,4
2024-07-25,6
2024-07-26,6
2024-07-27,7
2024-07-28,8
2024-07-29,4
2024-07-30,6
2024-07-31,5
2024-08-01,4
2024-08-02,5
2024-08-03,0
2024-08-04,0
2024-08-05,0
2024-08-06,5
2024-08-07,4
2024-08-08,5
2024-08-09,0
2024-08-10,4
2024-08-11,0
2024-08-12,4
2024-08-13,4
2024-08-14,0
2024-08-15,0
2024-08-16,7
2024-08-17,10
2024-08-18,8
2024-08-19,4
2024-08-20,0
2024-08-21,5
2024-08-22,0
2024-08-23,5
2024-08-24,5
2024-08-25,0
2024-08-26,0
2024-08-27,4
2024-08-28,0
2024-08-29,0
2024-08-30,0
2024-08-31,10
2024-09-01,19
2024-09-02,12
2024-09-03,6
2024-09-04,5
2024-09-05,3
2024-09-06,7
2024-09-07,5
2024-09-08,4
2024-09-09,4
2024-09-10,4
2024-09-11,7
2024-09-12,4
2024-09-13,15
2024-09-14,33
2024-09-15,13
2024-09-16,8
