Time,djia
2022-08-29,72
2022-08-30,72
2022-08-31,63
2022-09-01,66
2022-09-02,64
2022-09-03,10
2022-09-04,5
2022-09-05,9
2022-09-06,62
2022-09-07,61
2022-09-08,57
2022-09-09,56
2022-09-10,10
2022-09-11,5
2022-09-12,56
2022-09-13,99
2022-09-14,100
2022-09-15,74
2022-09-16,75
2022-09-17,13
2022-09-18,6
2022-09-19,69
2022-09-20,77
2022-09-21,87
2022-09-22,84
2022-09-23,96
2022-09-24,15
2022-09-25,8
2022-09-26,83
2022-09-27,86
2022-09-28,82
2022-09-29,84
2022-09-30,81
2022-10-01,15
2022-10-02,8
2022-10-03,81
2022-10-04,90
2022-10-05,85
2022-10-06,78
2022-10-07,83
2022-10-08,13
2022-10-09,7
2022-10-10,73
2022-10-11,77
2022-10-12,75
2022-10-13,87
2022-10-14,86
2022-10-15,15
2022-10-16,8
2022-10-17,76
2022-10-18,79
2022-10-19,74
2022-10-20,76
2022-10-21,72
2022-10-22,13
2022-10-23,7
2022-10-24,71
2022-10-25,74
2022-10-26,74
2022-10-27,79
2022-10-28,80
2022-10-29,14
2022-10-30,9
2022-10-31,68
2022-11-01,70
2022-11-02,82
2022-11-03,75
2022-11-04,70
2022-11-05,12
2022-11-06,7
2022-11-07,63
2022-11-08,72
2022-11-09,70
2022-11-10,89
2022-11-11,83
2022-11-12,15
2022-11-13,7
2022-11-14,73
2022-11-15,74
2022-11-16,70
2022-11-17,68
2022-11-18,66
2022-11-19,13
2022-11-20,6
2022-11-21,62
2022-11-22,65
2022-11-23,65
2022-11-24,14
2022-11-25,40
2022-11-26,11
2022-11-27,6
2022-11-28,55
2022-11-29,56
2022-11-30,66
2022-12-01,67
2022-12-02,64
2022-12-03,12
2022-12-04,8
2022-12-05,58
2022-12-06,62
2022-12-07,60
2022-12-08,58
2022-12-09,57
2022-12-10,11
2022-12-11,6
2022-12-12,55
2022-12-13,71
2022-12-14,74
2022-12-15,78
2022-12-16,73
2022-12-17,13
2022-12-18,6
2022-12-19,62
2022-12-20,65
2022-12-21,66
2022-12-22,70
2022-12-23,62
2022-12-24,13
2022-12-25,4
2022-12-26,27
2022-12-27,62
2022-12-28,65
2022-12-29,60
2022-12-30,58
2022-12-31,13
2023-01-01,5
2023-01-02,22
2023-01-03,57
2023-01-04,54
2023-01-05,58
2023-01-06,63
2023-01-07,13
2023-01-08,6
2023-01-09,56
2023-01-10,59
2023-01-11,57
2023-01-12,63
2023-01-13,63
2023-01-14,11
2023-01-15,5
2023-01-16,21
2023-01-17,58
2023-01-18,61
2023-01-19,63
2023-01-20,57
2023-01-21,12
2023-01-22,6
2023-01-23,60
2023-01-24,62
2023-01-25,60
2023-01-26,61
2023-01-27,61
2023-01-28,11
2023-01-29,4
2023-01-30,56
2023-01-31,63
2023-02-01,71
2023-02-02,68
2023-02-03,70
2023-02-04,11
2023-02-05,7
2023-02-06,56
2023-02-07,58
2023-02-08,57
2023-02-09,56
2023-02-10,58
2023-02-11,12
2023-02-12,5
2023-02-13,50
2023-02-14,62
2023-02-15,58
2023-02-16,55
2023-02-17,61
2023-02-18,11
2023-02-19,4
2023-02-20,24
2023-02-21,62
2023-02-22,67
2023-02-23,57
2023-02-24,61
2023-02-25,12
2023-02-26,5
2023-02-27,55
2023-02-28,55
2023-03-01,54
2023-03-02,54
2023-03-03,49
2023-03-04,11
2023-03-05,5
2023-03-06,55
2023-03-07,57
2023-03-08,59
2023-03-09,59
2023-03-10,72
2023-03-11,14
2023-03-12,8
2023-03-13,95
2023-03-14,77
2023-03-15,88
2023-03-16,75
2023-03-17,73
2023-03-18,12
2023-03-19,8
2023-03-20,74
2023-03-21,68
2023-03-22,77
2023-03-23,73
2023-03-24,64
2023-03-25,10
2023-03-26,5
2023-03-27,58
2023-03-28,59
2023-03-29,58
2023-03-30,61
2023-03-31,60
2023-04-01,10
2023-04-02,5
2023-04-03,61
2023-04-04,59
2023-04-05,61
2023-04-06,59
2023-04-07,35
2023-04-08,8
2023-04-09,4
2023-04-10,57
2023-04-11,59
2023-04-12,62
2023-04-13,57
2023-04-14,60
2023-04-15,10
2023-04-16,5
2023-04-17,55
2023-04-18,56
2023-04-19,52
2023-04-20,54
2023-04-21,51
2023-04-22,9
2023-04-23,5
2023-04-24,50
2023-04-25,54
2023-04-26,56
2023-04-27,51
2023-04-28,55
2023-04-29,8
2023-04-30,5
2023-05-01,56
2023-05-02,59
2023-05-03,62
2023-05-04,58
2023-05-05,56
2023-05-06,10
2023-05-07,5
2023-05-08,53
2023-05-09,53
2023-05-10,55
2023-05-11,53
2023-05-12,49
2023-05-13,10
2023-05-14,4
2023-05-15,47
2023-05-16,52
2023-05-17,54
2023-05-18,55
2023-05-19,54
2023-05-20,9
2023-05-21,5
2023-05-22,52
2023-05-23,55
2023-05-24,52
2023-05-25,52
