Time,djia
2023-12-22,43
2023-12-23,9
2023-12-24,3
2023-12-25,3
2023-12-26,31
2023-12-27,40
2023-12-28,40
2023-12-29,39
2023-12-30,9
2023-12-31,3
2024-01-01,4
2024-01-02,37
2024-01-03,38
2024-01-04,37
2024-01-05,37
2024-01-06,7
2024-01-07,3
2024-01-08,32
2024-01-09,33
2024-01-10,33
2024-01-11,35
2024-01-12,34
2024-01-13,7
2024-01-14,2
2024-01-15,12
2024-01-16,29
2024-01-17,34
2024-01-18,32
2024-01-19,33
2024-01-20,7
2024-01-21,4
2024-01-22,36
2024-01-23,35
2024-01-24,36
2024-01-25,35
2024-01-26,30
2024-01-27,6
2024-01-28,3
2024-01-29,29
2024-01-30,29
2024-01-31,31
2024-02-01,31
2024-02-02,33
2024-02-03,6
2024-02-04,3
2024-02-05,30
2024-02-06,28
2024-02-07,29
2024-02-08,28
2024-02-09,29
2024-02-10,7
2024-02-11,2
2024-02-12,26
2024-02-13,36
2024-02-14,36
2024-02-15,33
2024-02-16,29
2024-02-17,6
2024-02-18,3
2024-02-19,13
2024-02-20,28
2024-02-21,28
2024-02-22,36
2024-02-23,32
2024-02-24,6
2024-02-25,3
2024-02-26,29
2024-02-27,27
2024-02-28,27
2024-02-29,27
2024-03-01,27
2024-03-02,6
2024-03-03,3
2024-03-04,25
2024-03-05,28
2024-03-06,29
2024-03-07,28
2024-03-08,30
2024-03-09,5
2024-03-10,3
2024-03-11,28
2024-03-12,29
2024-03-13,30
2024-03-14,27
2024-03-15,26
2024-03-16,5
2024-03-17,3
2024-03-18,26
2024-03-19,27
2024-03-20,33
2024-03-21,33
2024-03-22,29
2024-03-23,5
2024-03-24,4
2024-03-25,26
2024-03-26,28
2024-03-27,30
2024-03-28,30
2024-03-29,18
2024-03-30,4
2024-03-31,3
2024-04-01,28
2024-04-02,30
2024-04-03,33
2024-04-04,33
2024-04-05,33
2024-04-06,5
2024-04-07,3
2024-04-08,24
2024-04-09,27
2024-04-10,33
2024-04-11,30
2024-04-12,33
2024-04-13,6
2024-04-14,4
2024-04-15,34
2024-04-16,32
2024-04-17,30
2024-04-18,30
2024-04-19,34
2024-04-20,6
2024-04-21,4
2024-04-22,31
2024-04-23,28
2024-04-24,28
2024-04-25,34
2024-04-26,30
2024-04-27,5
2024-04-28,3
2024-04-29,28
2024-04-30,30
2024-05-01,33
2024-05-02,28
2024-05-03,31
2024-05-04,5
2024-05-05,3
2024-05-06,27
2024-05-07,29
2024-05-08,27
2024-05-09,28
2024-05-10,28
2024-05-11,6
2024-05-12,3
2024-05-13,27
2024-05-14,26
2024-05-15,33
2024-05-16,34
2024-05-17,34
2024-05-18,6
2024-05-19,3
2024-05-20,30
2024-05-21,30
2024-05-22,29
2024-05-23,29
2024-05-24,29
2024-05-25,5
2024-05-26,3
2024-05-27,4
2024-05-28,25
2024-05-29,29
2024-05-30,32
2024-05-31,32
2024-06-01,6
2024-06-02,3
2024-06-03,28
2024-06-04,28
2024-06-05,32
2024-06-06,29
2024-06-07,30
2024-06-08,6
2024-06-09,3
2024-06-10,29
2024-06-11,26
2024-06-12,31
2024-06-13,28
2024-06-14,28
2024-06-15,5
2024-06-16,3
2024-06-17,28
2024-06-18,29
2024-06-19,16
2024-06-20,27
2024-06-21,27
2024-06-22,6
2024-06-23,3
2024-06-24,27
2024-06-25,27
2024-06-26,26
2024-06-27,26
2024-06-28,27
2024-06-29,5
2024-06-30,3
2024-07-01,23
2024-07-02,24
2024-07-03,26
2024-07-04,5
2024-07-05,23
2024-07-06,5
2024-07-07,3
2024-07-08,25
2024-07-09,25
2024-07-10,26
2024-07-11,28
2024-07-12,30
2024-07-13,6
2024-07-14,3
2024-07-15,30
2024-07-16,34
2024-07-17,40
2024-07-18,34
2024-07-19,32
2024-07-20,5
2024-07-21,3
2024-07-22,31
2024-07-23,29
2024-07-24,29
2024-07-25,35
2024-07-26,34
2024-07-27,6
2024-07-28,4
2024-07-29,30
2024-07-30,28
2024-07-31,30
2024-08-01,32
2024-08-02,47
2024-08-03,8
2024-08-04,4
2024-08-05,100
2024-08-06,71
2024-08-07,53
2024-08-08,49
2024-08-09,42
2024-08-10,8
2024-08-11,4
2024-08-12,36
2024-08-13,36
2024-08-14,37
2024-08-15,40
2024-08-16,36
2024-08-17,6
2024-08-18,4
2024-08-19,34
2024-08-20,36
2024-08-21,34
2024-08-22,30
2024-08-23,39
2024-08-24,7
2024-08-25,4
2024-08-26,33
2024-08-27,30
2024-08-28,31
2024-08-29,32
2024-08-30,30
2024-08-31,5
2024-09-01,3
2024-09-02,5
2024-09-03,34
2024-09-04,36
2024-09-05,33
2024-09-06,32
2024-09-07,5
2024-09-08,3
2024-09-09,32
2024-09-10,28
2024-09-11,34
2024-09-12,33
2024-09-13,30
2024-09-14,6
2024-09-15,4
2024-09-16,27
