Time,djia
2025-12-11,51
2025-12-12,48
2025-12-13,9
2025-12-14,4
2025-12-15,44
2025-12-16,45
2025-12-17,41
2025-12-18,48
2025-12-19,43
2025-12-20,8
2025-12-21,5
2025-12-22,41
2025-12-23,44
2025-12-24,36
2025-12-25,8
2025-12-26,35
2025-12-27,8
2025-12-28,6
2025-12-29,39
2025-12-30,39
2025-12-31,41
2026-01-01,10
2026-01-02,36
2026-01-03,10
2026-01-04,6
2026-01-05,50
2026-01-06,52
2026-01-07,50
2026-01-08,44
2026-01-09,46
2026-01-10,11
2026-01-11,4
2026-01-12,54
2026-01-13,46
2026-01-14,48
2026-01-15,41
2026-01-16,41
2026-01-17,7
2026-01-18,6
2026-01-19,21
2026-01-20,64
2026-01-21,72
2026-01-22,54
2026-01-23,46
2026-01-24,12
2026-01-25,5
2026-01-26,46
2026-01-27,48
2026-01-28,48
2026-01-29,45
2026-01-30,47
2026-01-31,10
2026-02-01,7
2026-02-02,42
2026-02-03,44
2026-02-04,45
2026-02-05,48
2026-02-06,63
2026-02-07,16
2026-02-08,7
2026-02-09,48
2026-02-10,48
2026-02-11,52
2026-02-12,53
2026-02-13,53
2026-02-14,11
2026-02-15,6
2026-02-16,22
2026-02-17,40
2026-02-18,42
2026-02-19,43
2026-02-20,57
2026-02-21,11
2026-02-22,7
2026-02-23,52
2026-02-24,54
2026-02-25,47
2026-02-26,45
2026-02-27,47
2026-02-28,13
2026-03-01,9
2026-03-02,76
2026-03-03,83
2026-03-04,65
2026-03-05,67
2026-03-06,77
2026-03-07,14
2026-03-08,11
2026-03-09,100
2026-03-10,73
2026-03-11,67
2026-03-12,72
2026-03-13,68
2026-03-14,14
2026-03-15,9
2026-03-16,64
2026-03-17,59
2026-03-18,67
2026-03-19,72
2026-03-20,64
2026-03-21,15
2026-03-22,9
2026-03-23,85
2026-03-24,76
2026-03-25,68
2026-03-26,71
2026-03-27,77
2026-03-28,15
2026-03-29,10
2026-03-30,78
2026-03-31,78
2026-04-01,68
2026-04-02,80
2026-04-03,40
2026-04-04,9
2026-04-05,8
2026-04-06,68
2026-04-07,68
2026-04-08,92
2026-04-09,72
2026-04-10,62
2026-04-11,12
2026-04-12,12
2026-04-13,71
2026-04-14,60
2026-04-15,61
2026-04-16,57
2026-04-17,74
2026-04-18,14
2026-04-19,11
2026-04-20,66
2026-04-21,61
2026-04-22,59
2026-04-23,58
2026-04-24,51
2026-04-25,9
2026-04-26,7
2026-04-27,53
2026-04-28,54
2026-04-29,49
2026-04-30,54
2026-05-01,56
2026-05-02,10
2026-05-03,8
2026-05-04,57
2026-05-05,54
2026-05-06,60
2026-05-07,54
2026-05-08,56
2026-05-09,9
2026-05-10,6
2026-05-11,56
2026-05-12,53
2026-05-13,46
2026-05-14,48
2026-05-15,49
2026-05-16,11
2026-05-17,8
2026-05-18,52
2026-05-19,46
2026-05-20,48
2026-05-21,48
2026-05-22,51
2026-05-23,10
2026-05-24,8
2026-05-25,11
2026-05-26,53
2026-05-27,52
2026-05-28,55
2026-05-29,51
2026-05-30,10
2026-05-31,6
