Time,euphoria
2023-12-22,11
2023-12-23,11
2023-12-24,11
2023-12-25,9
2023-12-26,11
2023-12-27,12
2023-12-28,12
2023-12-29,12
2023-12-30,13
2023-12-31,12
2024-01-01,12
2024-01-02,13
2024-01-03,12
2024-01-04,11
2024-01-05,11
2024-01-06,13
2024-01-07,13
2024-01-08,11
2024-01-09,11
2024-01-10,10
2024-01-11,10
2024-01-12,10
2024-01-13,13
2024-01-14,13
2024-01-15,11
2024-01-16,11
2024-01-17,10
2024-01-18,9
2024-01-19,11
2024-01-20,13
2024-01-21,14
2024-01-22,12
2024-01-23,10
2024-01-24,11
2024-01-25,10
2024-01-26,10
2024-01-27,13
2024-01-28,13
2024-01-29,10
2024-01-30,9
2024-01-31,9
2024-02-01,9
2024-02-02,9
2024-02-03,10
2024-02-04,12
2024-02-05,9
2024-02-06,8
2024-02-07,8
2024-02-08,8
2024-02-09,9
2024-02-10,11
2024-02-11,10
2024-02-12,8
2024-02-13,10
2024-02-14,9
2024-02-15,9
2024-02-16,10
2024-02-17,11
2024-02-18,13
2024-02-19,11
2024-02-20,9
2024-02-21,9
2024-02-22,9
2024-02-23,10
2024-02-24,11
2024-02-25,13
2024-02-26,9
2024-02-27,9
2024-02-28,9
2024-02-29,9
2024-03-01,9
2024-03-02,13
2024-03-03,19
2024-03-04,13
2024-03-05,11
2024-03-06,10
2024-03-07,10
2024-03-08,10
2024-03-09,12
2024-03-10,14
2024-03-11,11
2024-03-12,11
2024-03-13,10
2024-03-14,10
2024-03-15,10
2024-03-16,11
2024-03-17,13
2024-03-18,10
2024-03-19,10
2024-03-20,10
2024-03-21,10
2024-03-22,10
2024-03-23,11
2024-03-24,13
2024-03-25,17
2024-03-26,15
2024-03-27,12
2024-03-28,10
2024-03-29,12
2024-03-30,12
2024-03-31,12
2024-04-01,10
2024-04-02,9
2024-04-03,10
2024-04-04,10
2024-04-05,10
2024-04-06,10
2024-04-07,13
2024-04-08,9
2024-04-09,9
2024-04-10,9
2024-04-11,9
2024-04-12,9
2024-04-13,10
2024-04-14,11
2024-04-15,10
2024-04-16,9
2024-04-17,9
2024-04-18,10
2024-04-19,9
2024-04-20,11
2024-04-21,12
2024-04-22,9
2024-04-23,9
2024-04-24,9
2024-04-25,9
2024-04-26,8
2024-04-27,11
2024-04-28,11
2024-04-29,9
2024-04-30,100
2024-05-01,100
2024-05-02,62
2024-05-03,50
2024-05-04,46
2024-05-05,39
2024-05-06,28
2024-05-07,22
2024-05-08,20
2024-05-09,18
2024-05-10,17
2024-05-11,18
2024-05-12,16
2024-05-13,13
2024-05-14,13
2024-05-15,13
2024-05-16,12
2024-05-17,12
2024-05-18,14
2024-05-19,13
2024-05-20,12
2024-05-21,11
2024-05-22,10
2024-05-23,11
2024-05-24,12
2024-05-25,12
2024-05-26,12
2024-05-27,11
2024-05-28,11
2024-05-29,10
2024-05-30,11
2024-05-31,10
2024-06-01,11
2024-06-02,11
2024-06-03,10
2024-06-04,9
2024-06-05,10
2024-06-06,10
2024-06-07,10
2024-06-08,11
2024-06-09,11
2024-06-10,10
2024-06-11,10
2024-06-12,12
2024-06-13,10
2024-06-14,10
2024-06-15,11
2024-06-16,12
2024-06-17,10
2024-06-18,10
2024-06-19,10
2024-06-20,13
2024-06-21,11
2024-06-22,12
2024-06-23,12
2024-06-24,10
2024-06-25,14
2024-06-26,9
2024-06-27,10
2024-06-28,10
2024-06-29,11
2024-06-30,10
2024-07-01,9
2024-07-02,9
2024-07-03,9
2024-07-04,10
2024-07-05,9
2024-07-06,10
2024-07-07,11
2024-07-08,9
2024-07-09,8
2024-07-10,9
2024-07-11,9
2024-07-12,11
2024-07-13,11
2024-07-14,11
2024-07-15,9
2024-07-16,9
2024-07-17,9
2024-07-18,9
2024-07-19,9
2024-07-20,9
2024-07-21,10
2024-07-22,8
2024-07-23,8
2024-07-24,8
2024-07-25,9
2024-07-26,8
2024-07-27,9
2024-07-28,9
2024-07-29,8
2024-07-30,8
2024-07-31,8
2024-08-01,8
2024-08-02,8
2024-08-03,9
2024-08-04,10
2024-08-05,8
2024-08-06,8
2024-08-07,10
2024-08-08,12
2024-08-09,11
2024-08-10,11
2024-08-11,10
2024-08-12,9
2024-08-13,9
2024-08-14,8
2024-08-15,8
2024-08-16,9
2024-08-17,9
2024-08-18,10
2024-08-19,8
2024-08-20,8
2024-08-21,8
2024-08-22,7
2024-08-23,7
2024-08-24,8
2024-08-25,8
2024-08-26,8
2024-08-27,7
2024-08-28,7
2024-08-29,7
2024-08-30,6
2024-08-31,8
2024-09-01,8
2024-09-02,9
2024-09-03,8
2024-09-04,7
2024-09-05,7
2024-09-06,7
2024-09-07,7
2024-09-08,8
2024-09-09,7
2024-09-10,7
2024-09-11,6
2024-09-12,7
2024-09-13,8
2024-09-14,8
2024-09-15,9
2024-09-16,7
