Time,uvalde school shooting
2023-04-26,8
2023-04-27,5
2023-04-28,0
2023-04-29,6
2023-04-30,5
2023-05-01,8
2023-05-02,7
2023-05-03,8
2023-05-04,8
2023-05-05,5
2023-05-06,0
2023-05-07,13
2023-05-08,12
2023-05-09,10
2023-05-10,4
2023-05-11,9
2023-05-12,10
2023-05-13,0
2023-05-14,6
2023-05-15,10
2023-05-16,13
2023-05-17,12
2023-05-18,8
2023-05-19,18
2023-05-20,43
2023-05-21,32
2023-05-22,36
2023-05-23,26
2023-05-24,59
2023-05-25,35
2023-05-26,11
2023-05-27,12
2023-05-28,10
2023-05-29,6
2023-05-30,6
2023-05-31,8
2023-06-01,5
2023-06-02,5
2023-06-03,7
2023-06-04,15
2023-06-05,0
2023-06-06,5
2023-06-07,6
2023-06-08,5
2023-06-09,0
2023-06-10,0
2023-06-11,0
2023-06-12,0
2023-06-13,5
2023-06-14,0
2023-06-15,0
2023-06-16,0
2023-06-17,6
2023-06-18,7
2023-06-19,0
2023-06-20,0
2023-06-21,0
2023-06-22,5
2023-06-23,0
2023-06-24,0
2023-06-25,0
2023-06-26,0
2023-06-27,6
2023-06-28,0
2023-06-29,8
2023-06-30,0
2023-07-01,5
2023-07-02,0
2023-07-03,0
2023-07-04,0
2023-07-05,0
2023-07-06,5
2023-07-07,0
2023-07-08,0
2023-07-09,0
2023-07-10,0
2023-07-11,0
2023-07-12,0
2023-07-13,0
2023-07-14,0
2023-07-15,0
2023-07-16,0
2023-07-17,0
2023-07-18,0
2023-07-19,0
2023-07-20,0
2023-07-21,0
2023-07-22,0
2023-07-23,0
2023-07-24,0
2023-07-25,0
2023-07-26,0
2023-07-27,0
2023-07-28,0
2023-07-29,0
2023-07-30,0
2023-07-31,0
2023-08-01,5
2023-08-02,0
2023-08-03,0
2023-08-04,0
2023-08-05,0
2023-08-06,0
2023-08-07,6
2023-08-08,6
2023-08-09,5
2023-08-10,8
2023-08-11,5
2023-08-12,0
2023-08-13,5
2023-08-14,0
2023-08-15,0
2023-08-16,6
2023-08-17,0
2023-08-18,5
2023-08-19,8
2023-08-20,0
2023-08-21,0
2023-08-22,0
2023-08-23,0
2023-08-24,0
2023-08-25,0
2023-08-26,6
2023-08-27,9
2023-08-28,0
2023-08-29,0
2023-08-30,9
2023-08-31,11
2023-09-01,5
2023-09-02,0
2023-09-03,6
2023-09-04,0
2023-09-05,5
2023-09-06,5
2023-09-07,5
2023-09-08,0
2023-09-09,0
2023-09-10,6
2023-09-11,0
2023-09-12,6
2023-09-13,8
2023-09-14,7
2023-09-15,5
2023-09-16,0
2023-09-17,7
2023-09-18,0
2023-09-19,5
2023-09-20,0
2023-09-21,0
2023-09-22,6
2023-09-23,0
2023-09-24,0
2023-09-25,0
2023-09-26,0
2023-09-27,6
2023-09-28,0
2023-09-29,0
2023-09-30,0
2023-10-01,0
2023-10-02,0
2023-10-03,5
2023-10-04,0
2023-10-05,5
2023-10-06,5
2023-10-07,0
2023-10-08,0
2023-10-09,5
2023-10-10,0
2023-10-11,0
2023-10-12,0
2023-10-13,0
2023-10-14,0
2023-10-15,0
2023-10-16,0
2023-10-17,0
2023-10-18,5
2023-10-19,0
2023-10-20,5
2023-10-21,0
2023-10-22,0
2023-10-23,0
2023-10-24,0
2023-10-25,5
2023-10-26,12
2023-10-27,10
2023-10-28,7
2023-10-29,0
2023-10-30,0
2023-10-31,0
2023-11-01,0
2023-11-02,5
2023-11-03,0
2023-11-04,0
2023-11-05,0
2023-11-06,0
2023-11-07,8
2023-11-08,5
2023-11-09,0
2023-11-10,0
2023-11-11,0
2023-11-12,0
2023-11-13,0
2023-11-14,0
2023-11-15,5
2023-11-16,9
2023-11-17,8
2023-11-18,6
2023-11-19,0
2023-11-20,5
2023-11-21,0
2023-11-22,0
2023-11-23,0
2023-11-24,0
2023-11-25,0
2023-11-26,0
2023-11-27,5
2023-11-28,0
2023-11-29,0
2023-11-30,9
2023-12-01,5
2023-12-02,0
2023-12-03,0
2023-12-04,0
2023-12-05,5
2023-12-06,10
2023-12-07,10
2023-12-08,8
2023-12-09,5
2023-12-10,7
2023-12-11,4
2023-12-12,6
2023-12-13,6
2023-12-14,0
2023-12-15,0
2023-12-16,0
2023-12-17,6
2023-12-18,0
2023-12-19,0
2023-12-20,7
2023-12-21,6
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,6
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,7
2024-01-02,0
2024-01-03,6
2024-01-04,6
2024-01-05,7
2024-01-06,0
2024-01-07,0
2024-01-08,0
2024-01-09,0
2024-01-10,0
2024-01-11,0
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,0
2024-01-17,5
2024-01-18,100
2024-01-19,45
2024-01-20,12
