Time,stock market today
2023-04-26,35
2023-04-27,33
2023-04-28,33
2023-04-29,7
2023-04-30,4
2023-05-01,31
2023-05-02,41
2023-05-03,40
2023-05-04,40
2023-05-05,36
2023-05-06,9
2023-05-07,4
2023-05-08,30
2023-05-09,32
2023-05-10,34
2023-05-11,33
2023-05-12,29
2023-05-13,8
2023-05-14,4
2023-05-15,29
2023-05-16,30
2023-05-17,31
2023-05-18,31
2023-05-19,33
2023-05-20,7
2023-05-21,5
2023-05-22,30
2023-05-23,35
2023-05-24,39
2023-05-25,35
2023-05-26,42
2023-05-27,8
2023-05-28,4
2023-05-29,15
2023-05-30,34
2023-05-31,35
2023-06-01,35
2023-06-02,43
2023-06-03,10
2023-06-04,5
2023-06-05,34
2023-06-06,34
2023-06-07,32
2023-06-08,31
2023-06-09,31
2023-06-10,8
2023-06-11,4
2023-06-12,30
2023-06-13,33
2023-06-14,42
2023-06-15,40
2023-06-16,35
2023-06-17,8
2023-06-18,4
2023-06-19,100
2023-06-20,39
2023-06-21,35
2023-06-22,32
2023-06-23,31
2023-06-24,7
2023-06-25,4
2023-06-26,31
2023-06-27,29
2023-06-28,30
2023-06-29,28
2023-06-30,33
2023-07-01,8
2023-07-02,4
2023-07-03,81
2023-07-04,15
2023-07-05,31
2023-07-06,44
2023-07-07,35
2023-07-08,8
2023-07-09,3
2023-07-10,27
2023-07-11,29
2023-07-12,35
2023-07-13,36
2023-07-14,37
2023-07-15,8
2023-07-16,3
2023-07-17,30
2023-07-18,33
2023-07-19,33
2023-07-20,38
2023-07-21,33
2023-07-22,7
2023-07-23,4
2023-07-24,31
2023-07-25,30
2023-07-26,35
2023-07-27,42
2023-07-28,37
2023-07-29,7
2023-07-30,3
2023-07-31,29
2023-08-01,31
2023-08-02,45
2023-08-03,39
2023-08-04,37
2023-08-05,9
2023-08-06,4
2023-08-07,31
2023-08-08,37
2023-08-09,35
2023-08-10,32
2023-08-11,30
2023-08-12,6
2023-08-13,4
2023-08-14,27
2023-08-15,34
2023-08-16,35
2023-08-17,38
2023-08-18,33
2023-08-19,8
2023-08-20,4
2023-08-21,29
2023-08-22,31
2023-08-23,31
2023-08-24,35
2023-08-25,32
2023-08-26,7
2023-08-27,4
2023-08-28,24
2023-08-29,32
2023-08-30,32
2023-08-31,28
2023-09-01,28
2023-09-02,6
2023-09-03,3
2023-09-04,11
2023-09-05,28
2023-09-06,29
2023-09-07,28
2023-09-08,22
2023-09-09,6
2023-09-10,3
2023-09-11,23
2023-09-12,24
2023-09-13,24
2023-09-14,24
2023-09-15,28
2023-09-16,7
2023-09-17,4
2023-09-18,21
2023-09-19,27
2023-09-20,32
2023-09-21,36
2023-09-22,32
2023-09-23,8
2023-09-24,4
2023-09-25,25
2023-09-26,32
2023-09-27,34
2023-09-28,29
2023-09-29,26
2023-09-30,7
2023-10-01,4
2023-10-02,30
2023-10-03,44
2023-10-04,39
2023-10-05,34
2023-10-06,36
2023-10-07,8
2023-10-08,7
2023-10-09,61
2023-10-10,34
2023-10-11,30
2023-10-12,32
2023-10-13,28
2023-10-14,7
2023-10-15,4
2023-10-16,27
2023-10-17,28
2023-10-18,29
2023-10-19,29
2023-10-20,32
2023-10-21,8
2023-10-22,4
2023-10-23,32
2023-10-24,28
2023-10-25,35
2023-10-26,35
2023-10-27,29
2023-10-28,8
2023-10-29,4
2023-10-30,32
2023-10-31,33
2023-11-01,33
2023-11-02,33
2023-11-03,34
2023-11-04,7
2023-11-05,4
2023-11-06,32
2023-11-07,31
2023-11-08,29
2023-11-09,32
2023-11-10,42
2023-11-11,8
2023-11-12,5
2023-11-13,31
2023-11-14,40
2023-11-15,39
2023-11-16,33
2023-11-17,29
2023-11-18,6
2023-11-19,4
2023-11-20,29
2023-11-21,30
2023-11-22,47
2023-11-23,15
2023-11-24,75
2023-11-25,9
2023-11-26,4
2023-11-27,25
2023-11-28,28
2023-11-29,29
2023-11-30,31
2023-12-01,31
2023-12-02,8
2023-12-03,3
2023-12-04,30
2023-12-05,31
2023-12-06,29
2023-12-07,27
2023-12-08,29
2023-12-09,8
2023-12-10,4
2023-12-11,27
2023-12-12,31
2023-12-13,40
2023-12-14,46
2023-12-15,40
2023-12-16,11
2023-12-17,4
2023-12-18,29
2023-12-19,34
2023-12-20,59
2023-12-21,46
2023-12-22,53
2023-12-23,10
2023-12-24,4
2023-12-25,8
2023-12-26,43
2023-12-27,36
2023-12-28,35
2023-12-29,50
2023-12-30,9
2023-12-31,4
2024-01-01,16
2024-01-02,38
2024-01-03,42
2024-01-04,34
2024-01-05,33
2024-01-06,8
2024-01-07,4
2024-01-08,29
2024-01-09,31
2024-01-10,29
2024-01-11,29
2024-01-12,29
2024-01-13,7
2024-01-14,4
2024-01-15,48
2024-01-16,31
2024-01-17,35
2024-01-18,29
2024-01-19,31
2024-01-20,10
