Time,stock market today
2022-08-29,43
2022-08-30,43
2022-08-31,41
2022-09-01,41
2022-09-02,39
2022-09-03,11
2022-09-04,4
2022-09-05,13
2022-09-06,35
2022-09-07,37
2022-09-08,32
2022-09-09,33
2022-09-10,8
2022-09-11,4
2022-09-12,29
2022-09-13,84
2022-09-14,92
2022-09-15,58
2022-09-16,54
2022-09-17,14
2022-09-18,5
2022-09-19,38
2022-09-20,47
2022-09-21,61
2022-09-22,56
2022-09-23,71
2022-09-24,18
2022-09-25,7
2022-09-26,60
2022-09-27,61
2022-09-28,53
2022-09-29,60
2022-09-30,52
2022-10-01,14
2022-10-02,7
2022-10-03,49
2022-10-04,61
2022-10-05,57
2022-10-06,46
2022-10-07,54
2022-10-08,13
2022-10-09,7
2022-10-10,73
2022-10-11,49
2022-10-12,42
2022-10-13,64
2022-10-14,53
2022-10-15,13
2022-10-16,6
2022-10-17,45
2022-10-18,49
2022-10-19,44
2022-10-20,41
2022-10-21,42
2022-10-22,10
2022-10-23,5
2022-10-24,44
2022-10-25,44
2022-10-26,45
2022-10-27,44
2022-10-28,48
2022-10-29,13
2022-10-30,6
2022-10-31,37
2022-11-01,39
2022-11-02,52
2022-11-03,44
2022-11-04,38
2022-11-05,8
2022-11-06,4
2022-11-07,34
2022-11-08,42
2022-11-09,51
2022-11-10,69
2022-11-11,79
2022-11-12,16
2022-11-13,6
2022-11-14,39
2022-11-15,44
2022-11-16,40
2022-11-17,41
2022-11-18,35
2022-11-19,10
2022-11-20,4
2022-11-21,31
2022-11-22,33
2022-11-23,44
2022-11-24,17
2022-11-25,67
2022-11-26,8
2022-11-27,4
2022-11-28,29
2022-11-29,33
2022-11-30,37
2022-12-01,41
2022-12-02,34
2022-12-03,9
2022-12-04,4
2022-12-05,31
2022-12-06,38
2022-12-07,33
2022-12-08,29
2022-12-09,29
2022-12-10,9
2022-12-11,4
2022-12-12,27
2022-12-13,39
2022-12-14,40
2022-12-15,45
2022-12-16,41
2022-12-17,9
2022-12-18,3
2022-12-19,30
2022-12-20,34
2022-12-21,31
2022-12-22,42
2022-12-23,51
2022-12-24,14
2022-12-25,4
2022-12-26,100
2022-12-27,40
2022-12-28,33
2022-12-29,33
2022-12-30,46
2022-12-31,10
2023-01-01,5
2023-01-02,75
2023-01-03,33
2023-01-04,29
2023-01-05,30
2023-01-06,32
2023-01-07,11
2023-01-08,4
2023-01-09,30
2023-01-10,29
2023-01-11,31
2023-01-12,34
2023-01-13,34
2023-01-14,9
2023-01-15,4
2023-01-16,53
2023-01-17,33
2023-01-18,37
2023-01-19,38
2023-01-20,34
2023-01-21,9
2023-01-22,4
2023-01-23,29
2023-01-24,35
2023-01-25,33
2023-01-26,31
2023-01-27,32
2023-01-28,9
2023-01-29,4
2023-01-30,32
2023-01-31,34
2023-02-01,37
2023-02-02,41
2023-02-03,40
2023-02-04,9
2023-02-05,4
2023-02-06,29
2023-02-07,35
2023-02-08,33
2023-02-09,31
2023-02-10,33
2023-02-11,8
2023-02-12,3
2023-02-13,27
2023-02-14,35
2023-02-15,32
2023-02-16,31
2023-02-17,33
2023-02-18,9
2023-02-19,5
2023-02-20,66
2023-02-21,44
2023-02-22,40
2023-02-23,34
2023-02-24,38
2023-02-25,10
2023-02-26,4
2023-02-27,30
2023-02-28,29
2023-03-01,29
2023-03-02,28
2023-03-03,29
2023-03-04,8
2023-03-05,3
2023-03-06,27
2023-03-07,36
2023-03-08,35
2023-03-09,41
2023-03-10,62
2023-03-11,23
2023-03-12,9
2023-03-13,86
2023-03-14,62
2023-03-15,74
2023-03-16,57
2023-03-17,49
2023-03-18,10
2023-03-19,6
2023-03-20,41
2023-03-21,40
2023-03-22,52
2023-03-23,50
2023-03-24,40
2023-03-25,9
2023-03-26,5
2023-03-27,31
2023-03-28,34
2023-03-29,33
2023-03-30,32
2023-03-31,36
2023-04-01,8
2023-04-02,5
2023-04-03,36
2023-04-04,36
2023-04-05,35
2023-04-06,34
2023-04-07,86
2023-04-08,9
2023-04-09,4
2023-04-10,36
2023-04-11,30
2023-04-12,33
2023-04-13,29
2023-04-14,32
2023-04-15,7
2023-04-16,4
2023-04-17,29
2023-04-18,28
2023-04-19,29
2023-04-20,28
2023-04-21,27
2023-04-22,6
2023-04-23,5
2023-04-24,26
2023-04-25,32
2023-04-26,31
2023-04-27,30
2023-04-28,30
2023-04-29,6
2023-04-30,3
2023-05-01,28
2023-05-02,37
2023-05-03,36
2023-05-04,36
2023-05-05,32
2023-05-06,8
2023-05-07,4
2023-05-08,28
2023-05-09,29
2023-05-10,31
2023-05-11,30
2023-05-12,26
2023-05-13,7
2023-05-14,3
2023-05-15,26
2023-05-16,27
2023-05-17,28
2023-05-18,28
2023-05-19,30
2023-05-20,7
2023-05-21,4
2023-05-22,27
2023-05-23,32
2023-05-24,35
2023-05-25,32
