Time,stock market today
2025-12-11,43
2025-12-12,50
2025-12-13,17
2025-12-14,10
2025-12-15,36
2025-12-16,35
2025-12-17,45
2025-12-18,42
2025-12-19,31
2025-12-20,12
2025-12-21,8
2025-12-22,30
2025-12-23,34
2025-12-24,76
2025-12-25,16
2025-12-26,60
2025-12-27,13
2025-12-28,9
2025-12-29,33
2025-12-30,33
2025-12-31,84
2026-01-01,30
2026-01-02,39
2026-01-03,14
2026-01-04,12
2026-01-05,38
2026-01-06,37
2026-01-07,35
2026-01-08,33
2026-01-09,34
2026-01-10,13
2026-01-11,10
2026-01-12,38
2026-01-13,34
2026-01-14,37
2026-01-15,32
2026-01-16,28
2026-01-17,10
2026-01-18,9
2026-01-19,66
2026-01-20,72
2026-01-21,71
2026-01-22,41
2026-01-23,33
2026-01-24,12
2026-01-25,10
2026-01-26,36
2026-01-27,31
2026-01-28,36
2026-01-29,55
2026-01-30,53
2026-01-31,17
2026-02-01,14
2026-02-02,43
2026-02-03,50
2026-02-04,55
2026-02-05,71
2026-02-06,71
2026-02-07,21
2026-02-08,14
2026-02-09,36
2026-02-10,38
2026-02-11,38
2026-02-12,61
2026-02-13,48
2026-02-14,16
2026-02-15,13
2026-02-16,68
2026-02-17,43
2026-02-18,35
2026-02-19,35
2026-02-20,46
2026-02-21,14
2026-02-22,9
2026-02-23,53
2026-02-24,43
2026-02-25,38
2026-02-26,43
2026-02-27,45
2026-02-28,16
2026-03-01,16
2026-03-02,71
2026-03-03,77
2026-03-04,56
2026-03-05,65
2026-03-06,64
2026-03-07,20
2026-03-08,16
2026-03-09,77
2026-03-10,60
2026-03-11,52
2026-03-12,58
2026-03-13,58
2026-03-14,18
2026-03-15,15
2026-03-16,53
2026-03-17,45
2026-03-18,57
2026-03-19,61
2026-03-20,63
2026-03-21,22
2026-03-22,15
2026-03-23,67
2026-03-24,54
2026-03-25,51
2026-03-26,59
2026-03-27,66
2026-03-28,20
2026-03-29,16
2026-03-30,70
2026-03-31,78
2026-04-01,58
2026-04-02,74
2026-04-03,100
2026-04-04,16
2026-04-05,41
2026-04-06,80
2026-04-07,71
2026-04-08,74
2026-04-09,56
2026-04-10,46
2026-04-11,14
2026-04-12,13
2026-04-13,54
2026-04-14,60
2026-04-15,46
2026-04-16,46
2026-04-17,65
2026-04-18,18
2026-04-19,13
2026-04-20,53
2026-04-21,49
2026-04-22,46
2026-04-23,49
2026-04-24,42
2026-04-25,16
2026-04-26,12
2026-04-27,41
2026-04-28,42
2026-04-29,43
2026-04-30,46
2026-05-01,38
2026-05-02,11
2026-05-03,10
2026-05-04,38
2026-05-05,41
2026-05-06,47
2026-05-07,49
2026-05-08,42
2026-05-09,15
2026-05-10,11
2026-05-11,42
2026-05-12,56
2026-05-13,42
2026-05-14,45
2026-05-15,58
2026-05-16,18
2026-05-17,12
2026-05-18,48
2026-05-19,47
2026-05-20,47
2026-05-21,46
2026-05-22,51
2026-05-23,20
2026-05-24,14
2026-05-25,29
2026-05-26,46
2026-05-27,47
2026-05-28,48
2026-05-29,47
2026-05-30,17
2026-05-31,15
