Time,stock market today
2022-01-01,6
2022-01-02,3
2022-01-03,18
2022-01-04,23
2022-01-05,33
2022-01-06,26
2022-01-07,22
2022-01-08,6
2022-01-09,3
2022-01-10,23
2022-01-11,22
2022-01-12,17
2022-01-13,24
2022-01-14,20
2022-01-15,6
2022-01-16,3
2022-01-17,35
2022-01-18,25
2022-01-19,31
2022-01-20,33
2022-01-21,44
2022-01-22,17
2022-01-23,5
2022-01-24,78
2022-01-25,49
2022-01-26,41
2022-01-27,36
2022-01-28,35
2022-01-29,11
2022-01-30,4
2022-01-31,26
2022-02-01,28
2022-02-02,26
2022-02-03,31
2022-02-04,33
2022-02-05,8
2022-02-06,3
2022-02-07,22
2022-02-08,21
2022-02-09,20
2022-02-10,24
2022-02-11,33
2022-02-12,9
2022-02-13,3
2022-02-14,23
2022-02-15,27
2022-02-16,24
2022-02-17,28
2022-02-18,32
2022-02-19,9
2022-02-20,4
2022-02-21,58
2022-02-22,46
2022-02-23,41
2022-02-24,100
2022-02-25,58
2022-02-26,16
2022-02-27,7
2022-02-28,43
2022-03-01,42
2022-03-02,38
2022-03-03,34
2022-03-04,34
2022-03-05,10
2022-03-06,5
2022-03-07,40
2022-03-08,52
2022-03-09,45
2022-03-10,41
2022-03-11,36
2022-03-12,10
2022-03-13,4
2022-03-14,33
2022-03-15,33
2022-03-16,36
2022-03-17,33
2022-03-18,33
2022-03-19,8
2022-03-20,4
2022-03-21,27
2022-03-22,27
2022-03-23,26
2022-03-24,27
2022-03-25,23
2022-03-26,6
2022-03-27,4
2022-03-28,20
2022-03-29,23
2022-03-30,24
2022-03-31,23
2022-04-01,23
2022-04-02,6
2022-04-03,3
2022-04-04,22
2022-04-05,24
2022-04-06,27
2022-04-07,23
2022-04-08,21
2022-04-09,6
2022-04-10,3
2022-04-11,22
2022-04-12,25
2022-04-13,23
2022-04-14,22
2022-04-15,54
2022-04-16,10
2022-04-17,4
2022-04-18,22
2022-04-19,23
2022-04-20,21
2022-04-21,25
2022-04-22,33
2022-04-23,12
2022-04-24,5
2022-04-25,31
2022-04-26,40
2022-04-27,35
2022-04-28,29
2022-04-29,34
2022-04-30,13
2022-05-01,5
2022-05-02,32
2022-05-03,30
2022-05-04,34
2022-05-05,58
2022-05-06,57
2022-05-07,14
2022-05-08,5
2022-05-09,51
2022-05-10,54
2022-05-11,46
2022-05-12,51
2022-05-13,44
2022-05-14,12
2022-05-15,5
2022-05-16,32
2022-05-17,35
2022-05-18,55
2022-05-19,60
2022-05-20,54
2022-05-21,12
2022-05-22,5
2022-05-23,35
2022-05-24,44
2022-05-25,37
2022-05-26,34
2022-05-27,39
2022-05-28,9
2022-05-29,4
2022-05-30,11
2022-05-31,32
2022-06-01,31
2022-06-02,27
2022-06-03,31
2022-06-04,8
2022-06-05,4
2022-06-06,27
2022-06-07,28
2022-06-08,27
2022-06-09,29
2022-06-10,46
2022-06-11,12
2022-06-12,5
2022-06-13,64
2022-06-14,69
2022-06-15,69
2022-06-16,67
2022-06-17,55
2022-06-18,14
2022-06-19,6
2022-06-20,91
2022-06-21,48
2022-06-22,44
2022-06-23,36
2022-06-24,37
2022-06-25,9
2022-06-26,5
2022-06-27,31
2022-06-28,33
2022-06-29,33
2022-06-30,32
2022-07-01,32
2022-07-02,8
2022-07-03,3
2022-07-04,7
2022-07-05,32
2022-07-06,29
2022-07-07,26
2022-07-08,27
2022-07-09,7
2022-07-10,4
2022-07-11,25
2022-07-12,27
2022-07-13,29
2022-07-14,29
2022-07-15,30
2022-07-16,7
2022-07-17,4
2022-07-18,26
2022-07-19,31
2022-07-20,32
2022-07-21,28
2022-07-22,27
2022-07-23,6
2022-07-24,3
2022-07-25,23
2022-07-26,28
2022-07-27,32
2022-07-28,34
2022-07-29,29
2022-07-30,8
2022-07-31,3
2022-08-01,25
2022-08-02,27
2022-08-03,25
2022-08-04,26
2022-08-05,27
2022-08-06,6
2022-08-07,3
2022-08-08,24
2022-08-09,24
2022-08-10,29
2022-08-11,26
2022-08-12,23
2022-08-13,6
2022-08-14,4
2022-08-15,23
2022-08-16,25
2022-08-17,25
2022-08-18,23
2022-08-19,25
2022-08-20,6
2022-08-21,3
2022-08-22,26
2022-08-23,29
2022-08-24,22
2022-08-25,22
2022-08-26,37
2022-08-27,13
2022-08-28,5
2022-08-29,29
2022-08-30,29
2022-08-31,27
2022-09-01,27
2022-09-02,26
2022-09-03,7
2022-09-04,3
2022-09-05,9
2022-09-06,23
2022-09-07,24
2022-09-08,21
2022-09-09,22
2022-09-10,5
2022-09-11,3
2022-09-12,19
2022-09-13,56
2022-09-14,61
2022-09-15,39
2022-09-16,36
2022-09-17,9
2022-09-18,3
2022-09-19,25
2022-09-20,31
2022-09-21,41
2022-09-22,37
2022-09-23,47
2022-09-24,12
2022-09-25,4
2022-09-26,40
2022-09-27,40
