Time,jack black
2023-04-26,83
2023-04-27,72
2023-04-28,77
2023-04-29,100
2023-04-30,90
2023-05-01,70
2023-05-02,65
2023-05-03,62
2023-05-04,58
2023-05-05,60
2023-05-06,72
2023-05-07,68
2023-05-08,57
2023-05-09,59
2023-05-10,55
2023-05-11,56
2023-05-12,60
2023-05-13,73
2023-05-14,86
2023-05-15,67
2023-05-16,71
2023-05-17,92
2023-05-18,83
2023-05-19,90
2023-05-20,99
2023-05-21,91
2023-05-22,68
2023-05-23,62
2023-05-24,60
2023-05-25,59
2023-05-26,57
2023-05-27,67
2023-05-28,67
2023-05-29,70
2023-05-30,50
2023-05-31,43
2023-06-01,52
2023-06-02,55
2023-06-03,60
2023-06-04,67
2023-06-05,51
2023-06-06,50
2023-06-07,52
2023-06-08,48
2023-06-09,51
2023-06-10,58
2023-06-11,57
2023-06-12,41
2023-06-13,38
2023-06-14,40
2023-06-15,42
2023-06-16,42
2023-06-17,51
2023-06-18,52
2023-06-19,46
2023-06-20,38
2023-06-21,40
2023-06-22,36
2023-06-23,40
2023-06-24,48
2023-06-25,49
2023-06-26,41
2023-06-27,36
2023-06-28,40
2023-06-29,39
2023-06-30,41
2023-07-01,47
2023-07-02,49
2023-07-03,42
2023-07-04,49
2023-07-05,40
2023-07-06,38
2023-07-07,42
2023-07-08,48
2023-07-09,51
2023-07-10,37
2023-07-11,37
2023-07-12,38
2023-07-13,35
2023-07-14,39
2023-07-15,47
2023-07-16,49
2023-07-17,37
2023-07-18,39
2023-07-19,39
2023-07-20,39
2023-07-21,39
2023-07-22,49
2023-07-23,50
2023-07-24,39
2023-07-25,35
2023-07-26,53
2023-07-27,36
2023-07-28,38
2023-07-29,46
2023-07-30,46
2023-07-31,35
2023-08-01,34
2023-08-02,35
2023-08-03,35
2023-08-04,45
2023-08-05,50
2023-08-06,63
2023-08-07,40
2023-08-08,36
2023-08-09,39
2023-08-10,36
2023-08-11,38
2023-08-12,39
2023-08-13,47
2023-08-14,34
2023-08-15,33
2023-08-16,37
2023-08-17,39
2023-08-18,41
2023-08-19,48
2023-08-20,47
2023-08-21,37
2023-08-22,33
2023-08-23,35
2023-08-24,34
2023-08-25,35
2023-08-26,44
2023-08-27,43
2023-08-28,42
2023-08-29,40
2023-08-30,39
2023-08-31,34
2023-09-01,38
2023-09-02,40
2023-09-03,52
2023-09-04,47
2023-09-05,36
2023-09-06,33
2023-09-07,38
2023-09-08,39
2023-09-09,41
2023-09-10,45
2023-09-11,34
2023-09-12,35
2023-09-13,36
2023-09-14,36
2023-09-15,38
2023-09-16,41
2023-09-17,41
2023-09-18,33
2023-09-19,31
2023-09-20,33
2023-09-21,33
2023-09-22,32
2023-09-23,42
2023-09-24,43
2023-09-25,43
2023-09-26,37
2023-09-27,31
2023-09-28,34
2023-09-29,35
2023-09-30,38
2023-10-01,40
2023-10-02,35
2023-10-03,33
2023-10-04,35
2023-10-05,39
2023-10-06,37
2023-10-07,40
2023-10-08,48
2023-10-09,37
2023-10-10,35
2023-10-11,39
2023-10-12,40
2023-10-13,40
2023-10-14,45
2023-10-15,52
2023-10-16,43
2023-10-17,36
2023-10-18,33
2023-10-19,37
2023-10-20,38
2023-10-21,39
2023-10-22,44
2023-10-23,37
2023-10-24,37
2023-10-25,35
2023-10-26,43
2023-10-27,43
2023-10-28,52
2023-10-29,43
2023-10-30,37
2023-10-31,42
2023-11-01,36
2023-11-02,34
2023-11-03,36
2023-11-04,41
2023-11-05,41
2023-11-06,35
2023-11-07,39
2023-11-08,42
2023-11-09,38
2023-11-10,38
2023-11-11,45
2023-11-12,45
2023-11-13,34
2023-11-14,35
2023-11-15,34
2023-11-16,35
2023-11-17,35
2023-11-18,43
2023-11-19,44
2023-11-20,38
2023-11-21,36
2023-11-22,41
2023-11-23,58
2023-11-24,68
2023-11-25,54
2023-11-26,49
2023-11-27,38
2023-11-28,35
2023-11-29,35
2023-11-30,32
2023-12-01,34
2023-12-02,46
2023-12-03,43
2023-12-04,36
2023-12-05,37
2023-12-06,38
2023-12-07,37
2023-12-08,36
2023-12-09,46
2023-12-10,52
2023-12-11,43
2023-12-12,40
2023-12-13,46
2023-12-14,41
2023-12-15,45
2023-12-16,52
2023-12-17,84
2023-12-18,44
2023-12-19,40
2023-12-20,45
2023-12-21,43
2023-12-22,46
2023-12-23,55
2023-12-24,58
2023-12-25,73
2023-12-26,53
2023-12-27,43
2023-12-28,82
2023-12-29,48
2023-12-30,48
2023-12-31,47
2024-01-01,55
2024-01-02,47
2024-01-03,64
2024-01-04,48
2024-01-05,45
2024-01-06,60
2024-01-07,59
2024-01-08,50
2024-01-09,56
2024-01-10,54
2024-01-11,49
2024-01-12,45
2024-01-13,59
2024-01-14,51
2024-01-15,43
2024-01-16,36
2024-01-17,37
2024-01-18,36
2024-01-19,49
2024-01-20,62
