Time,ulta
2023-04-26,20
2023-04-27,20
2023-04-28,22
2023-04-29,28
2023-04-30,29
2023-05-01,21
2023-05-02,20
2023-05-03,20
2023-05-04,23
2023-05-05,23
2023-05-06,27
2023-05-07,28
2023-05-08,20
2023-05-09,20
2023-05-10,21
2023-05-11,24
2023-05-12,26
2023-05-13,31
2023-05-14,30
2023-05-15,21
2023-05-16,21
2023-05-17,22
2023-05-18,22
2023-05-19,25
2023-05-20,29
2023-05-21,27
2023-05-22,19
2023-05-23,19
2023-05-24,19
2023-05-25,22
2023-05-26,24
2023-05-27,28
2023-05-28,26
2023-05-29,28
2023-05-30,21
2023-05-31,20
2023-06-01,24
2023-06-02,25
2023-06-03,29
2023-06-04,27
2023-06-05,19
2023-06-06,20
2023-06-07,22
2023-06-08,22
2023-06-09,26
2023-06-10,26
2023-06-11,26
2023-06-12,21
2023-06-13,20
2023-06-14,21
2023-06-15,22
2023-06-16,24
2023-06-17,28
2023-06-18,24
2023-06-19,22
2023-06-20,20
2023-06-21,20
2023-06-22,21
2023-06-23,25
2023-06-24,27
2023-06-25,28
2023-06-26,25
2023-06-27,24
2023-06-28,23
2023-06-29,22
2023-06-30,26
2023-07-01,29
2023-07-02,27
2023-07-03,24
2023-07-04,25
2023-07-05,19
2023-07-06,22
2023-07-07,25
2023-07-08,29
2023-07-09,27
2023-07-10,21
2023-07-11,23
2023-07-12,23
2023-07-13,22
2023-07-14,24
2023-07-15,26
2023-07-16,27
2023-07-17,19
2023-07-18,20
2023-07-19,20
2023-07-20,20
2023-07-21,20
2023-07-22,24
2023-07-23,24
2023-07-24,18
2023-07-25,20
2023-07-26,20
2023-07-27,21
2023-07-28,23
2023-07-29,26
2023-07-30,25
2023-07-31,21
2023-08-01,22
2023-08-02,22
2023-08-03,24
2023-08-04,24
2023-08-05,26
2023-08-06,27
2023-08-07,19
2023-08-08,20
2023-08-09,19
2023-08-10,20
2023-08-11,23
2023-08-12,27
2023-08-13,27
2023-08-14,20
2023-08-15,22
2023-08-16,20
2023-08-17,20
2023-08-18,26
2023-08-19,28
2023-08-20,27
2023-08-21,19
2023-08-22,21
2023-08-23,22
2023-08-24,21
2023-08-25,25
2023-08-26,30
2023-08-27,34
2023-08-28,22
2023-08-29,21
2023-08-30,20
2023-08-31,23
2023-09-01,29
2023-09-02,30
2023-09-03,32
2023-09-04,33
2023-09-05,20
2023-09-06,19
2023-09-07,21
2023-09-08,21
2023-09-09,29
2023-09-10,27
2023-09-11,19
2023-09-12,18
2023-09-13,19
2023-09-14,22
2023-09-15,24
2023-09-16,30
2023-09-17,28
2023-09-18,17
2023-09-19,17
2023-09-20,18
2023-09-21,19
2023-09-22,21
2023-09-23,28
2023-09-24,28
2023-09-25,20
2023-09-26,19
2023-09-27,18
2023-09-28,19
2023-09-29,24
2023-09-30,30
2023-10-01,30
2023-10-02,20
2023-10-03,19
2023-10-04,19
2023-10-05,20
2023-10-06,23
2023-10-07,29
2023-10-08,26
2023-10-09,23
2023-10-10,20
2023-10-11,18
2023-10-12,19
2023-10-13,21
2023-10-14,24
2023-10-15,25
2023-10-16,16
2023-10-17,17
2023-10-18,18
2023-10-19,19
2023-10-20,20
2023-10-21,29
2023-10-22,29
2023-10-23,18
2023-10-24,19
2023-10-25,19
2023-10-26,20
2023-10-27,23
2023-10-28,26
2023-10-29,26
2023-10-30,18
2023-10-31,17
2023-11-01,18
2023-11-02,21
2023-11-03,25
2023-11-04,30
2023-11-05,31
2023-11-06,23
2023-11-07,24
2023-11-08,23
2023-11-09,24
2023-11-10,29
2023-11-11,34
2023-11-12,35
2023-11-13,25
2023-11-14,23
2023-11-15,26
2023-11-16,26
2023-11-17,29
2023-11-18,36
2023-11-19,47
2023-11-20,34
2023-11-21,35
2023-11-22,41
2023-11-23,45
2023-11-24,100
2023-11-25,62
2023-11-26,48
2023-11-27,46
2023-11-28,37
2023-11-29,28
2023-11-30,26
2023-12-01,32
2023-12-02,37
2023-12-03,36
2023-12-04,30
2023-12-05,29
2023-12-06,28
2023-12-07,29
2023-12-08,33
2023-12-09,39
2023-12-10,42
2023-12-11,32
2023-12-12,31
2023-12-13,31
2023-12-14,34
2023-12-15,38
2023-12-16,47
2023-12-17,48
2023-12-18,38
2023-12-19,40
2023-12-20,42
2023-12-21,46
2023-12-22,55
2023-12-23,66
2023-12-24,60
2023-12-25,32
2023-12-26,50
2023-12-27,42
2023-12-28,38
2023-12-29,43
2023-12-30,43
2023-12-31,41
2024-01-01,35
2024-01-02,30
2024-01-03,27
2024-01-04,28
2024-01-05,28
2024-01-06,31
2024-01-07,32
2024-01-08,23
2024-01-09,18
2024-01-10,21
2024-01-11,23
2024-01-12,25
2024-01-13,25
2024-01-14,31
2024-01-15,27
2024-01-16,19
2024-01-17,19
2024-01-18,19
2024-01-19,22
2024-01-20,31
