Time,tmz
2022-01-01,47.0
2022-01-02,45.0
2022-01-03,43.0
2022-01-04,51.0
2022-01-05,48.0
2022-01-06,40.0
2022-01-07,51.0
2022-01-08,42.0
2022-01-09,40.0
2022-01-10,99.0
2022-01-11,50.0
2022-01-12,47.0
2022-01-13,59.0
2022-01-14,42.0
2022-01-15,46.0
2022-01-16,45.0
2022-01-17,46.0
2022-01-18,43.0
2022-01-19,45.0
2022-01-20,41.0
2022-01-21,55.0
2022-01-22,69.0
2022-01-23,56.0
2022-01-24,67.0
2022-01-25,44.0
2022-01-26,46.0
2022-01-27,44.0
2022-01-28,46.0
2022-01-29,46.0
2022-01-30,47.0
2022-01-31,49.0
2022-02-01,47.0
2022-02-02,46.0
2022-02-03,49.0
2022-02-04,47.0
2022-02-05,42.0
2022-02-06,44.0
2022-02-07,51.0
2022-02-08,45.0
2022-02-09,42.0
2022-02-10,47.0
2022-02-11,47.0
2022-02-12,48.0
2022-02-13,46.0
2022-02-14,46.0
2022-02-15,46.0
2022-02-16,46.0
2022-02-17,47.0
2022-02-18,44.0
2022-02-19,48.0
2022-02-20,44.0
2022-02-21,43.0
2022-02-22,49.0
2022-02-23,45.0
2022-02-24,44.0
2022-02-25,41.0
2022-02-26,44.0
2022-02-27,41.0
2022-02-28,42.0
2022-03-01,44.0
2022-03-02,44.0
2022-03-03,44.0
2022-03-04,42.0
2022-03-05,42.0
2022-03-06,40.0
2022-03-07,40.0
2022-03-08,40.0
2022-03-09,41.0
2022-03-10,43.0
2022-03-11,41.0
2022-03-12,47.0
2022-03-13,44.0
2022-03-14,46.0
2022-03-15,51.0
2022-03-16,43.0
2022-03-17,41.0
2022-03-18,41.0
2022-03-19,41.0
2022-03-20,40.0
2022-03-21,42.0
2022-03-22,45.0
2022-03-23,43.0
2022-03-24,40.0
2022-03-25,41.0
2022-03-26,72.0
2022-03-27,50.0
2022-03-28,100.0
2022-03-29,50.0
2022-03-30,46.0
2022-03-31,48.0
2022-04-01,45.0
2022-04-02,44.0
2022-04-03,43.0
2022-04-04,42.0
2022-04-05,45.0
2022-04-06,44.0
2022-04-07,40.0
2022-04-08,42.0
2022-04-09,50.0
2022-04-10,47.0
2022-04-11,44.0
2022-04-12,47.0
2022-04-13,42.0
2022-04-14,43.0
2022-04-15,45.0
2022-04-16,41.0
2022-04-17,41.0
2022-04-18,39.0
2022-04-19,40.0
2022-04-20,42.0
2022-04-21,50.0
2022-04-22,47.0
2022-04-23,46.0
2022-04-24,42.0
2022-04-25,44.0
2022-04-26,39.0
2022-04-27,42.0
2022-04-28,41.0
2022-04-29,40.0
2022-04-30,49.0
2022-05-01,58.0
2022-05-02,47.0
2022-05-03,42.0
2022-05-04,50.0
2022-05-05,50.0
2022-05-06,74.0
2022-05-07,46.0
2022-05-08,44.0
2022-05-09,41.0
2022-05-10,43.0
2022-05-11,41.0
2022-05-12,45.0
2022-05-13,41.0
2022-05-14,44.0
2022-05-15,44.0
2022-05-16,45.0
2022-05-17,43.0
2022-05-18,47.0
2022-05-19,45.0
2022-05-20,43.0
2022-05-21,44.0
2022-05-22,46.0
2022-05-23,44.0
2022-05-24,48.0
2022-05-25,85.0
2022-05-26,87.0
2022-05-27,59.0
2022-05-28,52.0
2022-05-29,50.0
2022-05-30,52.0
2022-05-31,51.0
2022-06-01,62.0
2022-06-02,48.0
2022-06-03,45.0
2022-06-04,45.0
2022-06-05,47.0
2022-06-06,46.0
2022-06-07,47.0
2022-06-08,46.0
2022-06-09,46.0
2022-06-10,47.0
2022-06-11,50.0
2022-06-12,43.0
2022-06-13,43.0
2022-06-14,47.0
2022-06-15,43.0
2022-06-16,46.0
2022-06-17,42.0
2022-06-18,43.0
2022-06-19,41.0
2022-06-20,46.0
2022-06-21,42.0
2022-06-22,48.0
2022-06-23,45.0
2022-06-24,41.0
2022-06-25,43.0
2022-06-26,43.0
2022-06-27,48.0
2022-06-28,43.0
2022-06-29,65.0
2022-06-30,50.0
2022-07-01,47.0
2022-07-02,43.0
2022-07-03,45.0
2022-07-04,46.0
2022-07-05,42.0
2022-07-06,44.0
2022-07-07,45.0
2022-07-08,47.0
2022-07-09,41.0
2022-07-10,40.0
2022-07-11,46.0
2022-07-12,42.0
2022-07-13,41.0
2022-07-14,50.0
2022-07-15,47.0
2022-07-16,44.0
2022-07-17,45.0
2022-07-18,45.0
2022-07-19,46.0
2022-07-20,41.0
2022-07-21,40.0
2022-07-22,42.0
2022-07-23,40.0
2022-07-24,41.0
2022-07-25,43.0
2022-07-26,45.0
2022-07-27,47.0
2022-07-28,46.0
2022-07-29,47.0
2022-07-30,38.0
2022-07-31,42.0
2022-08-01,41.0
2022-08-02,46.0
2022-08-03,40.0
2022-08-04,40.0
2022-08-05,43.0
2022-08-06,62.0
2022-08-07,51.0
2022-08-08,55.0
2022-08-09,53.0
2022-08-10,46.0
2022-08-11,51.0
2022-08-12,69.0
2022-08-13,54.0
2022-08-14,51.0
2022-08-15,49.0
2022-08-16,47.0
2022-08-17,46.0
2022-08-18,46.0
2022-08-19,48.0
2022-08-20,45.0
2022-08-21,45.0
2022-08-22,47.0
2022-08-23,48.0
2022-08-24,44.0
2022-08-25,45.0
2022-08-26,43.0
2022-08-27,42.0
2022-08-28,43.0
2022-08-29,44.2962962962963
2022-08-30,43.5
2022-08-31,40.407407407407405
2022-09-01,41.7037037037037
2022-09-02,41.7037037037037
2022-09-03,41.2037037037037
2022-09-04,41.7037037037037
2022-09-05,41.7037037037037
2022-09-06,41.7037037037037
2022-09-07,44.2962962962963
2022-09-08,52.27777777777778
2022-09-09,43.0
2022-09-10,42.5
2022-09-11,39.907407407407405
2022-09-12,46.092592592592595
2022-09-13,52.27777777777778
2022-09-14,43.0
2022-09-15,41.7037037037037
2022-09-16,41.2037037037037
2022-09-17,41.2037037037037
2022-09-18,39.407407407407405
2022-09-19,40.407407407407405
2022-09-20,43.0
2022-09-21,43.0
2022-09-22,44.2962962962963
2022-09-23,41.2037037037037
2022-09-24,39.907407407407405
2022-09-25,43.0
2022-09-26,41.2037037037037
2022-09-27,39.907407407407405
2022-09-28,39.81481481481482
2022-09-29,55.74074074074074
2022-09-30,39.81481481481482
2022-10-01,38.22222222222222
2022-10-02,38.22222222222222
2022-10-03,38.22222222222222
2022-10-04,47.77777777777778
2022-10-05,43.0
2022-10-06,41.407407407407405
2022-10-07,55.74074074074074
2022-10-08,50.96296296296296
2022-10-09,43.0
2022-10-10,44.592592592592595
2022-10-11,41.407407407407405
2022-10-12,43.0
2022-10-13,43.0
2022-10-14,43.0
2022-10-15,39.81481481481482
2022-10-16,39.81481481481482
2022-10-17,41.407407407407405
2022-10-18,39.81481481481482
2022-10-19,41.407407407407405
2022-10-20,38.22222222222222
2022-10-21,41.407407407407405
2022-10-22,39.81481481481482
2022-10-23,41.407407407407405
2022-10-24,47.77777777777778
2022-10-25,47.77777777777778
2022-10-26,46.18518518518518
2022-10-27,50.96296296296296
2022-10-28,46.18518518518518
2022-10-29,47.77777777777778
2022-10-30,41.407407407407405
2022-10-31,41.407407407407405
2022-11-01,159.25925925925927
2022-11-02,101.92592592592592
2022-11-03,57.33333333333333
2022-11-04,49.37037037037037
2022-11-05,68.48148148148148
2022-11-06,58.925925925925924
2022-11-07,50.96296296296296
2022-11-08,49.37037037037037
2022-11-09,41.407407407407405
2022-11-10,41.407407407407405
2022-11-11,47.77777777777778
2022-11-12,47.77777777777778
2022-11-13,43.0
2022-11-14,44.592592592592595
2022-11-15,49.37037037037037
2022-11-16,46.18518518518518
2022-11-17,46.18518518518518
2022-11-18,44.592592592592595
2022-11-19,44.592592592592595
2022-11-20,52.55555555555556
2022-11-21,46.18518518518518
2022-11-22,49.37037037037037
2022-11-23,47.77777777777778
2022-11-24,41.407407407407405
2022-11-25,44.592592592592595
2022-11-26,47.77777777777778
2022-11-27,44.592592592592595
2022-11-28,38.22222222222222
2022-11-29,41.407407407407405
2022-11-30,41.407407407407405
2022-12-01,46.18518518518518
2022-12-02,44.592592592592595
2022-12-03,46.18518518518518
2022-12-04,43.0
2022-12-05,39.81481481481482
2022-12-06,49.37037037037037
2022-12-07,46.18518518518518
2022-12-08,44.592592592592595
2022-12-09,44.592592592592595
2022-12-10,43.0
2022-12-11,44.592592592592595
2022-12-12,43.0
2022-12-13,41.407407407407405
2022-12-14,90.77777777777777
2022-12-15,68.48148148148148
2022-12-16,55.74074074074074
2022-12-17,52.55555555555556
2022-12-18,47.77777777777778
2022-12-19,47.77777777777778
2022-12-20,54.148148148148145
2022-12-21,49.37037037037037
2022-12-22,47.77777777777778
2022-12-23,50.96296296296296
2022-12-24,47.77777777777778
2022-12-25,47.77777777777778
2022-12-26,46.18518518518518
2022-12-27,50.96296296296296
2022-12-28,49.37037037037037
2022-12-29,50.96296296296296
2022-12-30,55.74074074074074
2022-12-31,54.148148148148145
2023-01-01,50.96296296296296
2023-01-02,57.33333333333333
2023-01-03,117.85185185185185
2023-01-04,55.74074074074074
2023-01-05,54.148148148148145
2023-01-06,49.37037037037037
2023-01-07,57.33333333333333
2023-01-08,49.37037037037037
2023-01-09,46.18518518518518
2023-01-10,49.37037037037037
2023-01-11,47.77777777777778
2023-01-12,52.55555555555556
2023-01-13,100.33333333333333
2023-01-14,57.33333333333333
2023-01-15,52.55555555555556
2023-01-16,52.55555555555556
2023-01-17,49.37037037037037
2023-01-18,62.11111111111111
2023-01-19,50.96296296296296
2023-01-20,50.96296296296296
2023-01-21,46.18518518518518
2023-01-22,47.77777777777778
2023-01-23,44.592592592592595
2023-01-24,47.77777777777778
2023-01-25,47.77777777777778
2023-01-26,46.18518518518518
2023-01-27,52.55555555555556
2023-01-28,55.74074074074074
2023-01-29,49.37037037037037
2023-01-30,47.77777777777778
2023-01-31,49.37037037037037
2023-02-01,46.18518518518518
2023-02-02,47.77777777777778
2023-02-03,44.592592592592595
2023-02-04,47.77777777777778
2023-02-05,43.0
2023-02-06,44.592592592592595
2023-02-07,43.0
2023-02-08,44.592592592592595
2023-02-09,43.0
2023-02-10,41.407407407407405
2023-02-11,46.18518518518518
2023-02-12,46.18518518518518
2023-02-13,52.55555555555556
2023-02-14,46.18518518518518
2023-02-15,49.37037037037037
2023-02-16,44.592592592592595
2023-02-17,44.592592592592595
2023-02-18,49.37037037037037
2023-02-19,55.74074074074074
2023-02-20,52.55555555555556
2023-02-21,46.18518518518518
2023-02-22,44.592592592592595
2023-02-23,44.592592592592595
2023-02-24,43.0
2023-02-25,44.592592592592595
2023-02-26,44.592592592592595
2023-02-27,39.81481481481482
2023-02-28,41.407407407407405
2023-03-01,43.0
2023-03-02,49.37037037037037
2023-03-03,43.0
2023-03-04,49.37037037037037
2023-03-05,47.77777777777778
2023-03-06,46.18518518518518
2023-03-07,46.18518518518518
2023-03-08,46.18518518518518
2023-03-09,47.77777777777778
2023-03-10,44.592592592592595
2023-03-11,46.18518518518518
2023-03-12,52.55555555555556
2023-03-13,43.0
2023-03-14,43.0
2023-03-15,46.18518518518518
2023-03-16,44.592592592592595
2023-03-17,44.592592592592595
2023-03-18,46.18518518518518
2023-03-19,44.592592592592595
2023-03-20,50.96296296296296
2023-03-21,52.55555555555556
2023-03-22,55.74074074074074
2023-03-23,50.96296296296296
2023-03-24,49.37037037037037
2023-03-25,44.592592592592595
2023-03-26,49.37037037037037
2023-03-27,46.18518518518518
2023-03-28,47.77777777777778
2023-03-29,44.592592592592595
2023-03-30,46.18518518518518
2023-03-31,46.18518518518518
2023-04-01,43.0
2023-04-02,43.0
2023-04-03,41.407407407407405
2023-04-04,46.18518518518518
2023-04-05,44.592592592592595
2023-04-06,46.18518518518518
2023-04-07,47.77777777777778
2023-04-08,41.407407407407405
2023-04-09,44.592592592592595
2023-04-10,46.18518518518518
2023-04-11,41.407407407407405
2023-04-12,41.407407407407405
2023-04-13,49.37037037037037
2023-04-14,44.592592592592595
2023-04-15,46.18518518518518
2023-04-16,44.592592592592595
2023-04-17,41.407407407407405
2023-04-18,43.0
2023-04-19,54.148148148148145
2023-04-20,46.18518518518518
2023-04-21,46.18518518518518
2023-04-22,41.407407407407405
2023-04-23,43.0
2023-04-24,41.407407407407405
2023-04-25,46.18518518518518
2023-04-26,41.49122807017544
2023-04-27,51.46588693957115
2023-04-28,42.93713450292398
2023-04-29,42.93713450292398
2023-04-30,41.49122807017544
2023-05-01,45.828947368421055
2023-05-02,43.58674463937622
2023-05-03,50.01998050682261
2023-05-04,45.828947368421055
2023-05-05,44.38304093567252
2023-05-06,47.92446393762184
2023-05-07,49.37037037037037
2023-05-08,49.37037037037037
2023-05-09,45.03265107212476
2023-05-10,44.38304093567252
2023-05-11,50.81627680311891
2023-05-12,49.37037037037037
2023-05-13,45.828947368421055
2023-05-14,45.828947368421055
2023-05-15,46.478557504873294
2023-05-16,47.92446393762184
2023-05-17,50.81627680311891
2023-05-18,45.03265107212476
2023-05-19,47.92446393762184
2023-05-20,45.828947368421055
2023-05-21,44.38304093567252
2023-05-22,42.93713450292398
2023-05-23,45.03265107212476
2023-05-24,51.46588693957115
2023-05-25,45.828947368421055
2023-05-26,42.87426900584796
2023-05-27,40.27582846003899
2023-05-28,44.17348927875244
2023-05-29,42.87426900584796
2023-05-30,46.771929824561404
2023-05-31,42.87426900584796
2023-06-01,48.07115009746589
2023-06-02,48.07115009746589
2023-06-03,44.17348927875244
2023-06-04,45.47270955165692
2023-06-05,46.771929824561404
2023-06-06,46.771929824561404
2023-06-07,42.87426900584796
2023-06-08,46.771929824561404
2023-06-09,45.47270955165692
2023-06-10,42.87426900584796
2023-06-11,44.17348927875244
2023-06-12,49.370370370370374
2023-06-13,46.771929824561404
2023-06-14,46.771929824561404
2023-06-15,42.87426900584796
2023-06-16,48.07115009746589
2023-06-17,46.771929824561404
2023-06-18,49.370370370370374
2023-06-19,46.771929824561404
2023-06-20,46.771929824561404
2023-06-21,48.07115009746589
2023-06-22,50.66959064327486
2023-06-23,46.771929824561404
2023-06-24,44.17348927875244
2023-06-25,51.968810916179336
2023-06-26,53.26803118908382
2023-06-27,46.771929824561404
2023-06-28,46.771929824561404
2023-06-29,48.07115009746589
2023-06-30,44.17348927875244
2023-07-01,45.47270955165692
2023-07-02,44.17348927875244
2023-07-03,48.07115009746589
2023-07-04,48.07115009746589
2023-07-05,50.66959064327486
2023-07-06,48.07115009746589
2023-07-07,54.567251461988306
2023-07-08,50.66959064327486
2023-07-09,42.87426900584796
2023-07-10,45.47270955165692
2023-07-11,42.87426900584796
2023-07-12,44.17348927875244
2023-07-13,44.17348927875244
2023-07-14,42.87426900584796
2023-07-15,38.9766081871345
2023-07-16,42.87426900584796
2023-07-17,45.47270955165692
2023-07-18,45.47270955165692
2023-07-19,45.47270955165692
2023-07-20,45.47270955165692
2023-07-21,46.771929824561404
2023-07-22,42.87426900584796
2023-07-23,41.57504873294347
2023-07-24,48.07115009746589
2023-07-25,50.66959064327486
2023-07-26,57.165692007797276
2023-07-27,50.66959064327486
2023-07-28,44.17348927875244
2023-07-29,42.87426900584796
2023-07-30,41.57504873294347
2023-07-31,54.567251461988306
2023-08-01,49.370370370370374
2023-08-02,41.57504873294347
2023-08-03,42.87426900584796
2023-08-04,44.17348927875244
2023-08-05,44.17348927875244
2023-08-06,42.87426900584796
2023-08-07,46.771929824561404
2023-08-08,50.66959064327486
2023-08-09,49.370370370370374
