Time,basketball game tonight
2023-12-22,17
2023-12-23,14
2023-12-24,5
2023-12-25,4
2023-12-26,5
2023-12-27,5
2023-12-28,6
2023-12-29,18
2023-12-30,21
2023-12-31,10
2024-01-01,5
2024-01-02,10
2024-01-03,18
2024-01-04,14
2024-01-05,17
2024-01-06,20
2024-01-07,15
2024-01-08,7
2024-01-09,16
2024-01-10,26
2024-01-11,22
2024-01-12,16
2024-01-13,28
2024-01-14,18
2024-01-15,6
2024-01-16,15
2024-01-17,31
2024-01-18,20
2024-01-19,18
2024-01-20,24
2024-01-21,14
2024-01-22,6
2024-01-23,16
2024-01-24,19
2024-01-25,19
2024-01-26,18
2024-01-27,29
2024-01-28,15
2024-01-29,6
2024-01-30,18
2024-01-31,22
2024-02-01,20
2024-02-02,12
2024-02-03,28
2024-02-04,26
2024-02-05,5
2024-02-06,13
2024-02-07,22
2024-02-08,18
2024-02-09,17
2024-02-10,23
2024-02-11,16
2024-02-12,3
2024-02-13,11
2024-02-14,19
2024-02-15,29
2024-02-16,46
2024-02-17,26
2024-02-18,20
2024-02-19,10
2024-02-20,14
2024-02-21,20
2024-02-22,24
2024-02-23,24
2024-02-24,27
2024-02-25,21
2024-02-26,6
2024-02-27,18
2024-02-28,32
2024-02-29,28
2024-03-01,22
2024-03-02,35
2024-03-03,33
2024-03-04,8
2024-03-05,16
2024-03-06,27
2024-03-07,20
2024-03-08,26
2024-03-09,40
2024-03-10,43
2024-03-11,8
2024-03-12,10
2024-03-13,16
2024-03-14,27
2024-03-15,34
2024-03-16,43
2024-03-17,21
2024-03-18,4
2024-03-19,11
2024-03-20,17
2024-03-21,31
2024-03-22,38
2024-03-23,48
2024-03-24,40
2024-03-25,30
2024-03-26,21
2024-03-27,12
2024-03-28,24
2024-03-29,45
2024-03-30,46
2024-03-31,28
2024-04-01,52
2024-04-02,38
2024-04-03,9
2024-04-04,11
2024-04-05,58
2024-04-06,100
2024-04-07,54
2024-04-08,64
2024-04-09,84
2024-04-10,7
2024-04-11,4
2024-04-12,2
2024-04-13,0
2024-04-14,3
2024-04-15,0
2024-04-16,3
2024-04-17,4
2024-04-18,5
2024-04-19,3
2024-04-20,4
2024-04-21,7
2024-04-22,4
2024-04-23,5
2024-04-24,4
2024-04-25,5
2024-04-26,7
2024-04-27,5
2024-04-28,6
2024-04-29,7
2024-04-30,6
2024-05-01,4
2024-05-02,6
2024-05-03,12
2024-05-04,13
2024-05-05,8
2024-05-06,5
2024-05-07,6
2024-05-08,5
2024-05-09,11
2024-05-10,10
2024-05-11,11
2024-05-12,9
2024-05-13,6
2024-05-14,10
2024-05-15,11
2024-05-16,11
2024-05-17,9
2024-05-18,9
2024-05-19,15
2024-05-20,12
2024-05-21,8
2024-05-22,12
2024-05-23,13
2024-05-24,11
2024-05-25,20
2024-05-26,17
2024-05-27,18
2024-05-28,13
2024-05-29,17
2024-05-30,12
2024-05-31,15
2024-06-01,5
2024-06-02,4
2024-06-03,3
2024-06-04,2
2024-06-05,2
2024-06-06,10
2024-06-07,24
2024-06-08,12
2024-06-09,13
2024-06-10,23
2024-06-11,8
2024-06-12,10
2024-06-13,33
2024-06-14,13
2024-06-15,32
2024-06-16,8
2024-06-17,9
2024-06-18,33
2024-06-19,4
2024-06-20,2
2024-06-21,0
2024-06-22,4
2024-06-23,3
2024-06-24,0
2024-06-25,2
2024-06-26,0
2024-06-27,0
2024-06-28,4
2024-06-29,0
2024-06-30,0
2024-07-01,0
2024-07-02,0
2024-07-03,2
2024-07-04,0
2024-07-05,0
2024-07-06,0
2024-07-07,0
2024-07-08,0
2024-07-09,0
2024-07-10,6
2024-07-11,13
2024-07-12,4
2024-07-13,3
2024-07-14,0
2024-07-15,0
2024-07-16,0
2024-07-17,3
2024-07-18,0
2024-07-19,2
2024-07-20,5
2024-07-21,5
2024-07-22,0
2024-07-23,2
2024-07-24,2
2024-07-25,0
2024-07-26,3
2024-07-27,5
2024-07-28,4
2024-07-29,2
2024-07-30,3
2024-07-31,3
2024-08-01,0
2024-08-02,0
2024-08-03,0
2024-08-04,2
2024-08-05,0
2024-08-06,0
2024-08-07,0
2024-08-08,5
2024-08-09,3
2024-08-10,8
2024-08-11,4
2024-08-12,0
2024-08-13,0
2024-08-14,0
2024-08-15,0
2024-08-16,2
2024-08-17,0
2024-08-18,0
2024-08-19,0
2024-08-20,0
2024-08-21,0
2024-08-22,0
2024-08-23,3
2024-08-24,0
2024-08-25,3
2024-08-26,0
2024-08-27,0
2024-08-28,0
2024-08-29,2
2024-08-30,3
2024-08-31,3
2024-09-01,0
2024-09-02,0
2024-09-03,0
2024-09-04,0
2024-09-05,0
2024-09-06,3
2024-09-07,3
2024-09-08,0
2024-09-09,0
2024-09-10,0
2024-09-11,2
2024-09-12,0
2024-09-13,0
2024-09-14,0
2024-09-15,0
2024-09-16,0
