Time,basketball game tonight
2025-04-15,3
2025-04-16,5
2025-04-17,5
2025-04-18,5
2025-04-19,8
2025-04-20,13
2025-04-21,5
2025-04-22,6
2025-04-23,7
2025-04-24,7
2025-04-25,6
2025-04-26,7
2025-04-27,9
2025-04-28,6
2025-04-29,7
2025-04-30,6
2025-05-01,11
2025-05-02,8
2025-05-03,14
2025-05-04,14
2025-05-05,12
2025-05-06,8
2025-05-07,9
2025-05-08,9
2025-05-09,11
2025-05-10,13
2025-05-11,9
2025-05-12,8
2025-05-13,11
2025-05-14,9
2025-05-15,9
2025-05-16,14
2025-05-17,17
2025-05-18,13
2025-05-19,5
2025-05-20,9
2025-05-21,15
2025-05-22,20
2025-05-23,16
2025-05-24,23
2025-05-25,27
2025-05-26,27
2025-05-27,22
2025-05-28,34
2025-05-29,36
2025-05-30,36
2025-05-31,32
2025-06-01,45
2025-06-02,9
2025-06-03,6
2025-06-04,5
2025-06-05,13
2025-06-06,40
2025-06-07,18
2025-06-08,46
2025-06-09,47
2025-06-10,14
2025-06-11,25
2025-06-12,50
2025-06-13,22
2025-06-14,54
2025-06-15,19
2025-06-16,23
2025-06-17,52
2025-06-18,15
2025-06-19,30
2025-06-20,67
2025-06-21,12
2025-06-22,43
2025-06-23,100
2025-06-24,4
2025-06-25,3
2025-06-26,2
2025-06-27,3
2025-06-28,3
2025-06-29,3
2025-06-30,0
2025-07-01,3
2025-07-02,3
2025-07-03,3
2025-07-04,0
2025-07-05,0
2025-07-06,5
2025-07-07,0
2025-07-08,2
2025-07-09,0
2025-07-10,0
2025-07-11,4
2025-07-12,4
2025-07-13,0
2025-07-14,2
2025-07-15,6
2025-07-16,4
2025-07-17,3
2025-07-18,4
2025-07-19,3
2025-07-20,4
2025-07-21,0
2025-07-22,3
2025-07-23,0
2025-07-24,3
2025-07-25,0
2025-07-26,0
2025-07-27,3
2025-07-28,3
2025-07-29,0
2025-07-30,0
2025-07-31,3
2025-08-01,3
2025-08-02,0
2025-08-03,0
2025-08-04,0
2025-08-05,0
2025-08-06,3
2025-08-07,5
2025-08-08,3
2025-08-09,4
2025-08-10,3
2025-08-11,0
2025-08-12,3
2025-08-13,0
2025-08-14,4
2025-08-15,0
2025-08-16,0
2025-08-17,0
2025-08-18,0
2025-08-19,0
2025-08-20,2
2025-08-21,0
2025-08-22,3
2025-08-23,0
2025-08-24,0
2025-08-25,3
2025-08-26,0
2025-08-27,3
2025-08-28,0
2025-08-29,3
2025-08-30,0
2025-08-31,4
2025-09-01,0
2025-09-02,0
2025-09-03,0
2025-09-04,3
2025-09-05,3
2025-09-06,4
2025-09-07,0
2025-09-08,0
2025-09-09,0
2025-09-10,0
2025-09-11,0
2025-09-12,0
2025-09-13,0
2025-09-14,0
2025-09-15,0
2025-09-16,0
2025-09-17,2
2025-09-18,2
2025-09-19,2
2025-09-20,3
2025-09-21,0
2025-09-22,0
2025-09-23,2
2025-09-24,2
2025-09-25,0
2025-09-26,0
2025-09-27,4
2025-09-28,0
2025-09-29,0
2025-09-30,0
2025-10-01,3
2025-10-02,0
2025-10-03,0
2025-10-04,5
2025-10-05,3
2025-10-06,0
2025-10-07,3
2025-10-08,0
2025-10-09,4
2025-10-10,3
2025-10-11,6
2025-10-12,3
2025-10-13,4
2025-10-14,3
2025-10-15,5
2025-10-16,3
2025-10-17,8
2025-10-18,10
2025-10-19,0
2025-10-20,0
2025-10-21,9
2025-10-22,17
2025-10-23,11
2025-10-24,37
2025-10-25,30
2025-10-26,11
2025-10-27,9
2025-10-28,24
2025-10-29,19
2025-10-30,30
2025-10-31,20
2025-11-01,8
2025-11-02,6
2025-11-03,35
2025-11-04,52
2025-11-05,28
2025-11-06,20
2025-11-07,37
2025-11-08,38
2025-11-09,17
2025-11-10,8
2025-11-11,36
2025-11-12,44
2025-11-13,23
2025-11-14,31
2025-11-15,46
2025-11-16,17
2025-11-17,9
2025-11-18,22
2025-11-19,32
2025-11-20,26
2025-11-21,36
2025-11-22,34
2025-11-23,14
2025-11-24,13
2025-11-25,26
2025-11-26,40
2025-11-27,31
2025-11-28,20
2025-11-29,19
2025-11-30,10
2025-12-01,9
2025-12-02,22
2025-12-03,36
2025-12-04,26
2025-12-05,23
2025-12-06,37
2025-12-07,20
2025-12-08,7
2025-12-09,20
2025-12-10,30
2025-12-11,24
2025-12-12,23
2025-12-13,43
2025-12-14,32
2025-12-15,8
2025-12-16,19
2025-12-17,30
2025-12-18,20
2025-12-19,19
2025-12-20,35
2025-12-21,17
2025-12-22,19
2025-12-23,24
2025-12-24,11
2025-12-25,8
2025-12-26,8
2025-12-27,12
2025-12-28,13
2025-12-29,21
2025-12-30,30
2025-12-31,19
2026-01-01,10
2026-01-02,18
2026-01-03,35
2026-01-04,16
2026-01-05,14
2026-01-06,26
2026-01-07,40
2026-01-08,41
2026-01-09,30
