Time,presidential_results
2022-09-18,1.6666666666666665
2022-09-19,2.0
2022-09-20,2.0
2022-09-21,2.0
2022-09-22,2.833333333333333
2022-09-23,2.0
2022-09-24,1.1666666666666665
2022-09-25,2.0
2022-09-26,1.1666666666666665
2022-09-27,2.833333333333333
2022-09-28,2.6666666666666665
2022-09-29,2.6666666666666665
2022-09-30,3.333333333333333
2022-10-01,1.3333333333333333
2022-10-02,4.0
2022-10-03,10.666666666666666
2022-10-04,6.0
2022-10-05,2.6666666666666665
2022-10-06,2.0
2022-10-07,2.6666666666666665
2022-10-08,1.3333333333333333
2022-10-09,1.3333333333333333
2022-10-10,1.3333333333333333
2022-10-11,2.6666666666666665
2022-10-12,2.0
2022-10-13,2.6666666666666665
2022-10-14,2.6666666666666665
2022-10-15,1.3333333333333333
2022-10-16,1.3333333333333333
2022-10-17,2.6666666666666665
2022-10-18,2.6666666666666665
2022-10-19,2.0
2022-10-20,2.6666666666666665
2022-10-21,2.0
2022-10-22,0.0
2022-10-23,2.0
2022-10-24,2.6666666666666665
2022-10-25,2.6666666666666665
2022-10-26,4.0
2022-10-27,2.6666666666666665
2022-10-28,3.333333333333333
2022-10-29,2.6666666666666665
2022-10-30,4.666666666666666
2022-10-31,4.0
2022-11-01,2.6666666666666665
2022-11-02,2.6666666666666665
2022-11-03,3.333333333333333
2022-11-04,4.0
2022-11-05,2.0
2022-11-06,4.0
2022-11-07,4.0
2022-11-08,10.666666666666666
2022-11-09,66.66666666666666
2022-11-10,24.0
2022-11-11,14.0
2022-11-12,10.0
2022-11-13,8.666666666666666
2022-11-14,8.666666666666666
2022-11-15,8.666666666666666
2022-11-16,10.666666666666666
2022-11-17,8.0
2022-11-18,6.0
2022-11-19,3.333333333333333
2022-11-20,3.333333333333333
2022-11-21,3.333333333333333
2022-11-22,2.0
2022-11-23,2.0
2022-11-24,1.3333333333333333
2022-11-25,0.0
2022-11-26,2.0
2022-11-27,2.6666666666666665
2022-11-28,2.6666666666666665
2022-11-29,2.6666666666666665
2022-11-30,2.6666666666666665
2022-12-01,2.6666666666666665
2022-12-02,2.6666666666666665
2022-12-03,2.6666666666666665
2022-12-04,2.0
2022-12-05,2.6666666666666665
2022-12-06,2.6666666666666665
2022-12-07,4.666666666666666
2022-12-08,3.333333333333333
2022-12-09,2.6666666666666665
2022-12-10,1.3333333333333333
2022-12-11,2.0
2022-12-12,2.6666666666666665
2022-12-13,2.0
2022-12-14,2.6666666666666665
2022-12-15,2.0
2022-12-16,2.6666666666666665
2022-12-17,2.6666666666666665
2022-12-18,0.0
2022-12-19,0.0
2022-12-20,2.6666666666666665
2022-12-21,1.3333333333333333
2022-12-22,0.0
2022-12-23,1.3333333333333333
2022-12-24,0.0
2022-12-25,0.0
2022-12-26,0.0
2022-12-27,1.3333333333333333
2022-12-28,1.3333333333333333
2022-12-29,1.3333333333333333
2022-12-30,0.0
2022-12-31,1.3333333333333333
2023-01-01,0.0
2023-01-02,0.0
2023-01-03,0.0
2023-01-04,2.0
2023-01-05,2.0
2023-01-06,2.0
2023-01-07,2.6666666666666665
2023-01-08,0.0
2023-01-09,2.0
2023-01-10,1.3333333333333333
2023-01-11,1.3333333333333333
2023-01-12,1.3333333333333333
2023-01-13,1.3333333333333333
2023-01-14,0.0
2023-01-15,0.0
2023-01-16,0.0
2023-01-17,1.3333333333333333
2023-01-18,2.0
2023-01-19,2.0
2023-01-20,1.3333333333333333
2023-01-21,0.0
2023-01-22,1.3333333333333333
2023-01-23,2.0
2023-01-24,2.0
2023-01-25,0.0
2023-01-26,1.3333333333333333
2023-01-27,1.3333333333333333
2023-01-28,0.0
2023-01-29,1.3333333333333333
2023-01-30,1.3333333333333333
2023-01-31,2.0
2023-02-01,2.0
2023-02-02,2.0
2023-02-03,2.0
2023-02-04,1.3333333333333333
2023-02-05,2.0
2023-02-06,2.0
2023-02-07,2.0
2023-02-08,2.6666666666666665
2023-02-09,2.0
2023-02-10,3.333333333333333
2023-02-11,0.0
2023-02-12,1.3333333333333333
2023-02-13,1.3333333333333333
2023-02-14,2.0
2023-02-15,3.333333333333333
2023-02-16,3.333333333333333
2023-02-17,2.6666666666666665
2023-02-18,2.6666666666666665
2023-02-19,2.6666666666666665
2023-02-20,2.0
2023-02-21,2.0
2023-02-22,2.6666666666666665
2023-02-23,2.6666666666666665
2023-02-24,2.0
2023-02-25,21.333333333333332
2023-02-26,23.333333333333332
2023-02-27,10.666666666666666
2023-02-28,9.333333333333332
2023-03-01,4.666666666666666
2023-03-02,3.333333333333333
2023-03-03,8.666666666666666
2023-03-04,3.333333333333333
2023-03-05,4.0
2023-03-06,2.6666666666666665
2023-03-07,3.333333333333333
2023-03-08,2.6666666666666665
2023-03-09,2.6666666666666665
2023-03-10,2.0
2023-03-11,2.0
2023-03-12,0.0
2023-03-13,2.0
2023-03-14,2.6666666666666665
2023-03-15,2.0
2023-03-16,2.6666666666666665
2023-03-17,2.0
2023-03-18,2.0
2023-03-19,1.3333333333333333
2023-03-20,2.0
2023-03-21,2.6666666666666665
2023-03-22,2.0
2023-03-23,3.333333333333333
2023-03-24,2.6666666666666665
2023-03-25,1.3333333333333333
2023-03-26,3.333333333333333
2023-03-27,1.3333333333333333
2023-03-28,2.0
2023-03-29,2.6666666666666665
2023-03-30,3.333333333333333
2023-03-31,2.6666666666666665
2023-04-01,2.6666666666666665
2023-04-02,2.6666666666666665
2023-04-03,3.333333333333333
2023-04-04,4.0
2023-04-05,6.0
2023-04-06,3.333333333333333
2023-04-07,2.6666666666666665
2023-04-08,1.3333333333333333
2023-04-09,2.0
2023-04-10,2.6666666666666665
2023-04-11,2.6666666666666665
2023-04-12,3.333333333333333
2023-04-13,2.6666666666666665
2023-04-14,2.0
2023-04-15,2.0
2023-04-16,2.6666666666666665
2023-04-17,2.6666666666666665
2023-04-18,2.0
2023-04-19,2.0
2023-04-20,4.0
2023-04-21,2.6666666666666665
2023-04-22,3.333333333333333
2023-04-23,2.0
2023-04-24,3.333333333333333
2023-04-25,4.0
2023-04-26,3.5238095238095237
2023-04-27,3.3809523809523805
2023-04-28,2.761904761904762
2023-04-29,2.0
2023-04-30,2.142857142857143
2023-05-01,3.3809523809523805
2023-05-02,3.8571428571428568
2023-05-03,2.6190476190476186
2023-05-04,2.761904761904762
2023-05-05,2.761904761904762
2023-05-06,1.8571428571428572
2023-05-07,1.380952380952381
2023-05-08,2.761904761904762
2023-05-09,2.6190476190476186
2023-05-10,4.619047619047619
2023-05-11,2.761904761904762
2023-05-12,2.0
2023-05-13,0.0
2023-05-14,7.238095238095237
2023-05-15,4.761904761904761
2023-05-16,2.0
2023-05-17,3.3809523809523805
2023-05-18,2.4761904761904763
2023-05-19,2.0
2023-05-20,0.0
2023-05-21,1.380952380952381
2023-05-22,2.6190476190476186
2023-05-23,2.0
2023-05-24,2.4761904761904763
2023-05-25,2.0
2023-05-26,2.0
2023-05-27,1.4285714285714284
2023-05-28,2.571428571428571
2023-05-29,2.2857142857142856
