Time,food near me
2023-04-26,45
2023-04-27,47
2023-04-28,54
2023-04-29,77
2023-04-30,72
2023-05-01,48
2023-05-02,45
2023-05-03,47
2023-05-04,48
2023-05-05,55
2023-05-06,77
2023-05-07,71
2023-05-08,48
2023-05-09,43
2023-05-10,49
2023-05-11,48
2023-05-12,54
2023-05-13,77
2023-05-14,77
2023-05-15,49
2023-05-16,48
2023-05-17,47
2023-05-18,51
2023-05-19,58
2023-05-20,76
2023-05-21,77
2023-05-22,51
2023-05-23,47
2023-05-24,51
2023-05-25,54
2023-05-26,61
2023-05-27,81
2023-05-28,84
2023-05-29,77
2023-05-30,50
2023-05-31,50
2023-06-01,54
2023-06-02,62
2023-06-03,82
2023-06-04,79
2023-06-05,55
2023-06-06,51
2023-06-07,51
2023-06-08,53
2023-06-09,59
2023-06-10,82
2023-06-11,81
2023-06-12,57
2023-06-13,54
2023-06-14,55
2023-06-15,58
2023-06-16,65
2023-06-17,84
2023-06-18,81
2023-06-19,62
2023-06-20,56
2023-06-21,56
2023-06-22,55
2023-06-23,66
2023-06-24,80
2023-06-25,85
2023-06-26,62
2023-06-27,57
2023-06-28,55
2023-06-29,58
2023-06-30,70
2023-07-01,83
2023-07-02,85
2023-07-03,72
2023-07-04,77
2023-07-05,62
2023-07-06,58
2023-07-07,65
2023-07-08,84
2023-07-09,77
2023-07-10,56
2023-07-11,53
2023-07-12,49
2023-07-13,56
2023-07-14,63
2023-07-15,79
2023-07-16,78
2023-07-17,54
2023-07-18,53
2023-07-19,54
2023-07-20,56
2023-07-21,63
2023-07-22,77
2023-07-23,80
2023-07-24,59
2023-07-25,55
2023-07-26,53
2023-07-27,56
2023-07-28,64
2023-07-29,81
2023-07-30,76
2023-07-31,54
2023-08-01,53
2023-08-02,52
2023-08-03,55
2023-08-04,61
2023-08-05,77
2023-08-06,80
2023-08-07,55
2023-08-08,51
2023-08-09,50
2023-08-10,51
2023-08-11,59
2023-08-12,77
2023-08-13,76
2023-08-14,53
2023-08-15,49
2023-08-16,49
2023-08-17,50
2023-08-18,59
2023-08-19,76
2023-08-20,74
2023-08-21,50
2023-08-22,49
2023-08-23,46
2023-08-24,50
2023-08-25,54
2023-08-26,72
2023-08-27,70
2023-08-28,48
2023-08-29,45
2023-08-30,45
2023-08-31,47
2023-09-01,58
2023-09-02,73
2023-09-03,74
2023-09-04,69
2023-09-05,45
2023-09-06,41
2023-09-07,43
2023-09-08,50
2023-09-09,67
2023-09-10,63
2023-09-11,45
2023-09-12,41
2023-09-13,41
2023-09-14,44
2023-09-15,52
2023-09-16,71
2023-09-17,69
2023-09-18,43
2023-09-19,42
2023-09-20,43
2023-09-21,46
2023-09-22,52
2023-09-23,73
2023-09-24,66
2023-09-25,46
2023-09-26,41
2023-09-27,41
2023-09-28,47
2023-09-29,52
2023-09-30,71
2023-10-01,72
2023-10-02,44
2023-10-03,43
2023-10-04,43
2023-10-05,45
2023-10-06,50
2023-10-07,72
2023-10-08,65
2023-10-09,48
2023-10-10,42
2023-10-11,42
2023-10-12,44
2023-10-13,51
2023-10-14,69
2023-10-15,69
2023-10-16,46
2023-10-17,42
2023-10-18,41
2023-10-19,45
2023-10-20,54
2023-10-21,69
2023-10-22,68
2023-10-23,44
2023-10-24,41
2023-10-25,42
2023-10-26,45
2023-10-27,49
2023-10-28,65
2023-10-29,66
2023-10-30,44
2023-10-31,39
2023-11-01,43
2023-11-02,43
2023-11-03,50
2023-11-04,65
2023-11-05,60
2023-11-06,41
2023-11-07,42
2023-11-08,39
2023-11-09,42
2023-11-10,52
2023-11-11,71
2023-11-12,66
2023-11-13,42
2023-11-14,40
2023-11-15,41
2023-11-16,42
2023-11-17,49
2023-11-18,68
2023-11-19,64
2023-11-20,45
2023-11-21,44
2023-11-22,50
2023-11-23,60
2023-11-24,47
2023-11-25,52
2023-11-26,56
2023-11-27,37
2023-11-28,37
2023-11-29,38
2023-11-30,39
2023-12-01,44
2023-12-02,64
2023-12-03,60
2023-12-04,41
2023-12-05,39
2023-12-06,38
2023-12-07,40
2023-12-08,48
2023-12-09,66
2023-12-10,64
2023-12-11,41
2023-12-12,41
2023-12-13,40
2023-12-14,41
2023-12-15,44
2023-12-16,66
2023-12-17,58
2023-12-18,43
2023-12-19,42
2023-12-20,45
2023-12-21,46
2023-12-22,51
2023-12-23,65
2023-12-24,62
2023-12-25,100
2023-12-26,66
2023-12-27,50
2023-12-28,53
2023-12-29,57
2023-12-30,63
2023-12-31,60
2024-01-01,79
2024-01-02,47
2024-01-03,40
2024-01-04,41
2024-01-05,44
2024-01-06,58
2024-01-07,53
2024-01-08,39
2024-01-09,35
2024-01-10,35
2024-01-11,40
2024-01-12,44
2024-01-13,56
2024-01-14,56
2024-01-15,44
2024-01-16,35
2024-01-17,34
2024-01-18,34
2024-01-19,38
2024-01-20,55
