Time,detroit tigers
2023-12-22,6
2023-12-23,6
2023-12-24,5
2023-12-25,5
2023-12-26,4
2023-12-27,5
2023-12-28,5
2023-12-29,5
2023-12-30,6
2023-12-31,5
2024-01-01,6
2024-01-02,4
2024-01-03,5
2024-01-04,5
2024-01-05,5
2024-01-06,5
2024-01-07,5
2024-01-08,4
2024-01-09,4
2024-01-10,5
2024-01-11,6
2024-01-12,4
2024-01-13,5
2024-01-14,5
2024-01-15,7
2024-01-16,5
2024-01-17,5
2024-01-18,5
2024-01-19,5
2024-01-20,5
2024-01-21,9
2024-01-22,6
2024-01-23,5
2024-01-24,5
2024-01-25,6
2024-01-26,6
2024-01-27,5
2024-01-28,7
2024-01-29,9
2024-01-30,7
2024-01-31,6
2024-02-01,6
2024-02-02,5
2024-02-03,6
2024-02-04,6
2024-02-05,6
2024-02-06,7
2024-02-07,7
2024-02-08,5
2024-02-09,6
2024-02-10,6
2024-02-11,6
2024-02-12,6
2024-02-13,9
2024-02-14,10
2024-02-15,8
2024-02-16,8
2024-02-17,8
2024-02-18,10
2024-02-19,9
2024-02-20,8
2024-02-21,8
2024-02-22,9
2024-02-23,10
2024-02-24,20
2024-02-25,18
2024-02-26,14
2024-02-27,13
2024-02-28,12
2024-02-29,13
2024-03-01,12
2024-03-02,14
2024-03-03,15
2024-03-04,13
2024-03-05,13
2024-03-06,11
2024-03-07,11
2024-03-08,13
2024-03-09,15
2024-03-10,14
2024-03-11,12
2024-03-12,13
2024-03-13,13
2024-03-14,13
2024-03-15,13
2024-03-16,16
2024-03-17,17
2024-03-18,13
2024-03-19,14
2024-03-20,16
2024-03-21,13
2024-03-22,14
2024-03-23,17
2024-03-24,19
2024-03-25,14
2024-03-26,16
2024-03-27,16
2024-03-28,58
2024-03-29,36
2024-03-30,58
2024-03-31,62
2024-04-01,40
2024-04-02,68
2024-04-03,58
2024-04-04,91
2024-04-05,100
2024-04-06,73
2024-04-07,64
2024-04-08,31
2024-04-09,48
2024-04-10,28
2024-04-11,31
2024-04-12,36
2024-04-13,78
2024-04-14,59
2024-04-15,32
2024-04-16,45
2024-04-17,37
2024-04-18,37
2024-04-19,24
2024-04-20,57
2024-04-21,40
2024-04-22,26
2024-04-23,40
2024-04-24,42
2024-04-25,33
2024-04-26,36
2024-04-27,32
2024-04-28,58
2024-04-29,32
2024-04-30,46
2024-05-01,54
2024-05-02,27
2024-05-03,32
2024-05-04,59
2024-05-05,51
2024-05-06,36
2024-05-07,40
2024-05-08,46
2024-05-09,20
2024-05-10,28
2024-05-11,52
2024-05-12,62
2024-05-13,28
2024-05-14,37
2024-05-15,39
2024-05-16,17
2024-05-17,18
2024-05-18,42
2024-05-19,62
2024-05-20,25
2024-05-21,33
2024-05-22,36
2024-05-23,26
2024-05-24,32
2024-05-25,46
2024-05-26,58
2024-05-27,28
2024-05-28,26
2024-05-29,48
2024-05-30,27
2024-05-31,42
2024-06-01,51
2024-06-02,44
2024-06-03,27
2024-06-04,36
2024-06-05,42
2024-06-06,36
2024-06-07,26
2024-06-08,50
2024-06-09,43
2024-06-10,23
2024-06-11,27
2024-06-12,34
2024-06-13,40
2024-06-14,23
2024-06-15,48
2024-06-16,41
2024-06-17,24
2024-06-18,32
2024-06-19,35
2024-06-20,25
2024-06-21,26
2024-06-22,43
2024-06-23,39
2024-06-24,27
2024-06-25,33
2024-06-26,37
2024-06-27,19
2024-06-28,26
2024-06-29,32
2024-06-30,43
2024-07-01,20
2024-07-02,21
2024-07-03,26
2024-07-04,42
2024-07-05,30
2024-07-06,53
2024-07-07,41
2024-07-08,29
2024-07-09,40
2024-07-10,44
2024-07-11,50
2024-07-12,37
2024-07-13,65
2024-07-14,55
2024-07-15,26
2024-07-16,16
2024-07-17,16
2024-07-18,17
2024-07-19,25
2024-07-20,65
2024-07-21,50
2024-07-22,29
2024-07-23,44
2024-07-24,36
2024-07-25,49
2024-07-26,36
2024-07-27,53
2024-07-28,66
2024-07-29,46
2024-07-30,76
2024-07-31,32
2024-08-01,29
2024-08-02,37
2024-08-03,45
2024-08-04,49
2024-08-05,17
2024-08-06,17
2024-08-07,27
2024-08-08,33
2024-08-09,31
2024-08-10,39
2024-08-11,33
2024-08-12,19
2024-08-13,24
2024-08-14,34
2024-08-15,48
2024-08-16,35
2024-08-17,65
2024-08-18,49
2024-08-19,50
2024-08-20,23
2024-08-21,35
2024-08-22,42
2024-08-23,21
2024-08-24,43
2024-08-25,57
2024-08-26,25
2024-08-27,49
2024-08-28,58
2024-08-29,61
2024-08-30,30
2024-08-31,47
2024-09-01,62
2024-09-02,41
2024-09-03,29
2024-09-04,25
2024-09-05,39
2024-09-06,38
2024-09-07,56
2024-09-08,42
2024-09-09,28
2024-09-10,27
2024-09-11,44
2024-09-12,59
2024-09-13,30
2024-09-14,66
2024-09-15,67
2024-09-16,28
