Time,ilhan_omar
2022-01-01,5.0
2022-01-02,3.0
2022-01-03,3.0
2022-01-04,4.0
2022-01-05,4.0
2022-01-06,2.0
2022-01-07,3.0
2022-01-08,0.0
2022-01-09,0.0
2022-01-10,4.0
2022-01-11,5.0
2022-01-12,5.0
2022-01-13,5.0
2022-01-14,3.0
2022-01-15,5.0
2022-01-16,5.0
2022-01-17,5.0
2022-01-18,4.0
2022-01-19,3.0
2022-01-20,4.0
2022-01-21,5.0
2022-01-22,4.0
2022-01-23,3.0
2022-01-24,0.0
2022-01-25,2.0
2022-01-26,4.0
2022-01-27,4.0
2022-01-28,4.0
2022-01-29,0.0
2022-01-30,0.0
2022-01-31,3.0
2022-02-01,5.0
2022-02-02,7.0
2022-02-03,5.0
2022-02-04,4.0
2022-02-05,2.0
2022-02-06,5.0
2022-02-07,5.0
2022-02-08,4.0
2022-02-09,4.0
2022-02-10,4.0
2022-02-11,5.0
2022-02-12,2.0
2022-02-13,0.0
2022-02-14,3.0
2022-02-15,4.0
2022-02-16,4.0
2022-02-17,8.0
2022-02-18,6.0
2022-02-19,3.0
2022-02-20,3.0
2022-02-21,4.0
2022-02-22,5.0
2022-02-23,4.0
2022-02-24,4.0
2022-02-25,4.0
2022-02-26,4.0
2022-02-27,3.0
2022-02-28,3.0
2022-03-01,3.0
2022-03-02,9.0
2022-03-03,5.0
2022-03-04,5.0
2022-03-05,4.0
2022-03-06,4.0
2022-03-07,5.0
2022-03-08,8.0
2022-03-09,11.0
2022-03-10,12.0
2022-03-11,7.0
2022-03-12,5.0
2022-03-13,3.0
2022-03-14,4.0
2022-03-15,4.0
2022-03-16,3.0
2022-03-17,5.0
2022-03-18,4.0
2022-03-19,3.0
2022-03-20,4.0
2022-03-21,3.0
2022-03-22,0.0
2022-03-23,3.0
2022-03-24,3.0
2022-03-25,4.0
2022-03-26,5.0
2022-03-27,3.0
2022-03-28,2.0
2022-03-29,3.0
2022-03-30,4.0
2022-03-31,2.0
2022-04-01,3.0
2022-04-02,4.0
2022-04-03,4.0
2022-04-04,2.0
2022-04-05,4.0
2022-04-06,4.0
2022-04-07,4.0
2022-04-08,5.0
