Time,fedex
2022-01-01,33.0
2022-01-02,42.0
2022-01-03,77.0
2022-01-04,100.0
2022-01-05,96.0
2022-01-06,75.0
2022-01-07,85.0
2022-01-08,65.0
2022-01-09,44.0
2022-01-10,82.0
2022-01-11,91.0
2022-01-12,87.0
2022-01-13,94.0
2022-01-14,74.0
2022-01-15,55.0
2022-01-16,37.0
2022-01-17,66.0
2022-01-18,73.0
2022-01-19,75.0
2022-01-20,73.0
2022-01-21,73.0
2022-01-22,52.0
2022-01-23,35.0
2022-01-24,73.0
2022-01-25,67.0
2022-01-26,69.0
2022-01-27,75.0
2022-01-28,74.0
2022-01-29,46.0
2022-01-30,36.0
2022-01-31,73.0
2022-02-01,80.0
2022-02-02,75.0
2022-02-03,75.0
2022-02-04,80.0
2022-02-05,59.0
2022-02-06,42.0
2022-02-07,85.0
2022-02-08,88.0
2022-02-09,81.0
2022-02-10,71.0
2022-02-11,80.0
2022-02-12,57.0
2022-02-13,37.0
2022-02-14,68.0
2022-02-15,76.0
2022-02-16,71.0
2022-02-17,71.0
2022-02-18,67.0
2022-02-19,49.0
2022-02-20,38.0
2022-02-21,67.0
2022-02-22,75.0
2022-02-23,77.0
2022-02-24,71.0
2022-02-25,74.0
2022-02-26,55.0
2022-02-27,40.0
2022-02-28,76.0
2022-03-01,79.0
2022-03-02,77.0
2022-03-03,73.0
2022-03-04,70.0
2022-03-05,51.0
2022-03-06,36.0
2022-03-07,73.0
2022-03-08,83.0
2022-03-09,74.0
2022-03-10,72.0
2022-03-11,66.0
2022-03-12,46.0
2022-03-13,36.0
2022-03-14,71.0
2022-03-15,75.0
2022-03-16,74.0
2022-03-17,68.0
2022-03-18,69.0
2022-03-19,48.0
2022-03-20,35.0
2022-03-21,71.0
2022-03-22,84.0
2022-03-23,77.0
2022-03-24,75.0
2022-03-25,66.0
2022-03-26,46.0
2022-03-27,34.0
2022-03-28,75.0
2022-03-29,74.0
2022-03-30,73.0
2022-03-31,69.0
2022-04-01,66.0
2022-04-02,49.0
2022-04-03,36.0
2022-04-04,67.0
2022-04-05,70.0
2022-04-06,72.0
2022-04-07,70.0
2022-04-08,68.0
2022-04-09,47.0
2022-04-10,37.0
2022-04-11,72.0
2022-04-12,76.0
2022-04-13,75.0
2022-04-14,71.0
2022-04-15,68.0
2022-04-16,47.0
2022-04-17,32.0
2022-04-18,71.0
2022-04-19,70.0
2022-04-20,66.0
2022-04-21,70.0
2022-04-22,66.0
2022-04-23,44.0
2022-04-24,34.0
2022-04-25,70.0
2022-04-26,66.0
2022-04-27,69.0
2022-04-28,67.0
2022-04-29,65.0
2022-04-30,42.0
2022-05-01,32.0
2022-05-02,68.0
2022-05-03,66.0
2022-05-04,69.0
2022-05-05,68.0
2022-05-06,70.0
2022-05-07,45.0
2022-05-08,32.0
2022-05-09,65.0
2022-05-10,71.0
2022-05-11,68.0
2022-05-12,73.0
2022-05-13,67.0
2022-05-14,45.0
2022-05-15,34.0
2022-05-16,69.0
2022-05-17,72.0
2022-05-18,71.0
2022-05-19,73.0
2022-05-20,70.0
2022-05-21,48.0
2022-05-22,34.0
2022-05-23,73.0
2022-05-24,79.0
2022-05-25,74.0
2022-05-26,74.0
2022-05-27,73.0
2022-05-28,46.0
2022-05-29,33.0
2022-05-30,35.0
2022-05-31,80.0
2022-06-01,81.0
2022-06-02,78.0
2022-06-03,73.0
2022-06-04,53.0
2022-06-05,40.0
2022-06-06,79.0
2022-06-07,83.0
2022-06-08,83.0
2022-06-09,80.0
