Time,atlanta falcons
2022-08-29,15
2022-08-30,17
2022-08-31,16
2022-09-01,13
2022-09-02,11
2022-09-03,14
2022-09-04,21
2022-09-05,16
2022-09-06,14
2022-09-07,14
2022-09-08,16
2022-09-09,13
2022-09-10,16
2022-09-11,100
2022-09-12,27
2022-09-13,14
2022-09-14,12
2022-09-15,12
2022-09-16,11
2022-09-17,11
2022-09-18,69
2022-09-19,24
2022-09-20,13
2022-09-21,11
2022-09-22,10
2022-09-23,10
2022-09-24,10
2022-09-25,71
2022-09-26,27
2022-09-27,12
2022-09-28,11
2022-09-29,10
2022-09-30,11
2022-10-01,11
2022-10-02,70
2022-10-03,27
2022-10-04,16
2022-10-05,12
2022-10-06,12
2022-10-07,13
2022-10-08,12
2022-10-09,73
2022-10-10,20
2022-10-11,12
2022-10-12,12
2022-10-13,10
2022-10-14,10
2022-10-15,12
2022-10-16,70
2022-10-17,24
2022-10-18,13
2022-10-19,11
2022-10-20,11
2022-10-21,12
2022-10-22,12
2022-10-23,60
2022-10-24,16
2022-10-25,9
2022-10-26,10
2022-10-27,10
2022-10-28,12
2022-10-29,10
2022-10-30,97
2022-10-31,26
2022-11-01,19
2022-11-02,13
2022-11-03,12
2022-11-04,10
2022-11-05,12
2022-11-06,62
2022-11-07,18
2022-11-08,10
2022-11-09,9
2022-11-10,25
2022-11-11,79
2022-11-12,10
2022-11-13,19
2022-11-14,10
2022-11-15,8
2022-11-16,8
2022-11-17,8
2022-11-18,8
2022-11-19,7
2022-11-20,52
2022-11-21,18
2022-11-22,10
2022-11-23,8
2022-11-24,10
2022-11-25,9
2022-11-26,9
2022-11-27,51
2022-11-28,13
2022-11-29,9
2022-11-30,7
2022-12-01,7
2022-12-02,7
2022-12-03,9
2022-12-04,47
2022-12-05,14
2022-12-06,9
2022-12-07,6
2022-12-08,9
2022-12-09,12
2022-12-10,8
2022-12-11,26
2022-12-12,14
2022-12-13,8
2022-12-14,8
2022-12-15,8
2022-12-16,7
2022-12-17,10
2022-12-18,45
2022-12-19,14
2022-12-20,8
2022-12-21,7
2022-12-22,8
2022-12-23,8
2022-12-24,29
2022-12-25,14
2022-12-26,10
2022-12-27,8
2022-12-28,7
2022-12-29,7
2022-12-30,7
2022-12-31,8
2023-01-01,43
2023-01-02,15
2023-01-03,20
2023-01-04,10
2023-01-05,6
2023-01-06,7
2023-01-07,8
2023-01-08,39
2023-01-09,15
2023-01-10,7
2023-01-11,6
2023-01-12,7
2023-01-13,6
2023-01-14,7
2023-01-15,13
2023-01-16,7
2023-01-17,9
2023-01-18,7
2023-01-19,6
2023-01-20,5
2023-01-21,6
2023-01-22,8
2023-01-23,7
2023-01-24,6
2023-01-25,6
2023-01-26,6
2023-01-27,6
2023-01-28,7
2023-01-29,7
2023-01-30,7
2023-01-31,7
2023-02-01,6
2023-02-02,7
2023-02-03,6
2023-02-04,9
2023-02-05,8
2023-02-06,5
2023-02-07,6
2023-02-08,6
2023-02-09,6
2023-02-10,5
2023-02-11,5
2023-02-12,7
2023-02-13,9
2023-02-14,5
2023-02-15,7
2023-02-16,6
2023-02-17,6
2023-02-18,6
2023-02-19,5
2023-02-20,5
2023-02-21,5
2023-02-22,5
2023-02-23,6
2023-02-24,7
2023-02-25,6
2023-02-26,8
2023-02-27,10
2023-02-28,7
2023-03-01,9
2023-03-02,7
2023-03-03,7
2023-03-04,6
2023-03-05,5
2023-03-06,9
2023-03-07,11
2023-03-08,10
2023-03-09,7
2023-03-10,7
2023-03-11,7
2023-03-12,9
2023-03-13,17
2023-03-14,25
2023-03-15,20
2023-03-16,18
2023-03-17,14
2023-03-18,12
2023-03-19,11
2023-03-20,13
2023-03-21,11
2023-03-22,12
2023-03-23,11
2023-03-24,9
2023-03-25,8
2023-03-26,9
2023-03-27,12
2023-03-28,11
2023-03-29,11
2023-03-30,11
2023-03-31,11
2023-04-01,11
2023-04-02,11
2023-04-03,8
2023-04-04,7
2023-04-05,7
2023-04-06,8
2023-04-07,7
2023-04-08,6
2023-04-09,7
2023-04-10,6
2023-04-11,11
2023-04-12,8
2023-04-13,7
2023-04-14,9
2023-04-15,8
2023-04-16,8
2023-04-17,9
2023-04-18,8
2023-04-19,7
2023-04-20,7
2023-04-21,7
2023-04-22,7
2023-04-23,7
2023-04-24,6
2023-04-25,8
2023-04-26,8
2023-04-27,11
2023-04-28,43
2023-04-29,33
2023-04-30,18
2023-05-01,11
2023-05-02,9
2023-05-03,7
2023-05-04,7
2023-05-05,6
2023-05-06,7
2023-05-07,6
2023-05-08,7
2023-05-09,8
2023-05-10,9
2023-05-11,10
2023-05-12,19
2023-05-13,10
2023-05-14,8
2023-05-15,8
2023-05-16,8
2023-05-17,6
2023-05-18,7
2023-05-19,5
2023-05-20,6
2023-05-21,6
2023-05-22,6
2023-05-23,6
2023-05-24,6
2023-05-25,6
