Time,kamala harris
2022-01-01,9
2022-01-02,7
2022-01-03,5
2022-01-04,8
2022-01-05,11
2022-01-06,23
2022-01-07,30
2022-01-08,13
2022-01-09,8
2022-01-10,7
2022-01-11,7
2022-01-12,8
2022-01-13,13
2022-01-14,32
2022-01-15,19
2022-01-16,9
2022-01-17,10
2022-01-18,10
2022-01-19,8
2022-01-20,18
2022-01-21,16
2022-01-22,10
2022-01-23,7
2022-01-24,7
2022-01-25,7
2022-01-26,12
2022-01-27,20
2022-01-28,13
2022-01-29,8
2022-01-30,7
2022-01-31,8
2022-02-01,8
2022-02-02,7
2022-02-03,8
2022-02-04,7
2022-02-05,6
2022-02-06,5
2022-02-07,6
2022-02-08,9
2022-02-09,9
2022-02-10,8
2022-02-11,9
2022-02-12,7
2022-02-13,6
2022-02-14,6
2022-02-15,7
2022-02-16,7
2022-02-17,8
2022-02-18,11
2022-02-19,9
2022-02-20,8
2022-02-21,10
2022-02-22,15
2022-02-23,11
2022-02-24,12
2022-02-25,12
2022-02-26,10
2022-02-27,8
2022-02-28,8
2022-03-01,21
2022-03-02,100
2022-03-03,32
2022-03-04,29
2022-03-05,20
2022-03-06,16
2022-03-07,16
2022-03-08,15
2022-03-09,18
2022-03-10,37
2022-03-11,52
2022-03-12,30
2022-03-13,27
2022-03-14,15
2022-03-15,15
2022-03-16,19
2022-03-17,13
2022-03-18,8
2022-03-19,8
2022-03-20,7
2022-03-21,8
2022-03-22,20
2022-03-23,35
2022-03-24,31
2022-03-25,19
2022-03-26,10
2022-03-27,9
2022-03-28,7
2022-03-29,8
2022-03-30,6
2022-03-31,11
2022-04-01,15
2022-04-02,14
2022-04-03,8
2022-04-04,11
2022-04-05,46
2022-04-06,23
2022-04-07,9
2022-04-08,13
2022-04-09,9
2022-04-10,7
2022-04-11,5
2022-04-12,6
2022-04-13,6
2022-04-14,5
2022-04-15,6
2022-04-16,7
2022-04-17,6
2022-04-18,6
2022-04-19,7
2022-04-20,6
2022-04-21,8
2022-04-22,17
2022-04-23,17
2022-04-24,10
2022-04-25,7
2022-04-26,31
2022-04-27,24
2022-04-28,17
2022-04-29,10
2022-04-30,8
2022-05-01,8
2022-05-02,8
2022-05-03,10
2022-05-04,17
2022-05-05,9
2022-05-06,9
2022-05-07,15
2022-05-08,16
2022-05-09,9
2022-05-10,5
2022-05-11,6
2022-05-12,7
2022-05-13,5
2022-05-14,5
2022-05-15,5
2022-05-16,7
2022-05-17,8
2022-05-18,6
2022-05-19,7
2022-05-20,6
2022-05-21,6
2022-05-22,5
2022-05-23,5
2022-05-24,8
2022-05-25,7
2022-05-26,6
2022-05-27,5
2022-05-28,6
2022-05-29,7
2022-05-30,6
2022-05-31,4
2022-06-01,5
2022-06-02,6
2022-06-03,6
2022-06-04,5
2022-06-05,5
2022-06-06,5
2022-06-07,6
2022-06-08,6
2022-06-09,5
2022-06-10,6
2022-06-11,5
2022-06-12,5
2022-06-13,5
2022-06-14,5
2022-06-15,7
2022-06-16,6
2022-06-17,7
2022-06-18,7
2022-06-19,6
2022-06-20,7
2022-06-21,7
2022-06-22,7
2022-06-23,8
2022-06-24,13
2022-06-25,10
2022-06-26,7
2022-06-27,29
2022-06-28,17
2022-06-29,9
2022-06-30,8
2022-07-01,7
2022-07-02,11
2022-07-03,8
2022-07-04,8
2022-07-05,9
2022-07-06,18
2022-07-07,11
2022-07-08,8
2022-07-09,11
2022-07-10,9
2022-07-11,8
2022-07-12,8
2022-07-13,7
2022-07-14,10
2022-07-15,8
2022-07-16,9
2022-07-17,13
2022-07-18,10
2022-07-19,8
2022-07-20,7
2022-07-21,18
2022-07-22,12
2022-07-23,8
2022-07-24,8
2022-07-25,10
2022-07-26,11
2022-07-27,17
2022-07-28,18
2022-07-29,9
2022-07-30,8
2022-07-31,8
2022-08-01,15
2022-08-02,12
2022-08-03,7
2022-08-04,8
2022-08-05,6
2022-08-06,6
2022-08-07,10
2022-08-08,6
2022-08-09,6
2022-08-10,5
2022-08-11,5
2022-08-12,6
2022-08-13,5
2022-08-14,5
2022-08-15,9
2022-08-16,7
2022-08-17,5
2022-08-18,4
2022-08-19,4
2022-08-20,4
2022-08-21,4
2022-08-22,4
2022-08-23,4
2022-08-24,4
2022-08-25,4
2022-08-26,4
2022-08-27,4
2022-08-28,4
2022-08-29,4
2022-08-30,5
2022-08-31,4
2022-09-01,7
2022-09-02,8
2022-09-03,5
2022-09-04,5
2022-09-05,5
2022-09-06,6
2022-09-07,7
2022-09-08,6
2022-09-09,5
2022-09-10,6
2022-09-11,8
2022-09-12,10
2022-09-13,9
2022-09-14,9
2022-09-15,20
2022-09-16,14
2022-09-17,14
2022-09-18,10
2022-09-19,9
2022-09-20,7
2022-09-21,8
2022-09-22,7
2022-09-23,6
2022-09-24,5
2022-09-25,5
2022-09-26,4
2022-09-27,4
