Time,hustle
2023-04-26,69
2023-04-27,69
2023-04-28,64
2023-04-29,76
2023-04-30,82
2023-05-01,63
2023-05-02,57
2023-05-03,62
2023-05-04,69
2023-05-05,63
2023-05-06,75
2023-05-07,74
2023-05-08,68
2023-05-09,56
2023-05-10,62
2023-05-11,58
2023-05-12,56
2023-05-13,76
2023-05-14,69
2023-05-15,60
2023-05-16,63
2023-05-17,63
2023-05-18,73
2023-05-19,66
2023-05-20,69
2023-05-21,68
2023-05-22,56
2023-05-23,58
2023-05-24,53
2023-05-25,51
2023-05-26,56
2023-05-27,63
2023-05-28,67
2023-05-29,73
2023-05-30,59
2023-05-31,54
2023-06-01,54
2023-06-02,58
2023-06-03,64
2023-06-04,76
2023-06-05,67
2023-06-06,55
2023-06-07,54
2023-06-08,57
2023-06-09,66
2023-06-10,65
2023-06-11,67
2023-06-12,60
2023-06-13,57
2023-06-14,56
2023-06-15,58
2023-06-16,61
2023-06-17,61
2023-06-18,61
2023-06-19,58
2023-06-20,54
2023-06-21,52
2023-06-22,53
2023-06-23,60
2023-06-24,59
2023-06-25,64
2023-06-26,56
2023-06-27,56
2023-06-28,53
2023-06-29,57
2023-06-30,52
2023-07-01,56
2023-07-02,63
2023-07-03,63
2023-07-04,66
2023-07-05,57
2023-07-06,59
2023-07-07,57
2023-07-08,60
2023-07-09,70
2023-07-10,66
2023-07-11,63
2023-07-12,58
2023-07-13,55
2023-07-14,59
2023-07-15,65
2023-07-16,85
2023-07-17,62
2023-07-18,59
2023-07-19,61
2023-07-20,54
2023-07-21,57
2023-07-22,56
2023-07-23,66
2023-07-24,54
2023-07-25,58
2023-07-26,53
2023-07-27,58
2023-07-28,56
2023-07-29,63
2023-07-30,65
2023-07-31,56
2023-08-01,54
2023-08-02,56
2023-08-03,55
2023-08-04,53
2023-08-05,60
2023-08-06,100
2023-08-07,63
2023-08-08,57
2023-08-09,54
2023-08-10,54
2023-08-11,55
2023-08-12,60
2023-08-13,67
2023-08-14,61
2023-08-15,59
2023-08-16,58
2023-08-17,61
2023-08-18,57
2023-08-19,63
2023-08-20,67
2023-08-21,58
2023-08-22,54
2023-08-23,57
2023-08-24,55
2023-08-25,53
2023-08-26,56
2023-08-27,59
2023-08-28,67
2023-08-29,54
2023-08-30,58
2023-08-31,57
2023-09-01,49
2023-09-02,56
2023-09-03,57
2023-09-04,60
2023-09-05,51
2023-09-06,48
2023-09-07,56
2023-09-08,48
2023-09-09,55
2023-09-10,53
2023-09-11,49
2023-09-12,49
2023-09-13,55
2023-09-14,48
2023-09-15,53
2023-09-16,55
2023-09-17,55
2023-09-18,50
2023-09-19,46
2023-09-20,48
2023-09-21,51
2023-09-22,52
2023-09-23,58
2023-09-24,62
2023-09-25,58
2023-09-26,55
2023-09-27,57
2023-09-28,62
2023-09-29,51
2023-09-30,53
2023-10-01,58
2023-10-02,52
2023-10-03,51
2023-10-04,52
2023-10-05,51
2023-10-06,52
2023-10-07,54
2023-10-08,56
2023-10-09,51
2023-10-10,51
2023-10-11,46
2023-10-12,50
2023-10-13,49
2023-10-14,55
2023-10-15,56
2023-10-16,51
2023-10-17,50
2023-10-18,71
2023-10-19,55
2023-10-20,49
2023-10-21,58
2023-10-22,63
2023-10-23,49
2023-10-24,53
2023-10-25,48
2023-10-26,49
2023-10-27,46
2023-10-28,59
2023-10-29,54
2023-10-30,47
2023-10-31,50
2023-11-01,53
2023-11-02,51
2023-11-03,50
2023-11-04,58
2023-11-05,57
2023-11-06,51
2023-11-07,51
2023-11-08,50
2023-11-09,53
2023-11-10,49
2023-11-11,61
2023-11-12,56
2023-11-13,49
2023-11-14,56
2023-11-15,54
2023-11-16,54
2023-11-17,51
2023-11-18,57
2023-11-19,54
2023-11-20,50
2023-11-21,51
2023-11-22,56
2023-11-23,59
2023-11-24,61
2023-11-25,61
2023-11-26,61
2023-11-27,54
2023-11-28,58
2023-11-29,55
2023-11-30,50
2023-12-01,53
2023-12-02,65
2023-12-03,61
2023-12-04,56
2023-12-05,49
2023-12-06,57
2023-12-07,54
2023-12-08,47
2023-12-09,60
2023-12-10,57
2023-12-11,48
2023-12-12,47
2023-12-13,48
2023-12-14,48
2023-12-15,50
2023-12-16,55
2023-12-17,59
2023-12-18,48
2023-12-19,49
2023-12-20,50
2023-12-21,50
2023-12-22,53
2023-12-23,56
2023-12-24,57
2023-12-25,50
2023-12-26,58
2023-12-27,52
2023-12-28,55
2023-12-29,60
2023-12-30,62
2023-12-31,61
2024-01-01,68
2024-01-02,62
2024-01-03,58
2024-01-04,62
2024-01-05,55
2024-01-06,58
2024-01-07,66
2024-01-08,56
2024-01-09,53
2024-01-10,58
2024-01-11,52
2024-01-12,53
2024-01-13,56
2024-01-14,60
2024-01-15,54
2024-01-16,53
2024-01-17,52
2024-01-18,51
2024-01-19,54
2024-01-20,54
