Time,meat loaf
2023-04-26,55
2023-04-27,62
2023-04-28,54
2023-04-29,49
2023-04-30,90
2023-05-01,64
2023-05-02,58
2023-05-03,57
2023-05-04,60
2023-05-05,54
2023-05-06,64
2023-05-07,79
2023-05-08,59
2023-05-09,52
2023-05-10,58
2023-05-11,41
2023-05-12,53
2023-05-13,52
2023-05-14,54
2023-05-15,60
2023-05-16,51
2023-05-17,66
2023-05-18,56
2023-05-19,49
2023-05-20,64
2023-05-21,66
2023-05-22,68
2023-05-23,69
2023-05-24,44
2023-05-25,52
2023-05-26,52
2023-05-27,55
2023-05-28,53
2023-05-29,54
2023-05-30,55
2023-05-31,51
2023-06-01,48
2023-06-02,44
2023-06-03,76
2023-06-04,80
2023-06-05,71
2023-06-06,58
2023-06-07,56
2023-06-08,53
2023-06-09,51
2023-06-10,50
2023-06-11,84
2023-06-12,67
2023-06-13,67
2023-06-14,63
2023-06-15,56
2023-06-16,53
2023-06-17,61
2023-06-18,71
2023-06-19,56
2023-06-20,44
2023-06-21,58
2023-06-22,50
2023-06-23,51
2023-06-24,55
2023-06-25,81
2023-06-26,52
2023-06-27,51
2023-06-28,53
2023-06-29,56
2023-06-30,48
2023-07-01,63
2023-07-02,51
2023-07-03,56
2023-07-04,73
2023-07-05,56
2023-07-06,56
2023-07-07,42
2023-07-08,60
2023-07-09,72
2023-07-10,54
2023-07-11,55
2023-07-12,56
2023-07-13,56
2023-07-14,49
2023-07-15,55
2023-07-16,64
2023-07-17,64
2023-07-18,60
2023-07-19,56
2023-07-20,51
2023-07-21,50
2023-07-22,65
2023-07-23,79
2023-07-24,75
2023-07-25,62
2023-07-26,67
2023-07-27,60
2023-07-28,38
2023-07-29,57
2023-07-30,82
2023-07-31,51
2023-08-01,57
2023-08-02,57
2023-08-03,48
2023-08-04,41
2023-08-05,53
2023-08-06,95
2023-08-07,62
2023-08-08,66
2023-08-09,66
2023-08-10,42
2023-08-11,50
2023-08-12,53
2023-08-13,82
2023-08-14,72
2023-08-15,77
2023-08-16,57
2023-08-17,65
2023-08-18,55
2023-08-19,56
2023-08-20,88
2023-08-21,64
2023-08-22,61
2023-08-23,63
2023-08-24,58
2023-08-25,47
2023-08-26,65
2023-08-27,98
2023-08-28,61
2023-08-29,53
2023-08-30,77
2023-08-31,49
2023-09-01,62
2023-09-02,68
2023-09-03,68
2023-09-04,66
2023-09-05,47
2023-09-06,52
2023-09-07,47
2023-09-08,49
2023-09-09,52
2023-09-10,75
2023-09-11,72
2023-09-12,58
2023-09-13,69
2023-09-14,72
2023-09-15,49
2023-09-16,63
2023-09-17,94
2023-09-18,64
2023-09-19,52
2023-09-20,55
2023-09-21,62
2023-09-22,49
2023-09-23,73
2023-09-24,94
2023-09-25,73
2023-09-26,68
2023-09-27,73
2023-09-28,65
2023-09-29,44
2023-09-30,80
2023-10-01,100
2023-10-02,69
2023-10-03,48
2023-10-04,52
2023-10-05,46
2023-10-06,59
2023-10-07,63
2023-10-08,73
2023-10-09,51
2023-10-10,63
2023-10-11,68
2023-10-12,61
2023-10-13,54
2023-10-14,64
2023-10-15,93
2023-10-16,81
2023-10-17,68
2023-10-18,65
2023-10-19,71
2023-10-20,62
2023-10-21,68
2023-10-22,100
2023-10-23,64
2023-10-24,68
2023-10-25,58
2023-10-26,65
2023-10-27,51
2023-10-28,62
2023-10-29,85
2023-10-30,80
2023-10-31,67
2023-11-01,64
2023-11-02,68
2023-11-03,56
2023-11-04,64
2023-11-05,93
2023-11-06,68
2023-11-07,84
2023-11-08,74
2023-11-09,63
2023-11-10,66
2023-11-11,78
2023-11-12,93
2023-11-13,74
2023-11-14,63
2023-11-15,62
2023-11-16,69
2023-11-17,53
2023-11-18,74
2023-11-19,82
2023-11-20,74
2023-11-21,69
2023-11-22,72
2023-11-23,54
2023-11-24,49
2023-11-25,43
2023-11-26,73
2023-11-27,70
2023-11-28,58
2023-11-29,57
2023-11-30,64
2023-12-01,49
2023-12-02,70
2023-12-03,95
2023-12-04,70
2023-12-05,71
2023-12-06,65
2023-12-07,46
2023-12-08,43
2023-12-09,64
2023-12-10,80
2023-12-11,74
2023-12-12,74
2023-12-13,64
2023-12-14,65
2023-12-15,50
2023-12-16,64
2023-12-17,99
2023-12-18,71
2023-12-19,62
2023-12-20,61
2023-12-21,64
2023-12-22,55
2023-12-23,68
2023-12-24,75
2023-12-25,65
2023-12-26,53
2023-12-27,53
2023-12-28,53
2023-12-29,54
2023-12-30,70
2023-12-31,72
2024-01-01,92
2024-01-02,66
2024-01-03,55
2024-01-04,71
2024-01-05,55
2024-01-06,70
2024-01-07,92
2024-01-08,66
2024-01-09,65
2024-01-10,75
2024-01-11,55
2024-01-12,67
2024-01-13,80
2024-01-14,87
2024-01-15,76
2024-01-16,63
2024-01-17,74
2024-01-18,65
2024-01-19,58
2024-01-20,80
