Time,fencing sword
2023-04-26,4
2023-04-27,0
2023-04-28,3
2023-04-29,5
2023-04-30,6
2023-05-01,4
2023-05-02,4
2023-05-03,5
2023-05-04,7
2023-05-05,6
2023-05-06,6
2023-05-07,3
2023-05-08,6
2023-05-09,4
2023-05-10,3
2023-05-11,3
2023-05-12,0
2023-05-13,0
2023-05-14,5
2023-05-15,5
2023-05-16,5
2023-05-17,4
2023-05-18,5
2023-05-19,7
2023-05-20,6
2023-05-21,6
2023-05-22,0
2023-05-23,4
2023-05-24,4
2023-05-25,4
2023-05-26,4
2023-05-27,0
2023-05-28,7
2023-05-29,4
2023-05-30,3
2023-05-31,5
2023-06-01,4
2023-06-02,4
2023-06-03,0
2023-06-04,4
2023-06-05,3
2023-06-06,3
2023-06-07,0
2023-06-08,3
2023-06-09,0
2023-06-10,6
2023-06-11,0
2023-06-12,4
2023-06-13,3
2023-06-14,5
2023-06-15,4
2023-06-16,4
2023-06-17,0
2023-06-18,5
2023-06-19,0
2023-06-20,4
2023-06-21,3
2023-06-22,0
2023-06-23,0
2023-06-24,5
2023-06-25,0
2023-06-26,5
2023-06-27,7
2023-06-28,3
2023-06-29,4
2023-06-30,4
2023-07-01,0
2023-07-02,5
2023-07-03,6
2023-07-04,0
2023-07-05,4
2023-07-06,0
2023-07-07,6
2023-07-08,6
2023-07-09,4
2023-07-10,6
2023-07-11,0
2023-07-12,4
2023-07-13,0
2023-07-14,6
2023-07-15,0
2023-07-16,0
2023-07-17,3
2023-07-18,0
2023-07-19,0
2023-07-20,0
2023-07-21,4
2023-07-22,4
2023-07-23,0
2023-07-24,0
2023-07-25,7
2023-07-26,4
2023-07-27,0
2023-07-28,11
2023-07-29,4
2023-07-30,6
2023-07-31,0
2023-08-01,0
2023-08-02,7
2023-08-03,4
2023-08-04,8
2023-08-05,5
2023-08-06,0
2023-08-07,4
2023-08-08,4
2023-08-09,4
2023-08-10,0
2023-08-11,4
2023-08-12,0
2023-08-13,5
2023-08-14,5
2023-08-15,5
2023-08-16,0
2023-08-17,4
2023-08-18,4
2023-08-19,100
2023-08-20,10
2023-08-21,8
2023-08-22,5
2023-08-23,5
2023-08-24,4
2023-08-25,0
2023-08-26,0
2023-08-27,5
2023-08-28,3
2023-08-29,0
2023-08-30,4
2023-08-31,0
2023-09-01,0
2023-09-02,4
2023-09-03,4
2023-09-04,6
2023-09-05,0
2023-09-06,3
2023-09-07,3
2023-09-08,0
2023-09-09,0
2023-09-10,4
2023-09-11,4
2023-09-12,0
2023-09-13,4
2023-09-14,3
2023-09-15,3
2023-09-16,0
2023-09-17,4
2023-09-18,3
2023-09-19,0
2023-09-20,4
2023-09-21,4
2023-09-22,0
2023-09-23,5
2023-09-24,0
2023-09-25,0
2023-09-26,3
2023-09-27,0
2023-09-28,3
2023-09-29,5
2023-09-30,5
2023-10-01,6
2023-10-02,4
2023-10-03,3
2023-10-04,0
2023-10-05,5
2023-10-06,3
2023-10-07,0
2023-10-08,4
2023-10-09,13
2023-10-10,12
2023-10-11,5
2023-10-12,4
2023-10-13,3
2023-10-14,0
2023-10-15,5
2023-10-16,3
2023-10-17,4
2023-10-18,4
2023-10-19,7
2023-10-20,4
2023-10-21,5
2023-10-22,4
2023-10-23,4
2023-10-24,6
2023-10-25,0
2023-10-26,6
2023-10-27,4
2023-10-28,5
2023-10-29,0
2023-10-30,0
2023-10-31,4
2023-11-01,5
2023-11-02,4
2023-11-03,4
2023-11-04,4
2023-11-05,0
2023-11-06,3
2023-11-07,4
2023-11-08,4
2023-11-09,5
2023-11-10,4
2023-11-11,4
2023-11-12,4
2023-11-13,5
2023-11-14,12
2023-11-15,0
2023-11-16,5
2023-11-17,0
2023-11-18,4
2023-11-19,5
2023-11-20,5
2023-11-21,0
2023-11-22,3
2023-11-23,0
2023-11-24,4
2023-11-25,0
2023-11-26,4
2023-11-27,8
2023-11-28,5
2023-11-29,5
2023-11-30,8
2023-12-01,5
2023-12-02,5
2023-12-03,4
2023-12-04,5
2023-12-05,9
2023-12-06,8
2023-12-07,5
2023-12-08,3
2023-12-09,3
2023-12-10,5
2023-12-11,6
2023-12-12,3
2023-12-13,4
2023-12-14,4
2023-12-15,0
2023-12-16,0
2023-12-17,5
2023-12-18,4
2023-12-19,4
2023-12-20,0
2023-12-21,4
2023-12-22,4
2023-12-23,4
2023-12-24,6
2023-12-25,10
2023-12-26,8
2023-12-27,6
2023-12-28,4
2023-12-29,6
2023-12-30,9
2023-12-31,7
2024-01-01,7
2024-01-02,4
2024-01-03,6
2024-01-04,5
2024-01-05,7
2024-01-06,5
2024-01-07,4
2024-01-08,0
2024-01-09,5
2024-01-10,0
2024-01-11,6
2024-01-12,3
2024-01-13,4
2024-01-14,4
2024-01-15,4
2024-01-16,0
2024-01-17,4
2024-01-18,6
2024-01-19,0
2024-01-20,4
