Time,delta
2022-01-01,65.0
2022-01-02,81.0
2022-01-03,89.0
2022-01-04,100.0
2022-01-05,95.0
2022-01-06,69.0
2022-01-07,80.0
2022-01-08,73.0
2022-01-09,75.0
2022-01-10,80.0
2022-01-11,82.0
2022-01-12,79.0
2022-01-13,80.0
2022-01-14,66.0
2022-01-15,73.0
2022-01-16,60.0
2022-01-17,70.0
2022-01-18,70.0
2022-01-19,73.0
2022-01-20,78.0
2022-01-21,76.0
2022-01-22,70.0
2022-01-23,68.0
2022-01-24,90.0
2022-01-25,67.0
2022-01-26,65.0
2022-01-27,63.0
2022-01-28,73.0
2022-01-29,69.0
2022-01-30,66.0
2022-01-31,74.0
2022-02-01,72.0
2022-02-02,77.0
2022-02-03,74.0
2022-02-04,77.0
2022-02-05,70.0
2022-02-06,70.0
2022-02-07,78.0
2022-02-08,77.0
2022-02-09,73.0
2022-02-10,61.0
2022-02-11,71.0
2022-02-12,64.0
2022-02-13,59.0
2022-02-14,66.0
2022-02-15,73.0
2022-02-16,76.0
2022-02-17,79.0
2022-02-18,75.0
2022-02-19,68.0
2022-02-20,66.0
2022-02-21,78.0
2022-02-22,81.0
2022-02-23,76.0
2022-02-24,71.0
2022-02-25,73.0
2022-02-26,65.0
2022-02-27,66.0
2022-02-28,76.0
2022-03-01,78.0
2022-03-02,78.0
2022-03-03,76.0
2022-03-04,75.0
2022-03-05,67.0
2022-03-06,67.0
2022-03-07,78.0
2022-03-08,76.0
2022-03-09,79.0
2022-03-10,81.0
2022-03-11,80.0
2022-03-12,79.0
2022-03-13,73.0
2022-03-14,81.0
2022-03-15,78.0
2022-03-16,77.0
2022-03-17,77.0
2022-03-18,72.0
2022-03-19,72.0
2022-03-20,69.0
2022-03-21,77.0
2022-03-22,78.0
2022-03-23,77.0
2022-03-24,74.0
2022-03-25,72.0
2022-03-26,63.0
2022-03-27,69.0
2022-03-28,71.0
2022-03-29,74.0
2022-03-30,74.0
2022-03-31,77.0
2022-04-01,76.0
2022-04-02,71.0
2022-04-03,74.0
2022-04-04,76.0
2022-04-05,76.0
2022-04-06,78.0
2022-04-07,77.0
2022-04-08,76.0
2022-04-09,69.0
2022-04-10,69.0
2022-04-11,76.0
2022-04-12,75.0
2022-04-13,73.0
2022-04-14,82.0
2022-04-15,71.0
2022-04-16,64.0
2022-04-17,60.0
2022-04-18,79.0
2022-04-19,85.0
2022-04-20,75.0
2022-04-21,75.0
2022-04-22,69.0
2022-04-23,66.0
2022-04-24,67.0
2022-04-25,76.0
2022-04-26,78.0
2022-04-27,82.0
2022-04-28,76.0
2022-04-29,72.0
2022-04-30,64.0
2022-05-01,69.0
2022-05-02,75.0
2022-05-03,76.0
2022-05-04,77.0
2022-05-05,72.0
2022-05-06,67.0
2022-05-07,64.0
2022-05-08,64.0
2022-05-09,77.0
2022-05-10,75.0
2022-05-11,74.0
2022-05-12,74.0
2022-05-13,71.0
2022-05-14,62.0
2022-05-15,63.0
2022-05-16,75.0
2022-05-17,76.0
2022-05-18,73.0
2022-05-19,72.0
2022-05-20,73.0
2022-05-21,68.0
2022-05-22,67.0
2022-05-23,77.0
2022-05-24,74.0
2022-05-25,69.0
2022-05-26,71.0
2022-05-27,74.0
2022-05-28,69.0
2022-05-29,61.0
2022-05-30,64.0
2022-05-31,76.0
2022-06-01,71.0
2022-06-02,76.0
2022-06-03,70.0
2022-06-04,63.0
2022-06-05,65.0
2022-06-06,72.0
2022-06-07,76.0
2022-06-08,74.0
2022-06-09,74.0
2022-06-10,69.0
2022-06-11,62.0
2022-06-12,64.0
2022-06-13,74.0
2022-06-14,74.0
2022-06-15,74.0
2022-06-16,77.0
2022-06-17,73.0
2022-06-18,71.0
2022-06-19,67.0
2022-06-20,81.0
2022-06-21,76.0
2022-06-22,76.0
2022-06-23,78.0
2022-06-24,70.0
2022-06-25,61.0
2022-06-26,65.0
2022-06-27,77.0
2022-06-28,77.0
2022-06-29,79.0
2022-06-30,83.0
2022-07-01,83.0
2022-07-02,75.0
2022-07-03,67.0
2022-07-04,63.0
2022-07-05,73.0
2022-07-06,75.0
2022-07-07,70.0
2022-07-08,70.0
2022-07-09,66.0
2022-07-10,65.0
2022-07-11,77.0
2022-07-12,72.0
2022-07-13,74.0
2022-07-14,72.0
2022-07-15,68.0
2022-07-16,62.0
2022-07-17,67.0
2022-07-18,74.0
2022-07-19,74.0
2022-07-20,75.0
2022-07-21,72.0
2022-07-22,67.0
2022-07-23,65.0
2022-07-24,68.0
2022-07-25,78.0
2022-07-26,77.0
2022-07-27,71.0
2022-07-28,73.0
2022-07-29,70.0
2022-07-30,62.0
2022-07-31,66.0
2022-08-01,72.0
2022-08-02,73.0
2022-08-03,70.0
2022-08-04,72.0
2022-08-05,78.0
2022-08-06,68.0
2022-08-07,68.0
2022-08-08,77.0
2022-08-09,77.0
2022-08-10,73.0
2022-08-11,75.0
2022-08-12,70.0
2022-08-13,58.0
2022-08-14,65.0
2022-08-15,77.0
2022-08-16,76.0
2022-08-17,75.0
2022-08-18,75.0
2022-08-19,71.0
2022-08-20,64.0
2022-08-21,66.0
2022-08-22,77.0
2022-08-23,80.0
2022-08-24,81.0
2022-08-25,74.0
2022-08-26,71.0
2022-08-27,62.0
2022-08-28,58.0
2022-08-29,74.0
2022-08-30,76.96052631578948
2022-08-31,75.97368421052632
2022-09-01,78.93421052631578
2022-09-02,71.03947368421052
2022-09-03,61.171052631578945
2022-09-04,57.723684210526315
2022-09-05,66.10526315789474
2022-09-06,75.97368421052632
2022-09-07,72.02631578947368
2022-09-08,71.03947368421052
2022-09-09,68.07894736842105
2022-09-10,56.73684210526316
2022-09-11,57.223684210526315
2022-09-12,72.02631578947368
2022-09-13,74.98684210526315
2022-09-14,74.98684210526315
2022-09-15,74.0
2022-09-16,69.06578947368422
2022-09-17,59.69736842105263
2022-09-18,58.21052631578948
2022-09-19,74.0
2022-09-20,74.0
2022-09-21,72.02631578947368
2022-09-22,74.0
2022-09-23,69.06578947368422
2022-09-24,57.223684210526315
2022-09-25,57.723684210526315
2022-09-26,73.01315789473685
2022-09-27,74.0
2022-09-28,72.05263157894737
2022-09-29,69.13157894736842
2022-09-30,70.10526315789474
2022-10-01,56.473684210526315
2022-10-02,55.5
2022-10-03,72.05263157894737
2022-10-04,74.0
2022-10-05,73.02631578947368
2022-10-06,74.0
2022-10-07,68.15789473684211
2022-10-08,55.5
2022-10-09,55.5
2022-10-10,70.10526315789474
2022-10-11,70.10526315789474
2022-10-12,73.02631578947368
2022-10-13,79.84210526315789
2022-10-14,75.94736842105263
2022-10-15,53.55263157894737
2022-10-16,57.44736842105263
2022-10-17,74.0
2022-10-18,77.89473684210526
2022-10-19,73.02631578947368
2022-10-20,73.02631578947368
2022-10-21,69.13157894736842
2022-10-22,55.5
2022-10-23,57.44736842105263
2022-10-24,73.02631578947368
2022-10-25,73.02631578947368
2022-10-26,72.05263157894737
2022-10-27,74.0
2022-10-28,66.21052631578948
2022-10-29,51.60526315789474
2022-10-30,50.631578947368425
2022-10-31,68.15789473684211
2022-11-01,70.10526315789474
2022-11-02,73.02631578947368
2022-11-03,73.02631578947368
2022-11-04,70.10526315789474
2022-11-05,57.44736842105263
2022-11-06,53.55263157894737
2022-11-07,71.07894736842105
2022-11-08,64.26315789473685
2022-11-09,66.21052631578948
2022-11-10,68.15789473684211
2022-11-11,64.26315789473685
2022-11-12,56.473684210526315
2022-11-13,56.473684210526315
2022-11-14,70.10526315789474
2022-11-15,72.05263157894737
2022-11-16,74.0
2022-11-17,72.05263157894737
2022-11-18,68.15789473684211
2022-11-19,60.36842105263158
2022-11-20,55.5
2022-11-21,65.23684210526316
2022-11-22,69.13157894736842
2022-11-23,63.28947368421053
2022-11-24,47.71052631578947
2022-11-25,54.526315789473685
2022-11-26,51.60526315789474
2022-11-27,59.39473684210527
2022-11-28,69.13157894736842
2022-11-29,73.02631578947368
2022-11-30,75.94736842105263
2022-12-01,68.15789473684211
2022-12-02,67.1842105263158
2022-12-03,54.526315789473685
2022-12-04,54.526315789473685
2022-12-05,66.21052631578948
2022-12-06,67.1842105263158
2022-12-07,69.13157894736842
2022-12-08,73.02631578947368
2022-12-09,65.23684210526316
2022-12-10,55.5
2022-12-11,53.55263157894737
2022-12-12,67.1842105263158
2022-12-13,66.21052631578948
2022-12-14,69.13157894736842
2022-12-15,66.21052631578948
2022-12-16,68.15789473684211
2022-12-17,61.3421052631579
2022-12-18,52.578947368421055
2022-12-19,65.23684210526316
2022-12-20,71.07894736842105
2022-12-21,74.97368421052632
2022-12-22,78.86842105263158
2022-12-23,74.0
2022-12-24,67.1842105263158
2022-12-25,58.42105263157895
2022-12-26,76.92105263157895
2022-12-27,97.36842105263158
2022-12-28,85.6842105263158
2022-12-29,77.89473684210526
2022-12-30,70.10526315789474
2022-12-31,58.42105263157895
2023-01-01,55.5
2023-01-02,74.0
2023-01-03,79.84210526315789
2023-01-04,89.57894736842105
2023-01-05,83.73684210526316
2023-01-06,79.84210526315789
2023-01-07,67.1842105263158
2023-01-08,73.02631578947368
2023-01-09,78.86842105263158
2023-01-10,83.73684210526316
2023-01-11,90.55263157894737
2023-01-12,83.73684210526316
2023-01-13,83.73684210526316
2023-01-14,71.07894736842105
2023-01-15,67.1842105263158
2023-01-16,80.81578947368422
2023-01-17,81.78947368421053
2023-01-18,82.76315789473685
2023-01-19,78.86842105263158
2023-01-20,72.05263157894737
2023-01-21,63.28947368421053
2023-01-22,64.26315789473685
2023-01-23,80.81578947368422
2023-01-24,80.81578947368422
2023-01-25,76.92105263157895
2023-01-26,78.86842105263158
2023-01-27,73.02631578947368
2023-01-28,62.31578947368421
2023-01-29,62.31578947368421
2023-01-30,71.07894736842105
2023-01-31,78.86842105263158
2023-02-01,77.89473684210526
2023-02-02,75.94736842105263
2023-02-03,73.02631578947368
2023-02-04,65.23684210526316
2023-02-05,69.13157894736842
2023-02-06,73.02631578947368
2023-02-07,75.94736842105263
2023-02-08,74.0
2023-02-09,73.02631578947368
2023-02-10,73.02631578947368
2023-02-11,61.3421052631579
2023-02-12,57.44736842105263
2023-02-13,65.23684210526316
2023-02-14,68.15789473684211
2023-02-15,75.94736842105263
2023-02-16,76.92105263157895
2023-02-17,74.0
2023-02-18,66.21052631578948
2023-02-19,65.23684210526316
2023-02-20,73.02631578947368
2023-02-21,76.92105263157895
2023-02-22,80.81578947368422
2023-02-23,78.86842105263158
2023-02-24,74.97368421052632
2023-02-25,68.15789473684211
2023-02-26,70.10526315789474
2023-02-27,78.86842105263158
2023-02-28,75.94736842105263
2023-03-01,76.92105263157895
2023-03-02,77.89473684210526
2023-03-03,73.02631578947368
2023-03-04,71.07894736842105
2023-03-05,69.13157894736842
2023-03-06,75.94736842105263
2023-03-07,74.0
2023-03-08,74.97368421052632
2023-03-09,75.94736842105263
2023-03-10,74.97368421052632
2023-03-11,67.1842105263158
2023-03-12,67.1842105263158
2023-03-13,76.92105263157895
2023-03-14,77.89473684210526
2023-03-15,77.89473684210526
2023-03-16,77.89473684210526
2023-03-17,71.07894736842105
2023-03-18,62.31578947368421
2023-03-19,72.05263157894737
2023-03-20,83.73684210526316
2023-03-21,79.84210526315789
2023-03-22,78.86842105263158
2023-03-23,74.97368421052632
2023-03-24,74.97368421052632
2023-03-25,65.23684210526316
2023-03-26,69.13157894736842
2023-03-27,82.76315789473685
2023-03-28,77.89473684210526
2023-03-29,74.97368421052632
2023-03-30,73.02631578947368
2023-03-31,72.05263157894737
2023-04-01,69.13157894736842
2023-04-02,69.13157894736842
2023-04-03,78.86842105263158
2023-04-04,74.97368421052632
2023-04-05,74.0
2023-04-06,76.92105263157895
2023-04-07,73.02631578947368
2023-04-08,59.39473684210527
2023-04-09,58.42105263157895
2023-04-10,78.86842105263158
2023-04-11,76.92105263157895
2023-04-12,77.89473684210526
2023-04-13,74.97368421052632
2023-04-14,72.05263157894737
2023-04-15,66.21052631578948
2023-04-16,67.1842105263158
2023-04-17,74.0
2023-04-18,74.97368421052632
2023-04-19,77.89473684210526
2023-04-20,77.89473684210526
2023-04-21,71.07894736842105
2023-04-22,64.26315789473685
2023-04-23,68.15789473684211
2023-04-24,75.94736842105263
2023-04-25,75.94736842105263
2023-04-26,77.17776431732382
2023-04-27,71.1415316166559
2023-04-28,69.27779595781846
2023-04-29,60.93280187415752
2023-04-30,65.55032464014356
2023-05-01,77.17776431732382
2023-05-02,75.80087076374953
2023-05-03,73.00526727549335
2023-05-04,71.62837372191906
2023-05-05,66.96903457482544
2023-05-06,57.650356280638185
2023-05-07,57.650356280638185
2023-05-08,76.73273859316825
2023-05-09,73.93713510491207
2023-05-10,71.1415316166559
2023-05-11,69.27779595781846
2023-05-12,69.27779595781846
2023-05-13,57.20533055648262
2023-05-14,57.650356280638185
2023-05-15,75.31402865848636
2023-05-16,76.2458964879051
2023-05-17,75.80087076374953
2023-05-18,71.1415316166559
2023-05-19,66.96903457482544
2023-05-20,60.93280187415752
2023-05-21,63.24156325715054
2023-05-22,74.86900293433081
2023-05-23,72.07339944607463
2023-05-24,73.00526727549335
2023-05-25,73.00526727549335
2023-05-26,66.75385862333509
2023-05-27,61.41354993346828
2023-05-28,56.07324124360147
2023-05-29,61.41354993346828
2023-05-30,72.0941673132019
2023-05-31,73.87427020982416
2023-06-01,72.0941673132019
2023-06-02,71.20411586489075
2023-06-03,62.303601381779416
2023-06-04,63.19365283009055
2023-06-05,77.4344760030687
2023-06-06,76.54442455475757
2023-06-07,74.7643216581353
2023-06-08,71.20411586489075
2023-06-09,69.42401296826849
2023-06-10,62.303601381779416
2023-06-11,63.19365283009055
2023-06-12,79.21457889969096
2023-06-13,75.65437310644643
2023-06-14,75.65437310644643
2023-06-15,74.7643216581353
2023-06-16,72.98421876151302
2023-06-17,63.19365283009055
2023-06-18,61.41354993346828
2023-06-19,79.21457889969096
2023-06-20,76.54442455475757
2023-06-21,73.87427020982416
2023-06-22,72.98421876151302
2023-06-23,73.87427020982416
2023-06-24,63.19365283009055
2023-06-25,68.53396151995736
2023-06-26,88.11509338280231
2023-06-27,86.33499048618005
2023-06-28,88.11509338280231
2023-06-29,88.11509338280231
2023-06-30,77.4344760030687
2023-07-01,66.75385862333509
2023-07-02,68.53396151995736
2023-07-03,68.53396151995736
2023-07-04,59.63344703684601
2023-07-05,72.0941673132019
2023-07-06,73.87427020982416
2023-07-07,72.0941673132019
2023-07-08,65.86380717502395
2023-07-09,71.20411586489075
2023-07-10,79.21457889969096
