Time,pbs kids
2023-04-26,69
2023-04-27,77
2023-04-28,83
2023-04-29,26
2023-04-30,24
2023-05-01,64
2023-05-02,73
2023-05-03,72
2023-05-04,75
2023-05-05,91
2023-05-06,27
2023-05-07,21
2023-05-08,70
2023-05-09,78
2023-05-10,88
2023-05-11,83
2023-05-12,100
2023-05-13,25
2023-05-14,23
2023-05-15,76
2023-05-16,87
2023-05-17,82
2023-05-18,91
2023-05-19,98
2023-05-20,25
2023-05-21,22
2023-05-22,75
2023-05-23,79
2023-05-24,72
2023-05-25,68
2023-05-26,54
2023-05-27,23
2023-05-28,22
2023-05-29,20
2023-05-30,40
2023-05-31,45
2023-06-01,44
2023-06-02,46
2023-06-03,22
2023-06-04,20
2023-06-05,38
2023-06-06,41
2023-06-07,41
2023-06-08,39
2023-06-09,35
2023-06-10,22
2023-06-11,21
2023-06-12,35
2023-06-13,32
2023-06-14,33
2023-06-15,31
2023-06-16,29
2023-06-17,20
2023-06-18,20
2023-06-19,22
2023-06-20,26
2023-06-21,27
2023-06-22,28
2023-06-23,25
2023-06-24,20
2023-06-25,18
2023-06-26,22
2023-06-27,25
2023-06-28,23
2023-06-29,23
2023-06-30,22
2023-07-01,18
2023-07-02,17
2023-07-03,19
2023-07-04,19
2023-07-05,19
2023-07-06,20
2023-07-07,20
2023-07-08,18
2023-07-09,19
2023-07-10,20
2023-07-11,21
2023-07-12,21
2023-07-13,19
2023-07-14,20
2023-07-15,20
2023-07-16,17
2023-07-17,18
2023-07-18,20
2023-07-19,20
2023-07-20,20
2023-07-21,20
2023-07-22,19
2023-07-23,18
2023-07-24,18
2023-07-25,19
2023-07-26,19
2023-07-27,21
2023-07-28,20
2023-07-29,19
2023-07-30,18
2023-07-31,20
2023-08-01,19
2023-08-02,19
2023-08-03,22
2023-08-04,25
2023-08-05,18
2023-08-06,18
2023-08-07,25
2023-08-08,22
2023-08-09,26
2023-08-10,32
2023-08-11,42
2023-08-12,21
2023-08-13,20
2023-08-14,34
2023-08-15,41
2023-08-16,39
2023-08-17,43
2023-08-18,59
2023-08-19,21
2023-08-20,22
2023-08-21,46
2023-08-22,50
2023-08-23,53
2023-08-24,55
2023-08-25,73
2023-08-26,23
2023-08-27,22
2023-08-28,48
2023-08-29,54
2023-08-30,55
2023-08-31,58
2023-09-01,73
2023-09-02,25
2023-09-03,24
2023-09-04,23
2023-09-05,48
2023-09-06,58
2023-09-07,62
2023-09-08,84
2023-09-09,28
2023-09-10,23
2023-09-11,54
2023-09-12,60
2023-09-13,61
2023-09-14,67
2023-09-15,86
2023-09-16,27
2023-09-17,25
2023-09-18,52
2023-09-19,63
2023-09-20,59
2023-09-21,64
2023-09-22,89
2023-09-23,29
2023-09-24,25
2023-09-25,50
2023-09-26,63
2023-09-27,62
2023-09-28,64
2023-09-29,89
2023-09-30,29
2023-10-01,26
2023-10-02,48
2023-10-03,57
2023-10-04,62
2023-10-05,73
2023-10-06,81
2023-10-07,27
2023-10-08,25
2023-10-09,38
2023-10-10,53
2023-10-11,55
2023-10-12,61
2023-10-13,77
2023-10-14,29
2023-10-15,26
2023-10-16,51
2023-10-17,55
2023-10-18,56
2023-10-19,65
2023-10-20,86
2023-10-21,28
2023-10-22,25
2023-10-23,52
2023-10-24,58
2023-10-25,60
2023-10-26,64
2023-10-27,85
2023-10-28,25
2023-10-29,24
2023-10-30,55
2023-10-31,61
2023-11-01,58
2023-11-02,64
2023-11-03,82
2023-11-04,28
2023-11-05,26
2023-11-06,52
2023-11-07,50
2023-11-08,56
2023-11-09,71
2023-11-10,75
2023-11-11,28
2023-11-12,26
2023-11-13,54
2023-11-14,61
2023-11-15,65
2023-11-16,70
2023-11-17,90
2023-11-18,28
2023-11-19,25
2023-11-20,43
2023-11-21,51
2023-11-22,29
2023-11-23,25
2023-11-24,23
2023-11-25,22
2023-11-26,22
2023-11-27,48
2023-11-28,59
2023-11-29,59
2023-11-30,62
2023-12-01,97
2023-12-02,27
2023-12-03,24
2023-12-04,51
2023-12-05,61
2023-12-06,59
2023-12-07,69
2023-12-08,84
2023-12-09,26
2023-12-10,24
2023-12-11,57
2023-12-12,61
2023-12-13,68
2023-12-14,77
2023-12-15,90
2023-12-16,28
2023-12-17,24
2023-12-18,58
2023-12-19,63
2023-12-20,59
2023-12-21,56
2023-12-22,42
2023-12-23,25
2023-12-24,21
2023-12-25,22
2023-12-26,19
2023-12-27,20
2023-12-28,20
2023-12-29,21
2023-12-30,18
2023-12-31,20
2024-01-01,23
2024-01-02,24
2024-01-03,36
2024-01-04,42
2024-01-05,61
2024-01-06,24
2024-01-07,20
2024-01-08,48
2024-01-09,61
2024-01-10,60
2024-01-11,64
2024-01-12,85
2024-01-13,27
2024-01-14,23
2024-01-15,24
2024-01-16,45
2024-01-17,58
2024-01-18,65
2024-01-19,76
2024-01-20,26
