Time,pbs kids
2022-08-29,47
2022-08-30,55
2022-08-31,56
2022-09-01,56
2022-09-02,75
2022-09-03,27
2022-09-04,25
2022-09-05,23
2022-09-06,47
2022-09-07,55
2022-09-08,59
2022-09-09,79
2022-09-10,24
2022-09-11,22
2022-09-12,52
2022-09-13,55
2022-09-14,59
2022-09-15,64
2022-09-16,84
2022-09-17,25
2022-09-18,24
2022-09-19,53
2022-09-20,59
2022-09-21,57
2022-09-22,66
2022-09-23,95
2022-09-24,27
2022-09-25,26
2022-09-26,49
2022-09-27,55
2022-09-28,54
2022-09-29,66
2022-09-30,81
2022-10-01,33
2022-10-02,26
2022-10-03,52
2022-10-04,60
2022-10-05,57
2022-10-06,68
2022-10-07,81
2022-10-08,29
2022-10-09,25
2022-10-10,40
2022-10-11,51
2022-10-12,59
2022-10-13,63
2022-10-14,75
2022-10-15,29
2022-10-16,25
2022-10-17,51
2022-10-18,59
2022-10-19,63
2022-10-20,65
2022-10-21,78
2022-10-22,28
2022-10-23,26
2022-10-24,53
2022-10-25,60
2022-10-26,66
2022-10-27,63
2022-10-28,85
2022-10-29,27
2022-10-30,24
2022-10-31,55
2022-11-01,56
2022-11-02,58
2022-11-03,62
2022-11-04,100
2022-11-05,30
2022-11-06,26
2022-11-07,49
2022-11-08,49
2022-11-09,53
2022-11-10,65
2022-11-11,74
2022-11-12,29
2022-11-13,27
2022-11-14,58
2022-11-15,67
2022-11-16,65
2022-11-17,74
2022-11-18,90
2022-11-19,33
2022-11-20,27
2022-11-21,41
2022-11-22,47
2022-11-23,34
2022-11-24,27
2022-11-25,26
2022-11-26,21
2022-11-27,25
2022-11-28,44
2022-11-29,52
2022-11-30,67
2022-12-01,60
2022-12-02,76
2022-12-03,25
2022-12-04,26
2022-12-05,59
2022-12-06,62
2022-12-07,67
2022-12-08,72
2022-12-09,84
2022-12-10,31
2022-12-11,25
2022-12-12,59
2022-12-13,69
2022-12-14,77
2022-12-15,84
2022-12-16,82
2022-12-17,29
2022-12-18,24
2022-12-19,47
2022-12-20,53
2022-12-21,46
2022-12-22,38
2022-12-23,31
2022-12-24,25
2022-12-25,21
2022-12-26,19
2022-12-27,19
2022-12-28,21
2022-12-29,21
2022-12-30,21
2022-12-31,23
2023-01-01,24
2023-01-02,23
2023-01-03,31
2023-01-04,43
2023-01-05,48
2023-01-06,68
2023-01-07,24
2023-01-08,23
2023-01-09,49
2023-01-10,57
2023-01-11,60
2023-01-12,70
2023-01-13,85
2023-01-14,25
2023-01-15,22
2023-01-16,26
2023-01-17,54
2023-01-18,66
2023-01-19,68
2023-01-20,81
2023-01-21,30
2023-01-22,24
2023-01-23,56
2023-01-24,67
2023-01-25,66
2023-01-26,71
2023-01-27,90
2023-01-28,28
2023-01-29,26
2023-01-30,62
2023-01-31,66
2023-02-01,65
2023-02-02,73
2023-02-03,92
2023-02-04,29
2023-02-05,28
2023-02-06,55
2023-02-07,66
2023-02-08,66
2023-02-09,67
2023-02-10,94
2023-02-11,32
2023-02-12,26
2023-02-13,48
2023-02-14,62
2023-02-15,64
2023-02-16,70
2023-02-17,88
2023-02-18,29
2023-02-19,26
2023-02-20,30
2023-02-21,52
2023-02-22,59
2023-02-23,61
2023-02-24,83
2023-02-25,29
2023-02-26,26
2023-02-27,57
2023-02-28,58
2023-03-01,60
2023-03-02,70
2023-03-03,87
2023-03-04,27
2023-03-05,25
2023-03-06,53
2023-03-07,61
2023-03-08,66
2023-03-09,73
2023-03-10,88
2023-03-11,26
2023-03-12,24
2023-03-13,49
2023-03-14,52
2023-03-15,55
2023-03-16,55
2023-03-17,62
2023-03-18,25
2023-03-19,23
2023-03-20,51
2023-03-21,56
2023-03-22,62
2023-03-23,65
2023-03-24,83
2023-03-25,27
2023-03-26,26
2023-03-27,52
2023-03-28,59
2023-03-29,58
2023-03-30,66
2023-03-31,77
2023-04-01,26
2023-04-02,23
2023-04-03,44
2023-04-04,53
2023-04-05,55
2023-04-06,71
2023-04-07,33
2023-04-08,22
2023-04-09,20
2023-04-10,37
2023-04-11,51
2023-04-12,50
2023-04-13,57
2023-04-14,79
2023-04-15,23
2023-04-16,22
2023-04-17,55
2023-04-18,58
2023-04-19,63
2023-04-20,69
2023-04-21,83
2023-04-22,26
2023-04-23,23
2023-04-24,57
2023-04-25,63
2023-04-26,68
2023-04-27,75
2023-04-28,81
2023-04-29,25
2023-04-30,24
2023-05-01,63
2023-05-02,71
2023-05-03,71
2023-05-04,74
2023-05-05,89
2023-05-06,26
2023-05-07,21
2023-05-08,69
2023-05-09,77
2023-05-10,86
2023-05-11,81
2023-05-12,98
2023-05-13,24
2023-05-14,23
2023-05-15,75
2023-05-16,86
2023-05-17,81
2023-05-18,89
2023-05-19,96
2023-05-20,24
2023-05-21,22
2023-05-22,73
2023-05-23,77
2023-05-24,71
2023-05-25,67
