Time,fedex
2022-08-29,80
2022-08-30,73
2022-08-31,75
2022-09-01,74
2022-09-02,69
2022-09-03,43
2022-09-04,32
2022-09-05,34
2022-09-06,74
2022-09-07,78
2022-09-08,73
2022-09-09,67
2022-09-10,46
2022-09-11,34
2022-09-12,72
2022-09-13,75
2022-09-14,77
2022-09-15,76
2022-09-16,85
2022-09-17,52
2022-09-18,34
2022-09-19,70
2022-09-20,76
2022-09-21,70
2022-09-22,72
2022-09-23,69
2022-09-24,44
2022-09-25,33
2022-09-26,65
2022-09-27,73
2022-09-28,67
2022-09-29,66
2022-09-30,68
2022-10-01,42
2022-10-02,30
2022-10-03,65
2022-10-04,70
2022-10-05,71
2022-10-06,71
2022-10-07,67
2022-10-08,45
2022-10-09,33
2022-10-10,71
2022-10-11,70
2022-10-12,73
2022-10-13,76
2022-10-14,65
2022-10-15,44
2022-10-16,31
2022-10-17,69
2022-10-18,70
2022-10-19,71
2022-10-20,68
2022-10-21,63
2022-10-22,44
2022-10-23,33
2022-10-24,67
2022-10-25,70
2022-10-26,69
2022-10-27,67
2022-10-28,64
2022-10-29,41
2022-10-30,29
2022-10-31,61
2022-11-01,66
2022-11-02,66
2022-11-03,65
2022-11-04,62
2022-11-05,42
2022-11-06,31
2022-11-07,61
2022-11-08,67
2022-11-09,62
2022-11-10,67
2022-11-11,66
2022-11-12,43
2022-11-13,29
2022-11-14,66
2022-11-15,68
2022-11-16,70
2022-11-17,70
2022-11-18,65
2022-11-19,47
2022-11-20,33
2022-11-21,68
2022-11-22,71
2022-11-23,68
2022-11-24,26
2022-11-25,50
2022-11-26,44
2022-11-27,38
2022-11-28,67
2022-11-29,74
2022-11-30,77
2022-12-01,78
2022-12-02,79
2022-12-03,74
2022-12-04,59
2022-12-05,99
2022-12-06,100
2022-12-07,94
2022-12-08,98
2022-12-09,83
2022-12-10,63
2022-12-11,46
2022-12-12,81
2022-12-13,82
2022-12-14,88
2022-12-15,86
2022-12-16,84
2022-12-17,61
2022-12-18,45
2022-12-19,86
2022-12-20,90
2022-12-21,91
2022-12-22,78
2022-12-23,79
2022-12-24,54
2022-12-25,26
2022-12-26,53
2022-12-27,78
2022-12-28,83
2022-12-29,76
2022-12-30,67
2022-12-31,47
2023-01-01,25
2023-01-02,52
2023-01-03,68
2023-01-04,79
2023-01-05,71
2023-01-06,72
2023-01-07,51
2023-01-08,37
2023-01-09,64
2023-01-10,71
2023-01-11,71
2023-01-12,64
2023-01-13,64
2023-01-14,47
2023-01-15,31
2023-01-16,62
2023-01-17,65
2023-01-18,66
2023-01-19,65
2023-01-20,64
2023-01-21,41
2023-01-22,30
2023-01-23,60
2023-01-24,63
2023-01-25,64
2023-01-26,61
2023-01-27,61
2023-01-28,42
2023-01-29,29
2023-01-30,59
2023-01-31,68
2023-02-01,72
2023-02-02,77
2023-02-03,80
2023-02-04,54
2023-02-05,39
2023-02-06,73
2023-02-07,79
2023-02-08,71
2023-02-09,70
2023-02-10,67
2023-02-11,46
2023-02-12,32
2023-02-13,65
2023-02-14,68
2023-02-15,68
2023-02-16,66
2023-02-17,64
2023-02-18,44
2023-02-19,35
2023-02-20,59
2023-02-21,67
2023-02-22,68
2023-02-23,66
2023-02-24,68
2023-02-25,46
2023-02-26,34
2023-02-27,68
2023-02-28,71
2023-03-01,69
2023-03-02,71
2023-03-03,68
2023-03-04,46
2023-03-05,36
2023-03-06,67
2023-03-07,73
2023-03-08,71
2023-03-09,65
2023-03-10,66
2023-03-11,44
2023-03-12,32
2023-03-13,67
2023-03-14,68
2023-03-15,66
2023-03-16,69
2023-03-17,63
2023-03-18,41
2023-03-19,30
2023-03-20,72
2023-03-21,68
2023-03-22,68
2023-03-23,63
2023-03-24,63
2023-03-25,41
2023-03-26,31
2023-03-27,65
2023-03-28,73
2023-03-29,68
2023-03-30,62
2023-03-31,62
2023-04-01,42
2023-04-02,30
2023-04-03,65
2023-04-04,69
2023-04-05,71
2023-04-06,70
2023-04-07,63
2023-04-08,40
2023-04-09,23
2023-04-10,68
2023-04-11,73
2023-04-12,67
2023-04-13,68
2023-04-14,64
2023-04-15,42
2023-04-16,31
2023-04-17,67
2023-04-18,66
2023-04-19,66
2023-04-20,66
2023-04-21,58
2023-04-22,41
2023-04-23,27
2023-04-24,63
2023-04-25,66
2023-04-26,64
2023-04-27,61
2023-04-28,57
2023-04-29,39
2023-04-30,27
2023-05-01,64
2023-05-02,66
2023-05-03,65
2023-05-04,65
2023-05-05,57
2023-05-06,42
2023-05-07,28
2023-05-08,62
2023-05-09,68
2023-05-10,66
2023-05-11,67
2023-05-12,63
2023-05-13,44
2023-05-14,27
2023-05-15,66
2023-05-16,72
2023-05-17,68
2023-05-18,64
2023-05-19,63
2023-05-20,41
2023-05-21,27
2023-05-22,65
2023-05-23,68
2023-05-24,67
2023-05-25,68
