Time,fedex
2023-12-22,99
2023-12-23,73
2023-12-24,43
2023-12-25,23
2023-12-26,73
2023-12-27,85
2023-12-28,83
2023-12-29,83
2023-12-30,59
2023-12-31,39
2024-01-01,31
2024-01-02,85
2024-01-03,91
2024-01-04,86
2024-01-05,85
2024-01-06,57
2024-01-07,45
2024-01-08,82
2024-01-09,82
2024-01-10,89
2024-01-11,86
2024-01-12,82
2024-01-13,54
2024-01-14,35
2024-01-15,77
2024-01-16,79
2024-01-17,93
2024-01-18,96
2024-01-19,95
2024-01-20,67
2024-01-21,40
2024-01-22,95
2024-01-23,92
2024-01-24,94
2024-01-25,87
2024-01-26,79
2024-01-27,52
2024-01-28,34
2024-01-29,79
2024-01-30,89
2024-01-31,85
2024-02-01,80
2024-02-02,74
2024-02-03,51
2024-02-04,33
2024-02-05,76
2024-02-06,78
2024-02-07,79
2024-02-08,79
2024-02-09,75
2024-02-10,51
2024-02-11,31
2024-02-12,71
2024-02-13,81
2024-02-14,80
2024-02-15,82
2024-02-16,75
2024-02-17,46
2024-02-18,34
2024-02-19,76
2024-02-20,77
2024-02-21,81
2024-02-22,75
2024-02-23,71
2024-02-24,50
2024-02-25,32
2024-02-26,78
2024-02-27,82
2024-02-28,84
2024-02-29,78
2024-03-01,78
2024-03-02,49
2024-03-03,33
2024-03-04,79
2024-03-05,84
2024-03-06,79
2024-03-07,83
2024-03-08,75
2024-03-09,49
2024-03-10,32
2024-03-11,80
2024-03-12,82
2024-03-13,84
2024-03-14,82
2024-03-15,76
2024-03-16,53
2024-03-17,37
2024-03-18,87
2024-03-19,86
2024-03-20,84
2024-03-21,85
2024-03-22,79
2024-03-23,54
2024-03-24,33
2024-03-25,84
2024-03-26,85
2024-03-27,86
2024-03-28,83
2024-03-29,73
2024-03-30,42
2024-03-31,28
2024-04-01,78
2024-04-02,81
2024-04-03,82
2024-04-04,79
2024-04-05,75
2024-04-06,46
2024-04-07,33
2024-04-08,71
2024-04-09,82
2024-04-10,81
2024-04-11,80
2024-04-12,76
2024-04-13,48
2024-04-14,34
2024-04-15,82
2024-04-16,83
2024-04-17,79
2024-04-18,82
2024-04-19,76
2024-04-20,47
2024-04-21,34
2024-04-22,80
2024-04-23,78
2024-04-24,81
2024-04-25,77
2024-04-26,72
2024-04-27,45
2024-04-28,33
2024-04-29,81
2024-04-30,81
2024-05-01,80
2024-05-02,81
2024-05-03,74
2024-05-04,49
2024-05-05,33
2024-05-06,82
2024-05-07,84
2024-05-08,96
2024-05-09,88
2024-05-10,84
2024-05-11,52
2024-05-12,33
2024-05-13,83
2024-05-14,85
2024-05-15,83
2024-05-16,82
2024-05-17,81
2024-05-18,50
2024-05-19,38
2024-05-20,86
2024-05-21,86
2024-05-22,88
2024-05-23,87
2024-05-24,79
2024-05-25,51
2024-05-26,39
2024-05-27,39
2024-05-28,91
2024-05-29,96
2024-05-30,93
2024-05-31,90
2024-06-01,56
2024-06-02,36
2024-06-03,88
2024-06-04,91
2024-06-05,89
2024-06-06,89
2024-06-07,84
2024-06-08,57
2024-06-09,36
2024-06-10,89
2024-06-11,91
2024-06-12,89
2024-06-13,89
2024-06-14,86
2024-06-15,50
2024-06-16,36
2024-06-17,91
2024-06-18,90
2024-06-19,94
2024-06-20,82
2024-06-21,79
2024-06-22,47
2024-06-23,35
2024-06-24,83
2024-06-25,88
2024-06-26,88
2024-06-27,85
2024-06-28,80
2024-06-29,45
2024-06-30,33
2024-07-01,81
2024-07-02,87
2024-07-03,86
2024-07-04,36
2024-07-05,74
2024-07-06,53
2024-07-07,34
2024-07-08,85
2024-07-09,91
2024-07-10,90
2024-07-11,87
2024-07-12,81
2024-07-13,49
2024-07-14,33
2024-07-15,87
2024-07-16,90
2024-07-17,89
2024-07-18,92
2024-07-19,84
2024-07-20,54
2024-07-21,37
2024-07-22,88
2024-07-23,92
2024-07-24,89
2024-07-25,89
2024-07-26,83
2024-07-27,55
2024-07-28,34
2024-07-29,86
2024-07-30,88
2024-07-31,85
2024-08-01,85
2024-08-02,80
2024-08-03,49
2024-08-04,32
2024-08-05,85
2024-08-06,87
2024-08-07,88
2024-08-08,86
2024-08-09,81
2024-08-10,48
2024-08-11,39
2024-08-12,89
2024-08-13,93
2024-08-14,100
2024-08-15,98
2024-08-16,94
2024-08-17,70
2024-08-18,78
2024-08-19,98
2024-08-20,91
2024-08-21,92
2024-08-22,91
2024-08-23,83
2024-08-24,59
2024-08-25,54
2024-08-26,92
2024-08-27,86
2024-08-28,89
2024-08-29,89
2024-08-30,90
2024-08-31,62
2024-09-01,73
2024-09-02,52
2024-09-03,87
2024-09-04,89
2024-09-05,86
2024-09-06,80
2024-09-07,48
2024-09-08,37
2024-09-09,88
2024-09-10,89
2024-09-11,83
2024-09-12,81
2024-09-13,77
2024-09-14,47
2024-09-15,32
2024-09-16,78
