Time,fedex
2023-04-26,70
2023-04-27,66
2023-04-28,62
2023-04-29,42
2023-04-30,29
2023-05-01,69
2023-05-02,71
2023-05-03,71
2023-05-04,71
2023-05-05,62
2023-05-06,46
2023-05-07,30
2023-05-08,68
2023-05-09,74
2023-05-10,72
2023-05-11,72
2023-05-12,69
2023-05-13,48
2023-05-14,29
2023-05-15,72
2023-05-16,78
2023-05-17,74
2023-05-18,70
2023-05-19,69
2023-05-20,44
2023-05-21,30
2023-05-22,71
2023-05-23,73
2023-05-24,73
2023-05-25,73
2023-05-26,66
2023-05-27,43
2023-05-28,26
2023-05-29,32
2023-05-30,77
2023-05-31,79
2023-06-01,78
2023-06-02,73
2023-06-03,50
2023-06-04,36
2023-06-05,78
2023-06-06,78
2023-06-07,77
2023-06-08,73
2023-06-09,69
2023-06-10,45
2023-06-11,31
2023-06-12,77
2023-06-13,77
2023-06-14,74
2023-06-15,75
2023-06-16,70
2023-06-17,46
2023-06-18,29
2023-06-19,76
2023-06-20,78
2023-06-21,77
2023-06-22,69
2023-06-23,71
2023-06-24,46
2023-06-25,32
2023-06-26,75
2023-06-27,77
2023-06-28,70
2023-06-29,75
2023-06-30,67
2023-07-01,44
2023-07-02,32
2023-07-03,68
2023-07-04,31
2023-07-05,75
2023-07-06,80
2023-07-07,77
2023-07-08,48
2023-07-09,31
2023-07-10,74
2023-07-11,74
2023-07-12,73
2023-07-13,75
2023-07-14,72
2023-07-15,48
2023-07-16,33
2023-07-17,75
2023-07-18,72
2023-07-19,74
2023-07-20,73
2023-07-21,71
2023-07-22,44
2023-07-23,33
2023-07-24,71
2023-07-25,75
2023-07-26,73
2023-07-27,70
2023-07-28,69
2023-07-29,45
2023-07-30,39
2023-07-31,71
2023-08-01,74
2023-08-02,72
2023-08-03,75
2023-08-04,74
2023-08-05,53
2023-08-06,50
2023-08-07,86
2023-08-08,82
2023-08-09,79
2023-08-10,86
2023-08-11,91
2023-08-12,63
2023-08-13,73
2023-08-14,100
2023-08-15,82
2023-08-16,77
2023-08-17,77
2023-08-18,77
2023-08-19,53
2023-08-20,58
2023-08-21,85
2023-08-22,82
2023-08-23,77
2023-08-24,79
2023-08-25,76
2023-08-26,57
2023-08-27,67
2023-08-28,83
2023-08-29,75
2023-08-30,67
2023-08-31,70
2023-09-01,63
2023-09-02,42
2023-09-03,31
2023-09-04,30
2023-09-05,70
2023-09-06,73
2023-09-07,73
2023-09-08,66
2023-09-09,44
2023-09-10,31
2023-09-11,69
2023-09-12,71
2023-09-13,68
2023-09-14,68
2023-09-15,62
2023-09-16,41
2023-09-17,25
2023-09-18,64
2023-09-19,66
2023-09-20,67
2023-09-21,69
2023-09-22,65
2023-09-23,40
2023-09-24,29
2023-09-25,67
2023-09-26,69
2023-09-27,65
2023-09-28,69
2023-09-29,63
2023-09-30,41
2023-10-01,27
2023-10-02,62
2023-10-03,64
2023-10-04,66
2023-10-05,69
2023-10-06,69
2023-10-07,47
2023-10-08,31
2023-10-09,64
2023-10-10,66
2023-10-11,66
2023-10-12,66
2023-10-13,63
2023-10-14,38
2023-10-15,28
2023-10-16,63
2023-10-17,66
2023-10-18,65
2023-10-19,67
2023-10-20,59
2023-10-21,38
2023-10-22,25
2023-10-23,65
2023-10-24,67
2023-10-25,65
2023-10-26,62
2023-10-27,59
2023-10-28,40
2023-10-29,24
2023-10-30,61
2023-10-31,62
2023-11-01,62
2023-11-02,65
2023-11-03,58
2023-11-04,38
2023-11-05,26
2023-11-06,60
2023-11-07,69
2023-11-08,64
2023-11-09,65
2023-11-10,61
2023-11-11,43
2023-11-12,28
2023-11-13,61
2023-11-14,64
2023-11-15,69
2023-11-16,63
2023-11-17,63
2023-11-18,42
2023-11-19,30
2023-11-20,66
2023-11-21,66
2023-11-22,63
2023-11-23,25
2023-11-24,45
2023-11-25,42
2023-11-26,35
2023-11-27,74
2023-11-28,74
2023-11-29,80
2023-11-30,77
2023-12-01,75
2023-12-02,57
2023-12-03,41
2023-12-04,75
2023-12-05,80
2023-12-06,76
2023-12-07,73
2023-12-08,70
2023-12-09,50
2023-12-10,38
2023-12-11,71
2023-12-12,76
2023-12-13,77
2023-12-14,74
2023-12-15,72
2023-12-16,54
2023-12-17,39
2023-12-18,70
2023-12-19,81
2023-12-20,89
2023-12-21,88
2023-12-22,75
2023-12-23,55
2023-12-24,33
2023-12-25,18
2023-12-26,56
2023-12-27,65
2023-12-28,63
2023-12-29,63
2023-12-30,45
2023-12-31,30
2024-01-01,24
2024-01-02,65
2024-01-03,70
2024-01-04,66
2024-01-05,65
2024-01-06,43
2024-01-07,34
2024-01-08,63
2024-01-09,62
2024-01-10,68
2024-01-11,66
2024-01-12,62
2024-01-13,41
2024-01-14,27
2024-01-15,59
2024-01-16,60
2024-01-17,71
2024-01-18,74
2024-01-19,73
2024-01-20,51
