Time,ned fulmer
2023-04-26,29
2023-04-27,19
2023-04-28,21
2023-04-29,0
2023-04-30,21
2023-05-01,26
2023-05-02,16
2023-05-03,28
2023-05-04,26
2023-05-05,20
2023-05-06,26
2023-05-07,25
2023-05-08,30
2023-05-09,29
2023-05-10,36
2023-05-11,41
2023-05-12,28
2023-05-13,69
2023-05-14,65
2023-05-15,46
2023-05-16,27
2023-05-17,33
2023-05-18,22
2023-05-19,28
2023-05-20,0
2023-05-21,38
2023-05-22,24
2023-05-23,0
2023-05-24,21
2023-05-25,38
2023-05-26,0
2023-05-27,20
2023-05-28,20
2023-05-29,31
2023-05-30,44
2023-05-31,44
2023-06-01,44
2023-06-02,33
2023-06-03,33
2023-06-04,44
2023-06-05,39
2023-06-06,18
2023-06-07,32
2023-06-08,16
2023-06-09,33
2023-06-10,30
2023-06-11,21
2023-06-12,20
2023-06-13,27
2023-06-14,32
2023-06-15,15
2023-06-16,19
2023-06-17,21
2023-06-18,43
2023-06-19,23
2023-06-20,21
2023-06-21,23
2023-06-22,28
2023-06-23,36
2023-06-24,33
2023-06-25,40
2023-06-26,22
2023-06-27,19
2023-06-28,28
2023-06-29,32
2023-06-30,36
2023-07-01,25
2023-07-02,0
2023-07-03,25
2023-07-04,29
2023-07-05,20
2023-07-06,32
2023-07-07,22
2023-07-08,30
2023-07-09,26
2023-07-10,29
2023-07-11,31
2023-07-12,31
2023-07-13,27
2023-07-14,30
2023-07-15,22
2023-07-16,42
2023-07-17,19
2023-07-18,33
2023-07-19,34
2023-07-20,36
2023-07-21,26
2023-07-22,26
2023-07-23,19
2023-07-24,39
2023-07-25,17
2023-07-26,26
2023-07-27,22
2023-07-28,25
2023-07-29,49
2023-07-30,39
2023-07-31,17
2023-08-01,22
2023-08-02,35
2023-08-03,23
2023-08-04,21
2023-08-05,28
2023-08-06,33
2023-08-07,72
2023-08-08,49
2023-08-09,49
2023-08-10,75
2023-08-11,100
2023-08-12,73
2023-08-13,49
2023-08-14,49
2023-08-15,31
2023-08-16,28
2023-08-17,18
2023-08-18,0
2023-08-19,0
2023-08-20,22
2023-08-21,17
2023-08-22,19
2023-08-23,0
2023-08-24,26
2023-08-25,18
2023-08-26,0
2023-08-27,0
2023-08-28,17
2023-08-29,0
2023-08-30,18
2023-08-31,17
2023-09-01,21
2023-09-02,0
2023-09-03,18
2023-09-04,22
2023-09-05,38
2023-09-06,19
2023-09-07,0
2023-09-08,0
2023-09-09,17
2023-09-10,20
2023-09-11,14
2023-09-12,16
2023-09-13,27
2023-09-14,22
2023-09-15,20
2023-09-16,24
2023-09-17,29
2023-09-18,17
2023-09-19,30
2023-09-20,25
2023-09-21,19
2023-09-22,0
2023-09-23,29
2023-09-24,31
2023-09-25,19
2023-09-26,23
2023-09-27,38
2023-09-28,21
2023-09-29,22
2023-09-30,35
2023-10-01,21
2023-10-02,24
2023-10-03,0
2023-10-04,17
2023-10-05,27
2023-10-06,24
2023-10-07,19
2023-10-08,25
2023-10-09,29
2023-10-10,25
2023-10-11,0
2023-10-12,25
2023-10-13,19
2023-10-14,18
2023-10-15,24
2023-10-16,19
2023-10-17,23
2023-10-18,29
2023-10-19,25
2023-10-20,28
2023-10-21,22
2023-10-22,0
2023-10-23,16
2023-10-24,0
2023-10-25,16
2023-10-26,18
2023-10-27,0
2023-10-28,25
2023-10-29,16
2023-10-30,16
2023-10-31,15
2023-11-01,17
2023-11-02,17
2023-11-03,14
2023-11-04,16
2023-11-05,25
2023-11-06,0
2023-11-07,0
2023-11-08,0
2023-11-09,14
2023-11-10,0
2023-11-11,0
2023-11-12,18
2023-11-13,16
2023-11-14,0
2023-11-15,18
2023-11-16,19
2023-11-17,17
2023-11-18,35
2023-11-19,18
2023-11-20,14
2023-11-21,0
2023-11-22,21
2023-11-23,0
2023-11-24,0
2023-11-25,0
2023-11-26,17
2023-11-27,0
2023-11-28,29
2023-11-29,17
2023-11-30,21
2023-12-01,41
2023-12-02,25
2023-12-03,33
2023-12-04,26
2023-12-05,18
2023-12-06,0
2023-12-07,22
2023-12-08,20
2023-12-09,18
2023-12-10,35
2023-12-11,22
2023-12-12,37
2023-12-13,38
2023-12-14,32
2023-12-15,25
2023-12-16,27
2023-12-17,33
2023-12-18,24
2023-12-19,29
2023-12-20,0
2023-12-21,25
2023-12-22,20
2023-12-23,29
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,28
2023-12-28,0
2023-12-29,22
2023-12-30,0
2023-12-31,18
2024-01-01,0
2024-01-02,29
2024-01-03,30
2024-01-04,25
2024-01-05,0
2024-01-06,26
2024-01-07,0
2024-01-08,20
2024-01-09,0
2024-01-10,0
2024-01-11,0
2024-01-12,27
2024-01-13,24
2024-01-14,19
2024-01-15,0
2024-01-16,0
2024-01-17,0
2024-01-18,15
2024-01-19,16
2024-01-20,0
