Time,local guide program
2022-08-29,64
2022-08-30,64
2022-08-31,62
2022-09-01,58
2022-09-02,56
2022-09-03,36
2022-09-04,35
2022-09-05,37
2022-09-06,64
2022-09-07,58
2022-09-08,55
2022-09-09,55
2022-09-10,32
2022-09-11,34
2022-09-12,58
2022-09-13,61
2022-09-14,58
2022-09-15,58
2022-09-16,57
2022-09-17,34
2022-09-18,32
2022-09-19,61
2022-09-20,60
2022-09-21,58
2022-09-22,59
2022-09-23,53
2022-09-24,34
2022-09-25,31
2022-09-26,58
2022-09-27,54
2022-09-28,54
2022-09-29,53
2022-09-30,53
2022-10-01,29
2022-10-02,29
2022-10-03,57
2022-10-04,56
2022-10-05,53
2022-10-06,54
2022-10-07,52
2022-10-08,33
2022-10-09,31
2022-10-10,54
2022-10-11,58
2022-10-12,53
2022-10-13,54
2022-10-14,49
2022-10-15,30
2022-10-16,29
2022-10-17,55
2022-10-18,56
2022-10-19,56
2022-10-20,55
2022-10-21,50
2022-10-22,36
2022-10-23,34
2022-10-24,55
2022-10-25,62
2022-10-26,95
2022-10-27,100
2022-10-28,95
2022-10-29,89
2022-10-30,81
2022-10-31,92
2022-11-01,100
2022-11-02,94
2022-11-03,95
2022-11-04,96
2022-11-05,81
2022-11-06,83
2022-11-07,92
2022-11-08,92
2022-11-09,84
2022-11-10,84
2022-11-11,80
2022-11-12,72
2022-11-13,69
2022-11-14,80
2022-11-15,85
2022-11-16,81
2022-11-17,82
2022-11-18,82
2022-11-19,69
2022-11-20,67
2022-11-21,79
2022-11-22,83
2022-11-23,67
2022-11-24,36
2022-11-25,35
2022-11-26,33
2022-11-27,33
2022-11-28,54
2022-11-29,55
2022-11-30,52
2022-12-01,52
2022-12-02,50
2022-12-03,37
2022-12-04,33
2022-12-05,54
2022-12-06,55
2022-12-07,56
2022-12-08,57
2022-12-09,51
2022-12-10,34
2022-12-11,33
2022-12-12,52
2022-12-13,55
2022-12-14,50
2022-12-15,53
2022-12-16,51
2022-12-17,33
2022-12-18,31
2022-12-19,51
2022-12-20,52
2022-12-21,51
2022-12-22,43
2022-12-23,35
2022-12-24,27
2022-12-25,25
2022-12-26,33
2022-12-27,50
2022-12-28,54
2022-12-29,49
2022-12-30,44
2022-12-31,30
2023-01-01,30
2023-01-02,44
2023-01-03,58
2023-01-04,61
2023-01-05,57
2023-01-06,58
2023-01-07,36
2023-01-08,34
2023-01-09,60
2023-01-10,64
2023-01-11,60
2023-01-12,60
2023-01-13,57
2023-01-14,38
2023-01-15,34
2023-01-16,50
2023-01-17,62
2023-01-18,58
2023-01-19,59
2023-01-20,56
2023-01-21,36
2023-01-22,35
2023-01-23,58
2023-01-24,62
2023-01-25,59
2023-01-26,57
2023-01-27,53
2023-01-28,38
2023-01-29,36
2023-01-30,57
2023-01-31,61
2023-02-01,56
2023-02-02,57
2023-02-03,55
2023-02-04,35
2023-02-05,34
2023-02-06,60
2023-02-07,57
2023-02-08,57
2023-02-09,56
2023-02-10,62
2023-02-11,36
2023-02-12,32
2023-02-13,53
2023-02-14,59
2023-02-15,60
2023-02-16,59
2023-02-17,62
2023-02-18,39
2023-02-19,37
2023-02-20,57
2023-02-21,62
2023-02-22,59
2023-02-23,59
2023-02-24,56
2023-02-25,40
2023-02-26,37
2023-02-27,62
2023-02-28,60
2023-03-01,61
2023-03-02,61
2023-03-03,56
2023-03-04,40
2023-03-05,38
2023-03-06,62
2023-03-07,65
2023-03-08,63
2023-03-09,64
2023-03-10,58
2023-03-11,36
2023-03-12,36
2023-03-13,64
2023-03-14,63
2023-03-15,59
2023-03-16,60
2023-03-17,57
2023-03-18,38
2023-03-19,37
2023-03-20,67
2023-03-21,64
2023-03-22,64
2023-03-23,64
2023-03-24,58
2023-03-25,39
2023-03-26,40
2023-03-27,67
2023-03-28,65
2023-03-29,66
2023-03-30,63
2023-03-31,56
2023-04-01,37
2023-04-02,39
2023-04-03,63
2023-04-04,64
2023-04-05,62
2023-04-06,64
2023-04-07,58
2023-04-08,38
2023-04-09,34
2023-04-10,66
2023-04-11,69
2023-04-12,67
2023-04-13,67
2023-04-14,59
2023-04-15,40
2023-04-16,38
2023-04-17,64
2023-04-18,69
2023-04-19,66
2023-04-20,63
2023-04-21,62
2023-04-22,38
2023-04-23,40
2023-04-24,66
2023-04-25,68
2023-04-26,57
2023-04-27,51
2023-04-28,48
2023-04-29,36
2023-04-30,33
2023-05-01,53
2023-05-02,55
2023-05-03,55
2023-05-04,53
2023-05-05,51
2023-05-06,32
2023-05-07,31
2023-05-08,61
2023-05-09,59
2023-05-10,54
2023-05-11,53
2023-05-12,51
2023-05-13,30
2023-05-14,30
2023-05-15,59
2023-05-16,60
2023-05-17,56
2023-05-18,54
2023-05-19,53
2023-05-20,33
2023-05-21,31
2023-05-22,59
2023-05-23,58
2023-05-24,57
2023-05-25,56
