Time,2016 election results
2022-01-01,0
2022-01-02,0
2022-01-03,0
2022-01-04,0
2022-01-05,0
2022-01-06,0
2022-01-07,48
2022-01-08,0
2022-01-09,0
2022-01-10,0
2022-01-11,0
2022-01-12,0
2022-01-13,0
2022-01-14,0
2022-01-15,0
2022-01-16,0
2022-01-17,0
2022-01-18,37
2022-01-19,32
2022-01-20,0
2022-01-21,0
2022-01-22,37
2022-01-23,0
2022-01-24,50
2022-01-25,0
2022-01-26,0
2022-01-27,0
2022-01-28,0
2022-01-29,0
2022-01-30,0
2022-01-31,36
2022-02-01,0
2022-02-02,0
2022-02-03,0
2022-02-04,0
2022-02-05,0
2022-02-06,37
2022-02-07,0
2022-02-08,0
2022-02-09,0
2022-02-10,0
2022-02-11,0
2022-02-12,0
2022-02-13,0
2022-02-14,25
2022-02-15,0
2022-02-16,37
2022-02-17,0
2022-02-18,32
2022-02-19,0
2022-02-20,0
2022-02-21,0
2022-02-22,0
2022-02-23,43
2022-02-24,0
2022-02-25,0
2022-02-26,0
2022-02-27,0
2022-02-28,0
2022-03-01,26
2022-03-02,32
2022-03-03,34
2022-03-04,0
2022-03-05,31
2022-03-06,0
2022-03-07,0
2022-03-08,0
2022-03-09,0
2022-03-10,30
2022-03-11,0
2022-03-12,0
2022-03-13,0
2022-03-14,29
2022-03-15,0
2022-03-16,0
2022-03-17,0
2022-03-18,29
2022-03-19,0
2022-03-20,0
2022-03-21,0
2022-03-22,0
2022-03-23,0
2022-03-24,0
2022-03-25,30
2022-03-26,35
2022-03-27,0
2022-03-28,27
2022-03-29,25
2022-03-30,34
2022-03-31,27
2022-04-01,0
2022-04-02,28
2022-04-03,40
2022-04-04,0
2022-04-05,0
2022-04-06,30
2022-04-07,24
2022-04-08,0
2022-04-09,25
2022-04-10,0
2022-04-11,37
2022-04-12,0
2022-04-13,0
2022-04-14,0
2022-04-15,29
2022-04-16,0
2022-04-17,0
2022-04-18,26
2022-04-19,22
2022-04-20,28
2022-04-21,0
2022-04-22,0
2022-04-23,29
2022-04-24,35
2022-04-25,29
2022-04-26,28
2022-04-27,33
2022-04-28,23
2022-04-29,24
2022-04-30,29
2022-05-01,29
2022-05-02,0
2022-05-03,69
2022-05-04,59
2022-05-05,40
2022-05-06,52
2022-05-07,0
2022-05-08,0
2022-05-09,79
2022-05-10,78
2022-05-11,52
2022-05-12,39
2022-05-13,0
2022-05-14,38
2022-05-15,34
2022-05-16,32
2022-05-17,37
2022-05-18,42
2022-05-19,40
2022-05-20,27
2022-05-21,48
2022-05-22,32
2022-05-23,0
2022-05-24,27
2022-05-25,44
2022-05-26,55
2022-05-27,0
2022-05-28,0
2022-05-29,0
2022-05-30,32
2022-05-31,65
2022-06-01,0
2022-06-02,0
2022-06-03,0
2022-06-04,0
2022-06-05,0
2022-06-06,28
2022-06-07,0
2022-06-08,36
2022-06-09,29
2022-06-10,33
2022-06-11,56
2022-06-12,41
2022-06-13,52
2022-06-14,0
2022-06-15,0
2022-06-16,0
2022-06-17,0
2022-06-18,0
2022-06-19,0
2022-06-20,41
2022-06-21,35
2022-06-22,41
2022-06-23,49
2022-06-24,88
2022-06-25,100
2022-06-26,45
2022-06-27,67
2022-06-28,0
2022-06-29,46
2022-06-30,45
2022-07-01,30
2022-07-02,0
2022-07-03,0
2022-07-04,0
2022-07-05,0
2022-07-06,27
2022-07-07,0
2022-07-08,29
2022-07-09,0
2022-07-10,33
2022-07-11,39
2022-07-12,46
2022-07-13,40
2022-07-14,0
2022-07-15,0
2022-07-16,0
2022-07-17,0
2022-07-18,0
2022-07-19,0
2022-07-20,0
2022-07-21,0
2022-07-22,33
2022-07-23,0
2022-07-24,39
2022-07-25,30
2022-07-26,0
2022-07-27,36
2022-07-28,0
2022-07-29,0
2022-07-30,0
2022-07-31,0
2022-08-01,43
2022-08-02,0
2022-08-03,49
2022-08-04,33
2022-08-05,0
2022-08-06,0
2022-08-07,40
2022-08-08,0
2022-08-09,39
2022-08-10,58
2022-08-11,35
2022-08-12,32
2022-08-13,0
2022-08-14,0
2022-08-15,0
2022-08-16,38
2022-08-17,41
2022-08-18,40
2022-08-19,36
2022-08-20,0
2022-08-21,0
2022-08-22,47
2022-08-23,0
2022-08-24,40
2022-08-25,0
2022-08-26,0
2022-08-27,0
2022-08-28,39
2022-08-29,0
2022-08-30,0
2022-08-31,31
2022-09-01,38
2022-09-02,0
2022-09-03,38
2022-09-04,0
2022-09-05,0
2022-09-06,36
2022-09-07,32
2022-09-08,51
2022-09-09,27
2022-09-10,38
2022-09-11,0
2022-09-12,0
2022-09-13,40
2022-09-14,34
2022-09-15,27
2022-09-16,0
2022-09-17,0
2022-09-18,0
2022-09-19,36
2022-09-20,45
2022-09-21,0
2022-09-22,0
2022-09-23,29
2022-09-24,0
2022-09-25,0
2022-09-26,31
2022-09-27,0
