Time,s&p 500
2023-04-26,65
2023-04-27,68
2023-04-28,64
2023-04-29,22
2023-04-30,17
2023-05-01,65
2023-05-02,68
2023-05-03,72
2023-05-04,66
2023-05-05,65
2023-05-06,20
2023-05-07,15
2023-05-08,65
2023-05-09,61
2023-05-10,65
2023-05-11,60
2023-05-12,57
2023-05-13,19
2023-05-14,12
2023-05-15,59
2023-05-16,62
2023-05-17,64
2023-05-18,68
2023-05-19,67
2023-05-20,20
2023-05-21,16
2023-05-22,61
2023-05-23,64
2023-05-24,65
2023-05-25,66
2023-05-26,67
2023-05-27,22
2023-05-28,17
2023-05-29,19
2023-05-30,67
2023-05-31,64
2023-06-01,74
2023-06-02,75
2023-06-03,24
2023-06-04,19
2023-06-05,71
2023-06-06,72
2023-06-07,70
2023-06-08,72
2023-06-09,72
2023-06-10,24
2023-06-11,17
2023-06-12,72
2023-06-13,79
2023-06-14,85
2023-06-15,85
2023-06-16,75
2023-06-17,23
2023-06-18,16
2023-06-19,35
2023-06-20,64
2023-06-21,65
2023-06-22,66
2023-06-23,60
2023-06-24,20
2023-06-25,14
2023-06-26,62
2023-06-27,65
2023-06-28,68
2023-06-29,68
2023-06-30,70
2023-07-01,24
2023-07-02,17
2023-07-03,55
2023-07-04,22
2023-07-05,66
2023-07-06,69
2023-07-07,68
2023-07-08,21
2023-07-09,18
2023-07-10,63
2023-07-11,70
2023-07-12,78
2023-07-13,78
2023-07-14,76
2023-07-15,22
2023-07-16,17
2023-07-17,71
2023-07-18,78
2023-07-19,81
2023-07-20,74
2023-07-21,69
2023-07-22,21
2023-07-23,17
2023-07-24,69
2023-07-25,76
2023-07-26,74
2023-07-27,80
2023-07-28,77
2023-07-29,24
2023-07-30,17
2023-07-31,69
2023-08-01,75
2023-08-02,74
2023-08-03,71
2023-08-04,70
2023-08-05,23
2023-08-06,16
2023-08-07,70
2023-08-08,75
2023-08-09,69
2023-08-10,68
2023-08-11,63
2023-08-12,21
2023-08-13,18
2023-08-14,65
2023-08-15,68
2023-08-16,71
2023-08-17,73
2023-08-18,69
2023-08-19,20
2023-08-20,17
2023-08-21,63
2023-08-22,66
2023-08-23,66
2023-08-24,63
2023-08-25,64
2023-08-26,20
2023-08-27,15
2023-08-28,71
2023-08-29,72
2023-08-30,71
2023-08-31,68
2023-09-01,62
2023-09-02,22
2023-09-03,15
2023-09-04,19
2023-09-05,63
2023-09-06,58
2023-09-07,59
2023-09-08,57
2023-09-09,18
2023-09-10,14
2023-09-11,55
2023-09-12,57
2023-09-13,60
2023-09-14,60
2023-09-15,57
2023-09-16,19
2023-09-17,14
2023-09-18,55
2023-09-19,57
2023-09-20,63
2023-09-21,66
2023-09-22,64
2023-09-23,20
2023-09-24,14
2023-09-25,58
2023-09-26,64
2023-09-27,69
2023-09-28,65
2023-09-29,63
2023-09-30,22
2023-10-01,15
2023-10-02,62
2023-10-03,75
2023-10-04,74
2023-10-05,63
2023-10-06,69
2023-10-07,20
2023-10-08,15
2023-10-09,61
2023-10-10,68
2023-10-11,63
2023-10-12,63
2023-10-13,59
2023-10-14,18
2023-10-15,16
2023-10-16,59
2023-10-17,65
2023-10-18,62
2023-10-19,64
2023-10-20,61
2023-10-21,22
2023-10-22,17
2023-10-23,61
2023-10-24,62
2023-10-25,66
2023-10-26,71
2023-10-27,66
2023-10-28,25
2023-10-29,17
2023-10-30,63
2023-10-31,66
2023-11-01,70
2023-11-02,70
2023-11-03,75
2023-11-04,24
2023-11-05,16
2023-11-06,63
2023-11-07,64
2023-11-08,64
2023-11-09,63
2023-11-10,62
2023-11-11,24
2023-11-12,16
2023-11-13,61
2023-11-14,84
2023-11-15,90
2023-11-16,72
2023-11-17,68
2023-11-18,22
2023-11-19,16
2023-11-20,67
2023-11-21,70
2023-11-22,66
2023-11-23,24
2023-11-24,43
2023-11-25,21
2023-11-26,17
2023-11-27,60
2023-11-28,71
2023-11-29,71
2023-11-30,73
2023-12-01,77
2023-12-02,27
2023-12-03,19
2023-12-04,64
2023-12-05,73
2023-12-06,64
2023-12-07,67
2023-12-08,76
2023-12-09,25
2023-12-10,17
2023-12-11,67
2023-12-12,72
2023-12-13,92
2023-12-14,100
2023-12-15,85
2023-12-16,28
2023-12-17,20
2023-12-18,79
2023-12-19,88
2023-12-20,92
2023-12-21,91
2023-12-22,84
2023-12-23,29
2023-12-24,19
2023-12-25,19
2023-12-26,74
2023-12-27,90
2023-12-28,89
2023-12-29,85
2023-12-30,40
2023-12-31,25
2024-01-01,26
2024-01-02,84
2024-01-03,84
2024-01-04,83
2024-01-05,78
2024-01-06,29
2024-01-07,24
2024-01-08,76
2024-01-09,80
2024-01-10,79
2024-01-11,83
2024-01-12,72
2024-01-13,29
2024-01-14,20
2024-01-15,31
2024-01-16,66
2024-01-17,72
2024-01-18,74
2024-01-19,90
2024-01-20,38
