Time,s&p 500
2022-08-29,73
2022-08-30,71
2022-08-31,68
2022-09-01,70
2022-09-02,63
2022-09-03,22
2022-09-04,15
2022-09-05,18
2022-09-06,68
2022-09-07,73
2022-09-08,69
2022-09-09,64
2022-09-10,26
2022-09-11,22
2022-09-12,67
2022-09-13,92
2022-09-14,93
2022-09-15,75
2022-09-16,80
2022-09-17,25
2022-09-18,18
2022-09-19,69
2022-09-20,72
2022-09-21,89
2022-09-22,84
2022-09-23,100
2022-09-24,32
2022-09-25,21
2022-09-26,85
2022-09-27,87
2022-09-28,80
2022-09-29,83
2022-09-30,86
2022-10-01,28
2022-10-02,21
2022-10-03,79
2022-10-04,89
2022-10-05,91
2022-10-06,71
2022-10-07,79
2022-10-08,23
2022-10-09,18
2022-10-10,70
2022-10-11,82
2022-10-12,75
2022-10-13,88
2022-10-14,85
2022-10-15,23
2022-10-16,18
2022-10-17,73
2022-10-18,83
2022-10-19,77
2022-10-20,70
2022-10-21,69
2022-10-22,22
2022-10-23,16
2022-10-24,67
2022-10-25,76
2022-10-26,75
2022-10-27,77
2022-10-28,85
2022-10-29,24
2022-10-30,16
2022-10-31,71
2022-11-01,69
2022-11-02,80
2022-11-03,75
2022-11-04,70
2022-11-05,21
2022-11-06,16
2022-11-07,65
2022-11-08,67
2022-11-09,66
2022-11-10,96
2022-11-11,83
2022-11-12,26
2022-11-13,17
2022-11-14,72
2022-11-15,89
2022-11-16,72
2022-11-17,68
2022-11-18,69
2022-11-19,21
2022-11-20,13
2022-11-21,57
2022-11-22,66
2022-11-23,72
2022-11-24,21
2022-11-25,39
2022-11-26,19
2022-11-27,16
2022-11-28,54
2022-11-29,61
2022-11-30,69
2022-12-01,74
2022-12-02,67
2022-12-03,23
2022-12-04,17
2022-12-05,57
2022-12-06,61
2022-12-07,60
2022-12-08,61
2022-12-09,55
2022-12-10,21
2022-12-11,16
2022-12-12,56
2022-12-13,73
2022-12-14,72
2022-12-15,74
2022-12-16,69
2022-12-17,22
2022-12-18,14
2022-12-19,59
2022-12-20,65
2022-12-21,67
2022-12-22,70
2022-12-23,58
2022-12-24,20
2022-12-25,13
2022-12-26,27
2022-12-27,61
2022-12-28,64
2022-12-29,66
2022-12-30,64
2022-12-31,26
2023-01-01,17
2023-01-02,32
2023-01-03,62
2023-01-04,68
2023-01-05,60
2023-01-06,70
2023-01-07,24
2023-01-08,16
2023-01-09,65
2023-01-10,69
2023-01-11,71
2023-01-12,73
2023-01-13,72
2023-01-14,25
2023-01-15,17
2023-01-16,29
2023-01-17,63
2023-01-18,71
2023-01-19,69
2023-01-20,63
2023-01-21,25
2023-01-22,17
2023-01-23,66
2023-01-24,73
2023-01-25,68
2023-01-26,73
2023-01-27,71
2023-01-28,23
2023-01-29,18
2023-01-30,64
2023-01-31,72
2023-02-01,80
2023-02-02,88
2023-02-03,82
2023-02-04,28
2023-02-05,18
2023-02-06,68
2023-02-07,75
2023-02-08,73
2023-02-09,70
2023-02-10,69
2023-02-11,24
2023-02-12,16
2023-02-13,62
2023-02-14,75
2023-02-15,69
2023-02-16,65
2023-02-17,63
2023-02-18,22
2023-02-19,16
2023-02-20,29
2023-02-21,67
2023-02-22,69
2023-02-23,66
2023-02-24,66
2023-02-25,24
2023-02-26,17
2023-02-27,58
2023-02-28,66
2023-03-01,63
2023-03-02,66
2023-03-03,64
2023-03-04,23
2023-03-05,16
2023-03-06,58
2023-03-07,68
2023-03-08,68
2023-03-09,69
2023-03-10,89
2023-03-11,28
2023-03-12,22
2023-03-13,96
2023-03-14,81
2023-03-15,85
2023-03-16,80
2023-03-17,72
2023-03-18,23
2023-03-19,18
2023-03-20,72
2023-03-21,70
2023-03-22,78
2023-03-23,74
2023-03-24,65
2023-03-25,21
2023-03-26,16
2023-03-27,62
2023-03-28,62
2023-03-29,64
2023-03-30,65
2023-03-31,66
2023-04-01,23
2023-04-02,17
2023-04-03,68
2023-04-04,68
2023-04-05,64
2023-04-06,62
2023-04-07,44
2023-04-08,19
2023-04-09,15
2023-04-10,64
2023-04-11,67
2023-04-12,70
2023-04-13,66
2023-04-14,69
2023-04-15,20
2023-04-16,16
2023-04-17,62
2023-04-18,67
2023-04-19,63
2023-04-20,61
2023-04-21,58
2023-04-22,21
2023-04-23,15
2023-04-24,59
2023-04-25,63
2023-04-26,64
2023-04-27,65
2023-04-28,62
2023-04-29,22
2023-04-30,16
2023-05-01,63
2023-05-02,65
2023-05-03,69
2023-05-04,63
2023-05-05,63
2023-05-06,20
2023-05-07,15
2023-05-08,63
2023-05-09,60
2023-05-10,63
2023-05-11,58
2023-05-12,55
2023-05-13,19
2023-05-14,12
2023-05-15,57
2023-05-16,60
2023-05-17,62
2023-05-18,64
2023-05-19,64
2023-05-20,19
2023-05-21,16
2023-05-22,60
2023-05-23,63
2023-05-24,62
2023-05-25,64
