Time,s&p 500
2025-04-15,80
2025-04-16,81
2025-04-17,82
2025-04-18,49
2025-04-19,16
2025-04-20,15
2025-04-21,92
2025-04-22,88
2025-04-23,77
2025-04-24,67
2025-04-25,62
2025-04-26,18
2025-04-27,15
2025-04-28,61
2025-04-29,60
2025-04-30,65
2025-05-01,61
2025-05-02,61
2025-05-03,22
2025-05-04,16
2025-05-05,57
2025-05-06,52
2025-05-07,54
2025-05-08,57
2025-05-09,53
2025-05-10,16
2025-05-11,15
2025-05-12,100
2025-05-13,74
2025-05-14,60
2025-05-15,56
2025-05-16,54
2025-05-17,18
2025-05-18,13
2025-05-19,60
2025-05-20,51
2025-05-21,56
2025-05-22,55
2025-05-23,52
2025-05-24,16
2025-05-25,10
2025-05-26,15
2025-05-27,54
2025-05-28,51
2025-05-29,59
2025-05-30,51
2025-05-31,16
2025-06-01,12
2025-06-02,50
2025-06-03,54
2025-06-04,51
2025-06-05,55
2025-06-06,62
2025-06-07,20
2025-06-08,15
2025-06-09,54
2025-06-10,58
2025-06-11,57
2025-06-12,54
2025-06-13,62
2025-06-14,16
2025-06-15,13
2025-06-16,54
2025-06-17,48
2025-06-18,49
2025-06-19,32
2025-06-20,44
2025-06-21,15
2025-06-22,19
2025-06-23,59
2025-06-24,58
2025-06-25,52
2025-06-26,55
2025-06-27,63
2025-06-28,22
2025-06-29,18
2025-06-30,60
2025-07-01,55
2025-07-02,61
2025-07-03,63
2025-07-04,25
2025-07-05,19
2025-07-06,19
2025-07-07,55
2025-07-08,58
2025-07-09,55
2025-07-10,52
2025-07-11,55
2025-07-12,19
2025-07-13,16
2025-07-14,58
2025-07-15,57
2025-07-16,61
2025-07-17,63
2025-07-18,58
2025-07-19,32
2025-07-20,33
2025-07-21,64
2025-07-22,63
2025-07-23,69
2025-07-24,63
2025-07-25,61
2025-07-26,30
2025-07-27,32
2025-07-28,68
2025-07-29,69
2025-07-30,93
2025-07-31,86
2025-08-01,88
2025-08-02,24
2025-08-03,18
2025-08-04,65
2025-08-05,61
2025-08-06,59
2025-08-07,63
2025-08-08,61
2025-08-09,30
2025-08-10,26
2025-08-11,60
2025-08-12,60
2025-08-13,63
2025-08-14,59
2025-08-15,55
2025-08-16,20
2025-08-17,17
2025-08-18,55
2025-08-19,54
2025-08-20,56
2025-08-21,49
2025-08-22,59
2025-08-23,21
2025-08-24,16
2025-08-25,48
2025-08-26,50
2025-08-27,51
2025-08-28,50
2025-08-29,46
2025-08-30,18
2025-08-31,14
2025-09-01,19
2025-09-02,61
2025-09-03,52
2025-09-04,51
2025-09-05,57
2025-09-06,20
2025-09-07,15
2025-09-08,54
2025-09-09,50
2025-09-10,49
2025-09-11,53
2025-09-12,49
2025-09-13,14
2025-09-14,10
2025-09-15,48
2025-09-16,52
2025-09-17,57
2025-09-18,54
2025-09-19,51
2025-09-20,20
2025-09-21,15
2025-09-22,51
2025-09-23,51
2025-09-24,50
2025-09-25,48
2025-09-26,49
2025-09-27,19
2025-09-28,14
2025-09-29,48
2025-09-30,50
2025-10-01,54
2025-10-02,53
2025-10-03,51
2025-10-04,15
2025-10-05,11
2025-10-06,47
2025-10-07,52
2025-10-08,51
2025-10-09,50
2025-10-10,63
2025-10-11,31
2025-10-12,21
2025-10-13,62
2025-10-14,57
2025-10-15,54
2025-10-16,53
2025-10-17,52
2025-10-18,18
2025-10-19,14
2025-10-20,51
2025-10-21,51
2025-10-22,51
2025-10-23,59
2025-10-24,53
2025-10-25,16
2025-10-26,16
2025-10-27,54
2025-10-28,56
2025-10-29,64
2025-10-30,61
2025-10-31,58
2025-11-01,24
2025-11-02,20
2025-11-03,55
2025-11-04,59
2025-11-05,67
2025-11-06,56
2025-11-07,65
2025-11-08,25
2025-11-09,20
2025-11-10,55
2025-11-11,56
2025-11-12,58
2025-11-13,65
2025-11-14,59
2025-11-15,23
2025-11-16,19
2025-11-17,54
2025-11-18,67
2025-11-19,63
2025-11-20,73
2025-11-21,70
2025-11-22,27
2025-11-23,20
2025-11-24,60
2025-11-25,59
2025-11-26,64
2025-11-27,29
2025-11-28,44
2025-11-29,24
2025-11-30,24
2025-12-01,61
2025-12-02,64
2025-12-03,60
2025-12-04,56
2025-12-05,62
2025-12-06,30
2025-12-07,24
2025-12-08,55
2025-12-09,57
2025-12-10,58
2025-12-11,62
2025-12-12,58
2025-12-13,28
2025-12-14,21
2025-12-15,56
2025-12-16,54
2025-12-17,56
2025-12-18,58
2025-12-19,56
2025-12-20,25
2025-12-21,21
2025-12-22,54
2025-12-23,55
2025-12-24,51
2025-12-25,24
2025-12-26,52
2025-12-27,27
2025-12-28,24
2025-12-29,53
2025-12-30,55
2025-12-31,54
2026-01-01,31
2026-01-02,55
2026-01-03,32
2026-01-04,27
2026-01-05,58
2026-01-06,62
2026-01-07,59
2026-01-08,57
2026-01-09,53
