Time,jason alexander
2023-12-22,100
2023-12-23,52
2023-12-24,45
2023-12-25,34
2023-12-26,28
2023-12-27,74
2023-12-28,42
2023-12-29,37
2023-12-30,35
2023-12-31,33
2024-01-01,53
2024-01-02,35
2024-01-03,27
2024-01-04,28
2024-01-05,23
2024-01-06,34
2024-01-07,27
2024-01-08,14
2024-01-09,25
2024-01-10,21
2024-01-11,23
2024-01-12,17
2024-01-13,26
2024-01-14,35
2024-01-15,25
2024-01-16,16
2024-01-17,15
2024-01-18,21
2024-01-19,14
2024-01-20,20
2024-01-21,16
2024-01-22,21
2024-01-23,20
2024-01-24,20
2024-01-25,18
2024-01-26,21
2024-01-27,20
2024-01-28,15
2024-01-29,21
2024-01-30,15
2024-01-31,19
2024-02-01,24
2024-02-02,20
2024-02-03,24
2024-02-04,27
2024-02-05,22
2024-02-06,23
2024-02-07,16
2024-02-08,28
2024-02-09,25
2024-02-10,20
2024-02-11,19
2024-02-12,13
2024-02-13,16
2024-02-14,13
2024-02-15,22
2024-02-16,16
2024-02-17,20
2024-02-18,29
2024-02-19,23
2024-02-20,21
2024-02-21,16
2024-02-22,23
2024-02-23,19
2024-02-24,14
2024-02-25,21
2024-02-26,19
2024-02-27,18
2024-02-28,19
2024-02-29,19
2024-03-01,16
2024-03-02,25
2024-03-03,26
2024-03-04,17
2024-03-05,17
2024-03-06,16
2024-03-07,19
2024-03-08,15
2024-03-09,17
2024-03-10,24
2024-03-11,19
2024-03-12,15
2024-03-13,16
2024-03-14,19
2024-03-15,18
2024-03-16,26
2024-03-17,19
2024-03-18,19
2024-03-19,18
2024-03-20,16
2024-03-21,21
2024-03-22,16
2024-03-23,16
2024-03-24,22
2024-03-25,20
2024-03-26,17
2024-03-27,18
2024-03-28,26
2024-03-29,21
2024-03-30,16
2024-03-31,26
2024-04-01,22
2024-04-02,17
2024-04-03,19
2024-04-04,26
2024-04-05,20
2024-04-06,21
2024-04-07,14
2024-04-08,15
2024-04-09,25
2024-04-10,22
2024-04-11,21
2024-04-12,17
2024-04-13,25
2024-04-14,32
2024-04-15,24
2024-04-16,19
2024-04-17,26
2024-04-18,19
2024-04-19,24
2024-04-20,18
2024-04-21,22
2024-04-22,21
2024-04-23,20
2024-04-24,22
2024-04-25,21
2024-04-26,15
2024-04-27,18
2024-04-28,21
2024-04-29,22
2024-04-30,29
2024-05-01,37
2024-05-02,30
2024-05-03,31
2024-05-04,22
2024-05-05,26
2024-05-06,24
2024-05-07,18
2024-05-08,16
2024-05-09,19
2024-05-10,17
2024-05-11,18
2024-05-12,25
2024-05-13,22
2024-05-14,15
2024-05-15,23
2024-05-16,25
2024-05-17,16
2024-05-18,18
2024-05-19,37
2024-05-20,23
2024-05-21,20
2024-05-22,25
2024-05-23,19
2024-05-24,25
2024-05-25,22
2024-05-26,33
2024-05-27,27
2024-05-28,22
2024-05-29,23
2024-05-30,22
2024-05-31,41
2024-06-01,29
2024-06-02,25
2024-06-03,58
2024-06-04,24
2024-06-05,23
2024-06-06,22
2024-06-07,19
2024-06-08,18
2024-06-09,24
2024-06-10,21
2024-06-11,18
2024-06-12,15
2024-06-13,24
2024-06-14,20
2024-06-15,17
2024-06-16,17
2024-06-17,19
2024-06-18,17
2024-06-19,21
2024-06-20,23
2024-06-21,14
2024-06-22,10
2024-06-23,25
2024-06-24,9
2024-06-25,13
2024-06-26,16
2024-06-27,19
2024-06-28,15
2024-06-29,20
2024-06-30,20
2024-07-01,17
2024-07-02,15
2024-07-03,14
2024-07-04,23
2024-07-05,20
2024-07-06,15
2024-07-07,27
2024-07-08,22
2024-07-09,23
2024-07-10,17
2024-07-11,11
2024-07-12,26
2024-07-13,22
2024-07-14,22
2024-07-15,15
2024-07-16,19
2024-07-17,10
2024-07-18,15
2024-07-19,17
2024-07-20,20
2024-07-21,24
2024-07-22,20
2024-07-23,13
2024-07-24,16
2024-07-25,13
2024-07-26,15
2024-07-27,15
2024-07-28,13
2024-07-29,12
2024-07-30,15
2024-07-31,15
2024-08-01,8
2024-08-02,14
2024-08-03,17
2024-08-04,18
2024-08-05,15
2024-08-06,13
2024-08-07,17
2024-08-08,14
2024-08-09,13
2024-08-10,13
2024-08-11,15
2024-08-12,30
2024-08-13,23
2024-08-14,22
2024-08-15,26
2024-08-16,17
2024-08-17,27
2024-08-18,24
2024-08-19,22
2024-08-20,19
2024-08-21,17
2024-08-22,16
2024-08-23,15
2024-08-24,23
2024-08-25,20
2024-08-26,14
2024-08-27,15
2024-08-28,11
2024-08-29,15
2024-08-30,15
2024-08-31,17
2024-09-01,16
2024-09-02,17
2024-09-03,16
2024-09-04,12
2024-09-05,13
2024-09-06,15
2024-09-07,15
2024-09-08,24
2024-09-09,12
2024-09-10,14
2024-09-11,22
2024-09-12,26
2024-09-13,9
2024-09-14,19
2024-09-15,16
2024-09-16,13
