Time,crumbl cookies
2022-08-29,82
2022-08-30,73
2022-08-31,68
2022-09-01,59
2022-09-02,63
2022-09-03,87
2022-09-04,93
2022-09-05,98
2022-09-06,70
2022-09-07,59
2022-09-08,58
2022-09-09,62
2022-09-10,96
2022-09-11,98
2022-09-12,92
2022-09-13,77
2022-09-14,74
2022-09-15,65
2022-09-16,66
2022-09-17,87
2022-09-18,81
2022-09-19,91
2022-09-20,77
2022-09-21,72
2022-09-22,70
2022-09-23,74
2022-09-24,100
2022-09-25,86
2022-09-26,83
2022-09-27,68
2022-09-28,66
2022-09-29,58
2022-09-30,63
2022-10-01,86
2022-10-02,77
2022-10-03,71
2022-10-04,66
2022-10-05,65
2022-10-06,59
2022-10-07,73
2022-10-08,89
2022-10-09,79
2022-10-10,86
2022-10-11,71
2022-10-12,60
2022-10-13,62
2022-10-14,66
2022-10-15,83
2022-10-16,83
2022-10-17,79
2022-10-18,70
2022-10-19,60
2022-10-20,73
2022-10-21,68
2022-10-22,86
2022-10-23,79
2022-10-24,80
2022-10-25,65
2022-10-26,56
2022-10-27,56
2022-10-28,54
2022-10-29,72
2022-10-30,60
2022-10-31,59
2022-11-01,47
2022-11-02,45
2022-11-03,44
2022-11-04,50
2022-11-05,69
2022-11-06,58
2022-11-07,69
2022-11-08,62
2022-11-09,45
2022-11-10,51
2022-11-11,59
2022-11-12,76
2022-11-13,65
2022-11-14,60
2022-11-15,56
2022-11-16,47
2022-11-17,47
2022-11-18,53
2022-11-19,79
2022-11-20,72
2022-11-21,67
2022-11-22,62
2022-11-23,63
2022-11-24,40
2022-11-25,48
2022-11-26,59
2022-11-27,48
2022-11-28,42
2022-11-29,42
2022-11-30,38
2022-12-01,42
2022-12-02,47
2022-12-03,68
2022-12-04,59
2022-12-05,53
2022-12-06,54
2022-12-07,44
2022-12-08,46
2022-12-09,45
2022-12-10,62
2022-12-11,55
2022-12-12,58
2022-12-13,55
2022-12-14,46
2022-12-15,48
2022-12-16,53
2022-12-17,68
2022-12-18,56
2022-12-19,66
2022-12-20,62
2022-12-21,69
2022-12-22,71
2022-12-23,65
2022-12-24,52
2022-12-25,28
2022-12-26,57
2022-12-27,56
2022-12-28,66
2022-12-29,59
2022-12-30,64
2022-12-31,65
2023-01-01,51
2023-01-02,65
2023-01-03,49
2023-01-04,47
2023-01-05,43
2023-01-06,47
2023-01-07,68
2023-01-08,66
2023-01-09,55
2023-01-10,49
2023-01-11,45
2023-01-12,46
2023-01-13,52
2023-01-14,74
2023-01-15,70
2023-01-16,76
2023-01-17,54
2023-01-18,47
2023-01-19,44
2023-01-20,54
2023-01-21,81
2023-01-22,65
2023-01-23,61
2023-01-24,55
2023-01-25,46
2023-01-26,48
2023-01-27,53
2023-01-28,73
2023-01-29,66
2023-01-30,62
2023-01-31,57
2023-02-01,50
2023-02-02,56
2023-02-03,60
2023-02-04,85
2023-02-05,74
2023-02-06,69
2023-02-07,64
2023-02-08,53
2023-02-09,56
2023-02-10,60
2023-02-11,87
2023-02-12,71
2023-02-13,68
2023-02-14,92
2023-02-15,59
2023-02-16,42
2023-02-17,55
2023-02-18,73
2023-02-19,68
2023-02-20,73
2023-02-21,56
2023-02-22,49
2023-02-23,52
2023-02-24,58
2023-02-25,78
2023-02-26,86
2023-02-27,59
2023-02-28,53
2023-03-01,48
2023-03-02,47
2023-03-03,50
2023-03-04,72
2023-03-05,66
2023-03-06,59
2023-03-07,56
2023-03-08,48
2023-03-09,49
2023-03-10,53
2023-03-11,71
2023-03-12,70
2023-03-13,66
2023-03-14,70
2023-03-15,54
2023-03-16,57
2023-03-17,62
2023-03-18,79
2023-03-19,67
2023-03-20,63
2023-03-21,57
2023-03-22,50
2023-03-23,53
2023-03-24,58
2023-03-25,80
2023-03-26,66
2023-03-27,65
2023-03-28,54
2023-03-29,52
2023-03-30,54
2023-03-31,57
2023-04-01,74
2023-04-02,72
2023-04-03,60
2023-04-04,54
2023-04-05,51
2023-04-06,53
2023-04-07,64
2023-04-08,72
2023-04-09,50
2023-04-10,57
2023-04-11,52
2023-04-12,48
2023-04-13,46
2023-04-14,51
2023-04-15,69
2023-04-16,61
2023-04-17,64
2023-04-18,59
2023-04-19,54
2023-04-20,51
2023-04-21,55
2023-04-22,75
2023-04-23,64
2023-04-24,68
2023-04-25,56
2023-04-26,55
2023-04-27,51
2023-04-28,57
2023-04-29,76
2023-04-30,67
2023-05-01,68
2023-05-02,52
2023-05-03,48
2023-05-04,48
2023-05-05,50
2023-05-06,68
2023-05-07,53
2023-05-08,63
2023-05-09,57
2023-05-10,55
2023-05-11,54
2023-05-12,57
2023-05-13,76
2023-05-14,71
2023-05-15,59
2023-05-16,50
2023-05-17,46
2023-05-18,43
2023-05-19,49
2023-05-20,62
2023-05-21,52
2023-05-22,56
2023-05-23,50
2023-05-24,47
2023-05-25,51
