Time,crumbl cookies
2023-12-22,33
2023-12-23,35
2023-12-24,25
2023-12-25,19
2023-12-26,25
2023-12-27,33
2023-12-28,31
2023-12-29,31
2023-12-30,34
2023-12-31,28
2024-01-01,35
2024-01-02,30
2024-01-03,32
2024-01-04,28
2024-01-05,32
2024-01-06,44
2024-01-07,36
2024-01-08,31
2024-01-09,30
2024-01-10,26
2024-01-11,28
2024-01-12,30
2024-01-13,39
2024-01-14,36
2024-01-15,38
2024-01-16,29
2024-01-17,27
2024-01-18,27
2024-01-19,30
2024-01-20,42
2024-01-21,39
2024-01-22,39
2024-01-23,37
2024-01-24,39
2024-01-25,34
2024-01-26,38
2024-01-27,54
2024-01-28,47
2024-01-29,40
2024-01-30,39
2024-01-31,34
2024-02-01,31
2024-02-02,37
2024-02-03,50
2024-02-04,43
2024-02-05,37
2024-02-06,34
2024-02-07,32
2024-02-08,32
2024-02-09,36
2024-02-10,52
2024-02-11,37
2024-02-12,34
2024-02-13,45
2024-02-14,60
2024-02-15,36
2024-02-16,34
2024-02-17,47
2024-02-18,42
2024-02-19,51
2024-02-20,46
2024-02-21,41
2024-02-22,40
2024-02-23,43
2024-02-24,60
2024-02-25,54
2024-02-26,46
2024-02-27,45
2024-02-28,38
2024-02-29,37
2024-03-01,39
2024-03-02,56
2024-03-03,52
2024-03-04,45
2024-03-05,43
2024-03-06,40
2024-03-07,40
2024-03-08,38
2024-03-09,55
2024-03-10,50
2024-03-11,48
2024-03-12,40
2024-03-13,37
2024-03-14,37
2024-03-15,36
2024-03-16,51
2024-03-17,43
2024-03-18,48
2024-03-19,39
2024-03-20,35
2024-03-21,36
2024-03-22,40
2024-03-23,51
2024-03-24,43
2024-03-25,55
2024-03-26,49
2024-03-27,44
2024-03-28,42
2024-03-29,50
2024-03-30,53
2024-03-31,34
2024-04-01,46
2024-04-02,40
2024-04-03,36
2024-04-04,35
2024-04-05,39
2024-04-06,49
2024-04-07,42
2024-04-08,41
2024-04-09,37
2024-04-10,35
2024-04-11,34
2024-04-12,40
2024-04-13,48
2024-04-14,42
2024-04-15,46
2024-04-16,39
2024-04-17,36
2024-04-18,39
2024-04-19,43
2024-04-20,56
2024-04-21,46
2024-04-22,61
2024-04-23,52
2024-04-24,40
2024-04-25,38
2024-04-26,41
2024-04-27,53
2024-04-28,46
2024-04-29,56
2024-04-30,45
2024-05-01,38
2024-05-02,34
2024-05-03,37
2024-05-04,51
2024-05-05,47
2024-05-06,55
2024-05-07,48
2024-05-08,40
2024-05-09,42
2024-05-10,43
2024-05-11,61
2024-05-12,55
2024-05-13,53
2024-05-14,43
2024-05-15,37
2024-05-16,32
2024-05-17,36
2024-05-18,48
2024-05-19,44
2024-05-20,63
2024-05-21,63
2024-05-22,45
2024-05-23,41
2024-05-24,45
2024-05-25,55
2024-05-26,52
2024-05-27,74
2024-05-28,51
2024-05-29,43
2024-05-30,40
2024-05-31,42
2024-06-01,53
2024-06-02,52
2024-06-03,56
2024-06-04,46
2024-06-05,41
2024-06-06,40
2024-06-07,42
2024-06-08,50
2024-06-09,50
2024-06-10,59
2024-06-11,50
2024-06-12,42
2024-06-13,40
2024-06-14,45
2024-06-15,50
2024-06-16,49
2024-06-17,73
2024-06-18,68
2024-06-19,63
2024-06-20,56
2024-06-21,57
2024-06-22,63
2024-06-23,59
2024-06-24,65
2024-06-25,65
2024-06-26,50
2024-06-27,55
2024-06-28,66
2024-06-29,65
2024-06-30,62
2024-07-01,83
2024-07-02,84
2024-07-03,74
2024-07-04,74
2024-07-05,59
2024-07-06,73
2024-07-07,65
2024-07-08,81
2024-07-09,74
2024-07-10,63
2024-07-11,61
2024-07-12,60
2024-07-13,68
2024-07-14,58
2024-07-15,77
2024-07-16,64
2024-07-17,62
2024-07-18,60
2024-07-19,60
2024-07-20,72
2024-07-21,67
2024-07-22,85
2024-07-23,84
2024-07-24,80
2024-07-25,69
2024-07-26,70
2024-07-27,73
2024-07-28,73
2024-07-29,90
2024-07-30,84
2024-07-31,81
2024-08-01,68
2024-08-02,69
2024-08-03,77
2024-08-04,75
2024-08-05,78
2024-08-06,74
2024-08-07,69
2024-08-08,60
2024-08-09,66
2024-08-10,71
2024-08-11,72
2024-08-12,71
2024-08-13,75
2024-08-14,55
2024-08-15,55
2024-08-16,54
2024-08-17,79
2024-08-18,66
2024-08-19,78
2024-08-20,72
2024-08-21,61
2024-08-22,60
2024-08-23,59
2024-08-24,79
2024-08-25,71
2024-08-26,71
2024-08-27,61
2024-08-28,55
2024-08-29,56
2024-08-30,60
2024-08-31,73
2024-09-01,78
2024-09-02,100
2024-09-03,67
2024-09-04,52
2024-09-05,49
2024-09-06,53
2024-09-07,74
2024-09-08,74
2024-09-09,67
2024-09-10,58
2024-09-11,51
2024-09-12,50
2024-09-13,50
2024-09-14,73
2024-09-15,61
2024-09-16,70
