Time,presidential polls
2023-12-22,2
2023-12-23,2
2023-12-24,2
2023-12-25,1
2023-12-26,2
2023-12-27,2
2023-12-28,2
2023-12-29,2
2023-12-30,2
2023-12-31,1
2024-01-01,1
2024-01-02,2
2024-01-03,2
2024-01-04,2
2024-01-05,2
2024-01-06,2
2024-01-07,2
2024-01-08,2
2024-01-09,2
2024-01-10,3
2024-01-11,5
2024-01-12,2
2024-01-13,2
2024-01-14,2
2024-01-15,2
2024-01-16,4
2024-01-17,3
2024-01-18,2
2024-01-19,2
2024-01-20,2
2024-01-21,3
2024-01-22,4
2024-01-23,4
2024-01-24,5
2024-01-25,3
2024-01-26,2
2024-01-27,2
2024-01-28,2
2024-01-29,2
2024-01-30,2
2024-01-31,2
2024-02-01,3
2024-02-02,5
2024-02-03,6
2024-02-04,10
2024-02-05,3
2024-02-06,2
2024-02-07,2
2024-02-08,2
2024-02-09,2
2024-02-10,2
2024-02-11,2
2024-02-12,2
2024-02-13,2
2024-02-14,2
2024-02-15,2
2024-02-16,2
2024-02-17,2
2024-02-18,2
2024-02-19,3
2024-02-20,2
2024-02-21,2
2024-02-22,2
2024-02-23,2
2024-02-24,3
2024-02-25,3
2024-02-26,3
2024-02-27,3
2024-02-28,2
2024-02-29,2
2024-03-01,2
2024-03-02,2
2024-03-03,3
2024-03-04,3
2024-03-05,4
2024-03-06,6
2024-03-07,3
2024-03-08,4
2024-03-09,4
2024-03-10,3
2024-03-11,3
2024-03-12,4
2024-03-13,5
2024-03-14,3
2024-03-15,3
2024-03-16,3
2024-03-17,2
2024-03-18,3
2024-03-19,3
2024-03-20,4
2024-03-21,2
2024-03-22,2
2024-03-23,2
2024-03-24,3
2024-03-25,2
2024-03-26,3
2024-03-27,3
2024-03-28,3
2024-03-29,3
2024-03-30,2
2024-03-31,3
2024-04-01,3
2024-04-02,3
2024-04-03,4
2024-04-04,4
2024-04-05,3
2024-04-06,2
2024-04-07,2
2024-04-08,2
2024-04-09,3
2024-04-10,3
2024-04-11,3
2024-04-12,3
2024-04-13,2
2024-04-14,2
2024-04-15,3
2024-04-16,3
2024-04-17,3
2024-04-18,3
2024-04-19,2
2024-04-20,2
2024-04-21,3
2024-04-22,3
2024-04-23,2
2024-04-24,3
2024-04-25,4
2024-04-26,3
2024-04-27,3
2024-04-28,3
2024-04-29,4
2024-04-30,3
2024-05-01,3
2024-05-02,3
2024-05-03,3
2024-05-04,3
2024-05-05,3
2024-05-06,4
2024-05-07,3
2024-05-08,3
2024-05-09,3
2024-05-10,3
2024-05-11,4
2024-05-12,4
2024-05-13,4
2024-05-14,4
2024-05-15,4
2024-05-16,3
2024-05-17,3
2024-05-18,3
2024-05-19,2
2024-05-20,3
2024-05-21,3
2024-05-22,3
2024-05-23,3
2024-05-24,3
2024-05-25,3
2024-05-26,2
2024-05-27,3
2024-05-28,3
2024-05-29,4
2024-05-30,5
2024-05-31,11
2024-06-01,8
2024-06-02,9
2024-06-03,8
2024-06-04,7
2024-06-05,7
2024-06-06,7
2024-06-07,6
2024-06-08,4
2024-06-09,5
2024-06-10,6
2024-06-11,5
2024-06-12,5
2024-06-13,5
2024-06-14,5
2024-06-15,4
2024-06-16,4
2024-06-17,6
2024-06-18,6
2024-06-19,6
2024-06-20,7
2024-06-21,6
2024-06-22,6
2024-06-23,5
2024-06-24,6
2024-06-25,6
2024-06-26,6
2024-06-27,8
2024-06-28,37
2024-06-29,21
2024-06-30,18
2024-07-01,18
2024-07-02,17
2024-07-03,14
2024-07-04,11
2024-07-05,10
2024-07-06,14
2024-07-07,11
2024-07-08,11
2024-07-09,11
2024-07-10,10
2024-07-11,11
2024-07-12,14
2024-07-13,12
2024-07-14,18
2024-07-15,23
2024-07-16,25
2024-07-17,23
2024-07-18,23
2024-07-19,22
2024-07-20,35
2024-07-21,36
2024-07-22,30
2024-07-23,36
2024-07-24,35
2024-07-25,34
2024-07-26,30
2024-07-27,26
2024-07-28,28
2024-07-29,31
2024-07-30,29
2024-07-31,32
2024-08-01,36
2024-08-02,31
2024-08-03,25
2024-08-04,26
2024-08-05,25
2024-08-06,31
2024-08-07,43
2024-08-08,40
2024-08-09,38
2024-08-10,37
2024-08-11,33
2024-08-12,34
2024-08-13,36
2024-08-14,32
2024-08-15,29
2024-08-16,30
2024-08-17,28
2024-08-18,26
2024-08-19,27
2024-08-20,36
2024-08-21,41
2024-08-22,40
2024-08-23,61
2024-08-24,49
2024-08-25,42
2024-08-26,42
2024-08-27,38
2024-08-28,34
2024-08-29,33
2024-08-30,34
2024-08-31,32
2024-09-01,32
2024-09-02,30
2024-09-03,34
2024-09-04,29
2024-09-05,27
2024-09-06,27
2024-09-07,26
2024-09-08,29
2024-09-09,30
2024-09-10,28
2024-09-11,100
2024-09-12,80
2024-09-13,59
2024-09-14,47
2024-09-15,44
2024-09-16,40
