Time,michaels
2023-12-22,89
2023-12-23,100
2023-12-24,95
2023-12-25,36
2023-12-26,67
2023-12-27,58
2023-12-28,56
2023-12-29,60
2023-12-30,64
2023-12-31,70
2024-01-01,58
2024-01-02,47
2024-01-03,43
2024-01-04,44
2024-01-05,44
2024-01-06,55
2024-01-07,63
2024-01-08,39
2024-01-09,35
2024-01-10,40
2024-01-11,38
2024-01-12,42
2024-01-13,55
2024-01-14,58
2024-01-15,50
2024-01-16,33
2024-01-17,41
2024-01-18,38
2024-01-19,42
2024-01-20,57
2024-01-21,64
2024-01-22,39
2024-01-23,40
2024-01-24,38
2024-01-25,41
2024-01-26,46
2024-01-27,62
2024-01-28,58
2024-01-29,39
2024-01-30,40
2024-01-31,39
2024-02-01,37
2024-02-02,39
2024-02-03,55
2024-02-04,61
2024-02-05,38
2024-02-06,39
2024-02-07,41
2024-02-08,40
2024-02-09,44
2024-02-10,58
2024-02-11,60
2024-02-12,39
2024-02-13,52
2024-02-14,45
2024-02-15,39
2024-02-16,42
2024-02-17,56
2024-02-18,57
2024-02-19,45
2024-02-20,36
2024-02-21,36
2024-02-22,38
2024-02-23,41
2024-02-24,55
2024-02-25,54
2024-02-26,38
2024-02-27,37
2024-02-28,36
2024-02-29,37
2024-03-01,44
2024-03-02,55
2024-03-03,58
2024-03-04,37
2024-03-05,41
2024-03-06,36
2024-03-07,40
2024-03-08,40
2024-03-09,53
2024-03-10,63
2024-03-11,41
2024-03-12,39
2024-03-13,41
2024-03-14,37
2024-03-15,42
2024-03-16,58
2024-03-17,59
2024-03-18,38
2024-03-19,41
2024-03-20,39
2024-03-21,39
2024-03-22,43
2024-03-23,54
2024-03-24,64
2024-03-25,38
2024-03-26,37
2024-03-27,43
2024-03-28,45
2024-03-29,48
2024-03-30,56
2024-03-31,46
2024-04-01,39
2024-04-02,37
2024-04-03,38
2024-04-04,39
2024-04-05,43
2024-04-06,48
2024-04-07,55
2024-04-08,34
2024-04-09,36
2024-04-10,36
2024-04-11,36
2024-04-12,43
2024-04-13,47
2024-04-14,54
2024-04-15,34
2024-04-16,36
2024-04-17,37
2024-04-18,38
2024-04-19,42
2024-04-20,63
2024-04-21,67
2024-04-22,41
2024-04-23,43
2024-04-24,39
2024-04-25,43
2024-04-26,42
2024-04-27,51
2024-04-28,58
2024-04-29,39
2024-04-30,37
2024-05-01,38
2024-05-02,41
2024-05-03,45
2024-05-04,53
2024-05-05,60
2024-05-06,42
2024-05-07,40
2024-05-08,44
2024-05-09,47
2024-05-10,52
2024-05-11,63
2024-05-12,56
2024-05-13,40
2024-05-14,39
2024-05-15,43
2024-05-16,41
2024-05-17,41
2024-05-18,51
2024-05-19,58
2024-05-20,41
2024-05-21,44
2024-05-22,38
2024-05-23,39
2024-05-24,43
2024-05-25,53
2024-05-26,55
2024-05-27,57
2024-05-28,38
2024-05-29,44
2024-05-30,45
2024-05-31,47
2024-06-01,54
2024-06-02,56
2024-06-03,38
2024-06-04,43
2024-06-05,42
2024-06-06,45
2024-06-07,44
2024-06-08,54
2024-06-09,56
2024-06-10,46
2024-06-11,42
2024-06-12,44
2024-06-13,47
2024-06-14,53
2024-06-15,60
2024-06-16,57
2024-06-17,46
2024-06-18,43
2024-06-19,41
2024-06-20,40
2024-06-21,46
2024-06-22,52
2024-06-23,54
2024-06-24,41
2024-06-25,42
2024-06-26,40
2024-06-27,44
2024-06-28,46
2024-06-29,51
2024-06-30,56
2024-07-01,41
2024-07-02,43
2024-07-03,45
2024-07-04,51
2024-07-05,46
2024-07-06,48
2024-07-07,53
2024-07-08,46
2024-07-09,38
2024-07-10,39
2024-07-11,41
2024-07-12,44
2024-07-13,49
2024-07-14,49
2024-07-15,40
2024-07-16,40
2024-07-17,44
2024-07-18,43
2024-07-19,47
2024-07-20,52
2024-07-21,56
2024-07-22,41
2024-07-23,43
2024-07-24,42
2024-07-25,42
2024-07-26,46
2024-07-27,50
2024-07-28,57
2024-07-29,42
2024-07-30,41
2024-07-31,44
2024-08-01,47
2024-08-02,46
2024-08-03,55
2024-08-04,63
2024-08-05,41
2024-08-06,40
2024-08-07,40
2024-08-08,43
2024-08-09,48
2024-08-10,52
2024-08-11,62
2024-08-12,48
2024-08-13,40
2024-08-14,43
2024-08-15,46
2024-08-16,48
2024-08-17,60
2024-08-18,62
2024-08-19,42
2024-08-20,41
2024-08-21,40
2024-08-22,43
2024-08-23,47
2024-08-24,66
2024-08-25,64
2024-08-26,44
2024-08-27,42
2024-08-28,47
2024-08-29,49
2024-08-30,46
2024-08-31,61
2024-09-01,73
2024-09-02,71
2024-09-03,41
2024-09-04,42
2024-09-05,39
2024-09-06,42
2024-09-07,58
2024-09-08,64
2024-09-09,40
2024-09-10,40
2024-09-11,37
2024-09-12,39
2024-09-13,57
2024-09-14,62
2024-09-15,63
2024-09-16,46
