Time,amazon stock
2023-12-22,45
2023-12-23,17
2023-12-24,12
2023-12-25,11
2023-12-26,40
2023-12-27,45
2023-12-28,42
2023-12-29,43
2023-12-30,16
2023-12-31,11
2024-01-01,11
2024-01-02,42
2024-01-03,44
2024-01-04,43
2024-01-05,41
2024-01-06,17
2024-01-07,12
2024-01-08,39
2024-01-09,41
2024-01-10,47
2024-01-11,49
2024-01-12,42
2024-01-13,15
2024-01-14,11
2024-01-15,17
2024-01-16,37
2024-01-17,41
2024-01-18,40
2024-01-19,42
2024-01-20,18
2024-01-21,13
2024-01-22,44
2024-01-23,44
2024-01-24,52
2024-01-25,49
2024-01-26,43
2024-01-27,18
2024-01-28,13
2024-01-29,42
2024-01-30,50
2024-01-31,47
2024-02-01,79
2024-02-02,100
2024-02-03,34
2024-02-04,18
2024-02-05,52
2024-02-06,49
2024-02-07,46
2024-02-08,46
2024-02-09,47
2024-02-10,23
2024-02-11,17
2024-02-12,43
2024-02-13,45
2024-02-14,47
2024-02-15,45
2024-02-16,43
2024-02-17,16
2024-02-18,11
2024-02-19,20
2024-02-20,40
2024-02-21,44
2024-02-22,53
2024-02-23,47
2024-02-24,18
2024-02-25,13
2024-02-26,45
2024-02-27,43
2024-02-28,39
2024-02-29,43
2024-03-01,45
2024-03-02,18
2024-03-03,14
2024-03-04,44
2024-03-05,43
2024-03-06,41
2024-03-07,43
2024-03-08,42
2024-03-09,15
2024-03-10,13
2024-03-11,37
2024-03-12,43
2024-03-13,40
2024-03-14,43
2024-03-15,38
2024-03-16,14
2024-03-17,11
2024-03-18,41
2024-03-19,41
2024-03-20,42
2024-03-21,45
2024-03-22,37
2024-03-23,16
2024-03-24,12
2024-03-25,38
2024-03-26,39
2024-03-27,40
2024-03-28,39
2024-03-29,23
2024-03-30,13
2024-03-31,12
2024-04-01,37
2024-04-02,37
2024-04-03,42
2024-04-04,43
2024-04-05,43
2024-04-06,17
2024-04-07,12
2024-04-08,39
2024-04-09,40
2024-04-10,40
2024-04-11,48
2024-04-12,45
2024-04-13,18
2024-04-14,12
2024-04-15,38
2024-04-16,41
2024-04-17,38
2024-04-18,39
2024-04-19,39
2024-04-20,14
2024-04-21,11
2024-04-22,35
2024-04-23,41
2024-04-24,39
2024-04-25,46
2024-04-26,47
2024-04-27,15
2024-04-28,12
2024-04-29,46
2024-04-30,79
2024-05-01,71
2024-05-02,50
2024-05-03,51
2024-05-04,15
2024-05-05,12
2024-05-06,42
2024-05-07,44
2024-05-08,39
2024-05-09,44
2024-05-10,38
2024-05-11,14
2024-05-12,11
2024-05-13,40
2024-05-14,44
2024-05-15,47
2024-05-16,41
2024-05-17,39
2024-05-18,15
2024-05-19,11
2024-05-20,35
2024-05-21,39
2024-05-22,40
2024-05-23,40
2024-05-24,36
2024-05-25,14
2024-05-26,8
2024-05-27,12
2024-05-28,36
2024-05-29,36
2024-05-30,35
2024-05-31,37
2024-06-01,14
2024-06-02,11
2024-06-03,35
2024-06-04,35
2024-06-05,39
2024-06-06,39
2024-06-07,39
2024-06-08,15
2024-06-09,10
2024-06-10,36
2024-06-11,38
2024-06-12,45
2024-06-13,40
2024-06-14,36
2024-06-15,15
2024-06-16,11
2024-06-17,39
2024-06-18,37
2024-06-19,24
2024-06-20,39
2024-06-21,36
2024-06-22,15
2024-06-23,11
2024-06-24,37
2024-06-25,38
2024-06-26,46
2024-06-27,58
2024-06-28,49
2024-06-29,17
2024-06-30,10
2024-07-01,43
2024-07-02,49
2024-07-03,47
2024-07-04,20
2024-07-05,46
2024-07-06,18
2024-07-07,13
2024-07-08,47
2024-07-09,47
2024-07-10,44
2024-07-11,44
2024-07-12,42
2024-07-13,13
2024-07-14,11
2024-07-15,42
2024-07-16,51
2024-07-17,50
2024-07-18,49
2024-07-19,44
2024-07-20,16
2024-07-21,11
2024-07-22,39
2024-07-23,44
2024-07-24,45
2024-07-25,46
2024-07-26,38
2024-07-27,13
2024-07-28,10
2024-07-29,35
2024-07-30,39
2024-07-31,44
2024-08-01,67
2024-08-02,89
2024-08-03,26
2024-08-04,16
2024-08-05,90
2024-08-06,73
2024-08-07,58
2024-08-08,48
2024-08-09,44
2024-08-10,14
2024-08-11,11
2024-08-12,41
2024-08-13,46
2024-08-14,44
2024-08-15,47
2024-08-16,43
2024-08-17,15
2024-08-18,12
2024-08-19,42
2024-08-20,40
2024-08-21,39
2024-08-22,37
2024-08-23,38
2024-08-24,14
2024-08-25,11
2024-08-26,35
2024-08-27,35
2024-08-28,33
2024-08-29,37
2024-08-30,34
2024-08-31,12
2024-09-01,10
2024-09-02,12
2024-09-03,34
2024-09-04,35
2024-09-05,33
2024-09-06,30
2024-09-07,11
2024-09-08,10
2024-09-09,30
2024-09-10,33
2024-09-11,34
2024-09-12,40
2024-09-13,39
2024-09-14,13
2024-09-15,10
2024-09-16,35
