Time,deadpool
2022-01-01,48
2022-01-02,48
2022-01-03,39
2022-01-04,41
2022-01-05,68
2022-01-06,39
2022-01-07,32
2022-01-08,48
2022-01-09,51
2022-01-10,38
2022-01-11,35
2022-01-12,35
2022-01-13,38
2022-01-14,30
2022-01-15,45
2022-01-16,42
2022-01-17,35
2022-01-18,31
2022-01-19,27
2022-01-20,33
2022-01-21,30
2022-01-22,40
2022-01-23,40
2022-01-24,34
2022-01-25,25
2022-01-26,23
2022-01-27,23
2022-01-28,27
2022-01-29,35
2022-01-30,81
2022-01-31,34
2022-02-01,24
2022-02-02,25
2022-02-03,25
2022-02-04,27
2022-02-05,39
2022-02-06,34
2022-02-07,25
2022-02-08,24
2022-02-09,22
2022-02-10,22
2022-02-11,24
2022-02-12,30
2022-02-13,36
2022-02-14,48
2022-02-15,34
2022-02-16,31
2022-02-17,30
2022-02-18,31
2022-02-19,35
2022-02-20,39
2022-02-21,34
2022-02-22,34
2022-02-23,30
2022-02-24,27
2022-02-25,29
2022-02-26,35
2022-02-27,40
2022-02-28,30
2022-03-01,24
2022-03-02,36
2022-03-03,30
2022-03-04,27
2022-03-05,49
2022-03-06,38
2022-03-07,27
2022-03-08,30
2022-03-09,28
2022-03-10,24
2022-03-11,30
2022-03-12,51
2022-03-13,46
2022-03-14,35
2022-03-15,33
2022-03-16,30
2022-03-17,30
2022-03-18,30
2022-03-19,36
2022-03-20,39
2022-03-21,32
2022-03-22,30
2022-03-23,27
2022-03-24,30
2022-03-25,28
2022-03-26,39
2022-03-27,38
2022-03-28,29
2022-03-29,27
2022-03-30,26
2022-03-31,33
2022-04-01,30
2022-04-02,36
2022-04-03,37
2022-04-04,26
2022-04-05,25
2022-04-06,27
2022-04-07,25
2022-04-08,30
2022-04-09,34
2022-04-10,35
2022-04-11,27
2022-04-12,27
2022-04-13,24
2022-04-14,25
2022-04-15,28
2022-04-16,33
2022-04-17,36
2022-04-18,30
2022-04-19,24
2022-04-20,24
2022-04-21,24
2022-04-22,24
2022-04-23,31
2022-04-24,35
2022-04-25,33
2022-04-26,27
2022-04-27,25
2022-04-28,24
2022-04-29,24
2022-04-30,33
2022-05-01,38
2022-05-02,27
2022-05-03,27
2022-05-04,26
2022-05-05,27
2022-05-06,31
2022-05-07,56
2022-05-08,37
2022-05-09,28
2022-05-10,27
2022-05-11,38
2022-05-12,26
2022-05-13,23
2022-05-14,32
2022-05-15,35
2022-05-16,29
2022-05-17,31
2022-05-18,32
2022-05-19,31
2022-05-20,29
2022-05-21,38
2022-05-22,41
2022-05-23,32
2022-05-24,31
2022-05-25,40
2022-05-26,29
2022-05-27,27
2022-05-28,31
2022-05-29,40
2022-05-30,38
2022-05-31,29
2022-06-01,25
2022-06-02,24
2022-06-03,25
2022-06-04,30
2022-06-05,40
2022-06-06,26
2022-06-07,27
2022-06-08,33
2022-06-09,31
2022-06-10,33
2022-06-11,30
2022-06-12,34
2022-06-13,25
2022-06-14,23
2022-06-15,24
2022-06-16,25
2022-06-17,26
2022-06-18,31
2022-06-19,31
2022-06-20,27
2022-06-21,24
2022-06-22,24
2022-06-23,26
2022-06-24,25
2022-06-25,29
2022-06-26,39
2022-06-27,58
2022-06-28,29
2022-06-29,27
2022-06-30,25
2022-07-01,25
2022-07-02,27
2022-07-03,27
2022-07-04,31
2022-07-05,24
2022-07-06,26
2022-07-07,25
2022-07-08,25
2022-07-09,29
2022-07-10,36
2022-07-11,30
2022-07-12,24
2022-07-13,23
2022-07-14,24
2022-07-15,25
2022-07-16,29
2022-07-17,29
2022-07-18,24
2022-07-19,26
2022-07-20,34
2022-07-21,44
2022-07-22,55
2022-07-23,72
2022-07-24,82
2022-07-25,59
2022-07-26,50
2022-07-27,44
2022-07-28,49
2022-07-29,42
2022-07-30,44
2022-07-31,52
2022-08-01,39
2022-08-02,33
2022-08-03,35
2022-08-04,34
2022-08-05,36
2022-08-06,46
2022-08-07,58
2022-08-08,43
2022-08-09,33
2022-08-10,30
2022-08-11,30
2022-08-12,30
2022-08-13,33
2022-08-14,34
2022-08-15,30
2022-08-16,29
2022-08-17,25
2022-08-18,27
2022-08-19,26
2022-08-20,30
2022-08-21,32
2022-08-22,25
2022-08-23,26
2022-08-24,24
2022-08-25,35
2022-08-26,25
2022-08-27,30
2022-08-28,33
2022-08-29,23
2022-08-30,21
2022-08-31,20
2022-09-01,32
2022-09-02,21
2022-09-03,29
2022-09-04,35
2022-09-05,34
2022-09-06,23
2022-09-07,20
2022-09-08,19
2022-09-09,21
2022-09-10,28
2022-09-11,25
2022-09-12,21
2022-09-13,19
2022-09-14,20
2022-09-15,22
2022-09-16,21
2022-09-17,26
2022-09-18,25
2022-09-19,20
2022-09-20,19
2022-09-21,21
2022-09-22,30
2022-09-23,20
2022-09-24,26
2022-09-25,25
2022-09-26,18
2022-09-27,100
