Time,rebel wilson
2023-04-26,19
2023-04-27,21
2023-04-28,22
2023-04-29,30
2023-04-30,28
2023-05-01,30
2023-05-02,60
2023-05-03,69
2023-05-04,61
2023-05-05,49
2023-05-06,100
2023-05-07,78
2023-05-08,61
2023-05-09,44
2023-05-10,45
2023-05-11,36
2023-05-12,39
2023-05-13,45
2023-05-14,72
2023-05-15,89
2023-05-16,55
2023-05-17,45
2023-05-18,48
2023-05-19,59
2023-05-20,59
2023-05-21,61
2023-05-22,39
2023-05-23,34
2023-05-24,42
2023-05-25,36
2023-05-26,43
2023-05-27,56
2023-05-28,58
2023-05-29,58
2023-05-30,45
2023-05-31,34
2023-06-01,44
2023-06-02,30
2023-06-03,43
2023-06-04,56
2023-06-05,62
2023-06-06,45
2023-06-07,33
2023-06-08,33
2023-06-09,36
2023-06-10,39
2023-06-11,50
2023-06-12,50
2023-06-13,56
2023-06-14,46
2023-06-15,43
2023-06-16,44
2023-06-17,68
2023-06-18,47
2023-06-19,40
2023-06-20,40
2023-06-21,29
2023-06-22,28
2023-06-23,28
2023-06-24,38
2023-06-25,38
2023-06-26,28
2023-06-27,29
2023-06-28,29
2023-06-29,40
2023-06-30,53
2023-07-01,31
2023-07-02,33
2023-07-03,32
2023-07-04,43
2023-07-05,26
2023-07-06,24
2023-07-07,25
2023-07-08,34
2023-07-09,65
2023-07-10,37
2023-07-11,21
2023-07-12,23
2023-07-13,28
2023-07-14,30
2023-07-15,44
2023-07-16,51
2023-07-17,37
2023-07-18,52
2023-07-19,45
2023-07-20,32
2023-07-21,30
2023-07-22,48
2023-07-23,36
2023-07-24,32
2023-07-25,22
2023-07-26,26
2023-07-27,31
2023-07-28,33
2023-07-29,33
2023-07-30,31
2023-07-31,26
2023-08-01,24
2023-08-02,27
2023-08-03,26
2023-08-04,23
2023-08-05,31
2023-08-06,44
2023-08-07,41
2023-08-08,42
2023-08-09,35
2023-08-10,29
2023-08-11,33
2023-08-12,37
2023-08-13,62
2023-08-14,42
2023-08-15,34
2023-08-16,24
2023-08-17,23
2023-08-18,19
2023-08-19,28
2023-08-20,32
2023-08-21,22
2023-08-22,32
2023-08-23,22
2023-08-24,19
2023-08-25,15
2023-08-26,21
2023-08-27,24
2023-08-28,17
2023-08-29,15
2023-08-30,17
2023-08-31,14
2023-09-01,21
2023-09-02,27
2023-09-03,26
2023-09-04,25
2023-09-05,19
2023-09-06,15
2023-09-07,12
2023-09-08,17
2023-09-09,24
2023-09-10,27
2023-09-11,16
2023-09-12,17
2023-09-13,21
2023-09-14,15
2023-09-15,19
2023-09-16,21
2023-09-17,31
2023-09-18,16
2023-09-19,21
2023-09-20,24
2023-09-21,30
2023-09-22,29
2023-09-23,29
2023-09-24,33
2023-09-25,34
2023-09-26,23
2023-09-27,21
2023-09-28,21
2023-09-29,21
2023-09-30,38
2023-10-01,31
2023-10-02,14
2023-10-03,18
2023-10-04,14
2023-10-05,29
2023-10-06,20
2023-10-07,28
2023-10-08,31
2023-10-09,23
2023-10-10,25
2023-10-11,20
2023-10-12,20
2023-10-13,19
2023-10-14,25
2023-10-15,21
2023-10-16,20
2023-10-17,20
2023-10-18,31
2023-10-19,28
2023-10-20,31
2023-10-21,56
2023-10-22,60
2023-10-23,50
2023-10-24,28
2023-10-25,26
2023-10-26,30
2023-10-27,24
2023-10-28,26
2023-10-29,17
2023-10-30,17
2023-10-31,22
2023-11-01,17
2023-11-02,18
2023-11-03,15
2023-11-04,41
2023-11-05,42
2023-11-06,29
2023-11-07,39
2023-11-08,31
2023-11-09,23
2023-11-10,32
2023-11-11,44
2023-11-12,45
2023-11-13,24
2023-11-14,27
2023-11-15,28
2023-11-16,24
2023-11-17,26
2023-11-18,36
2023-11-19,40
2023-11-20,31
2023-11-21,28
2023-11-22,36
2023-11-23,34
2023-11-24,35
2023-11-25,24
2023-11-26,26
2023-11-27,26
2023-11-28,15
2023-11-29,21
2023-11-30,16
2023-12-01,22
2023-12-02,21
2023-12-03,22
2023-12-04,23
2023-12-05,23
2023-12-06,18
2023-12-07,18
2023-12-08,17
2023-12-09,17
2023-12-10,24
2023-12-11,19
2023-12-12,10
2023-12-13,11
2023-12-14,14
2023-12-15,13
2023-12-16,18
2023-12-17,29
2023-12-18,21
2023-12-19,19
2023-12-20,23
2023-12-21,18
2023-12-22,25
2023-12-23,25
2023-12-24,27
2023-12-25,23
2023-12-26,22
2023-12-27,37
2023-12-28,22
2023-12-29,23
2023-12-30,41
2023-12-31,41
2024-01-01,46
2024-01-02,23
2024-01-03,21
2024-01-04,25
2024-01-05,18
2024-01-06,33
2024-01-07,43
2024-01-08,19
2024-01-09,22
2024-01-10,22
2024-01-11,25
2024-01-12,24
2024-01-13,28
2024-01-14,29
2024-01-15,71
2024-01-16,57
2024-01-17,56
2024-01-18,52
2024-01-19,46
2024-01-20,68
