Time,dollar general
2023-12-22,21
2023-12-23,29
2023-12-24,71
2023-12-25,100
2023-12-26,20
2023-12-27,15
2023-12-28,14
2023-12-29,15
2023-12-30,17
2023-12-31,26
2024-01-01,34
2024-01-02,15
2024-01-03,13
2024-01-04,14
2024-01-05,15
2024-01-06,19
2024-01-07,16
2024-01-08,12
2024-01-09,13
2024-01-10,12
2024-01-11,12
2024-01-12,13
2024-01-13,17
2024-01-14,18
2024-01-15,16
2024-01-16,14
2024-01-17,13
2024-01-18,13
2024-01-19,13
2024-01-20,17
2024-01-21,15
2024-01-22,12
2024-01-23,13
2024-01-24,12
2024-01-25,11
2024-01-26,12
2024-01-27,16
2024-01-28,16
2024-01-29,13
2024-01-30,12
2024-01-31,12
2024-02-01,12
2024-02-02,13
2024-02-03,17
2024-02-04,17
2024-02-05,12
2024-02-06,12
2024-02-07,11
2024-02-08,12
2024-02-09,12
2024-02-10,18
2024-02-11,18
2024-02-12,12
2024-02-13,14
2024-02-14,17
2024-02-15,12
2024-02-16,12
2024-02-17,19
2024-02-18,17
2024-02-19,14
2024-02-20,12
2024-02-21,11
2024-02-22,12
2024-02-23,12
2024-02-24,18
2024-02-25,16
2024-02-26,13
2024-02-27,13
2024-02-28,12
2024-02-29,12
2024-03-01,14
2024-03-02,19
2024-03-03,18
2024-03-04,13
2024-03-05,12
2024-03-06,11
2024-03-07,11
2024-03-08,13
2024-03-09,18
2024-03-10,18
2024-03-11,13
2024-03-12,12
2024-03-13,19
2024-03-14,23
2024-03-15,14
2024-03-16,18
2024-03-17,17
2024-03-18,13
2024-03-19,12
2024-03-20,13
2024-03-21,11
2024-03-22,13
2024-03-23,16
2024-03-24,17
2024-03-25,13
2024-03-26,12
2024-03-27,11
2024-03-28,14
2024-03-29,14
2024-03-30,23
2024-03-31,41
2024-04-01,17
2024-04-02,12
2024-04-03,12
2024-04-04,12
2024-04-05,14
2024-04-06,17
2024-04-07,17
2024-04-08,16
2024-04-09,11
2024-04-10,12
2024-04-11,12
2024-04-12,13
2024-04-13,17
2024-04-14,17
2024-04-15,13
2024-04-16,12
2024-04-17,12
2024-04-18,13
2024-04-19,13
2024-04-20,18
2024-04-21,17
2024-04-22,13
2024-04-23,12
2024-04-24,12
2024-04-25,11
2024-04-26,12
2024-04-27,17
2024-04-28,17
2024-04-29,13
2024-04-30,12
2024-05-01,12
2024-05-02,13
2024-05-03,15
2024-05-04,17
2024-05-05,18
2024-05-06,14
2024-05-07,11
2024-05-08,12
2024-05-09,12
2024-05-10,14
2024-05-11,20
2024-05-12,22
2024-05-13,13
2024-05-14,13
2024-05-15,12
2024-05-16,11
2024-05-17,13
2024-05-18,20
2024-05-19,21
2024-05-20,14
2024-05-21,15
2024-05-22,13
2024-05-23,15
2024-05-24,18
2024-05-25,25
2024-05-26,22
2024-05-27,25
2024-05-28,14
2024-05-29,14
2024-05-30,14
2024-05-31,14
2024-06-01,21
2024-06-02,21
2024-06-03,14
2024-06-04,14
2024-06-05,14
2024-06-06,13
2024-06-07,15
2024-06-08,21
2024-06-09,19
2024-06-10,15
2024-06-11,14
2024-06-12,14
2024-06-13,14
2024-06-14,16
2024-06-15,21
2024-06-16,23
2024-06-17,16
2024-06-18,14
2024-06-19,15
2024-06-20,13
2024-06-21,16
2024-06-22,20
2024-06-23,21
2024-06-24,16
2024-06-25,14
2024-06-26,14
2024-06-27,14
2024-06-28,15
2024-06-29,19
2024-06-30,20
2024-07-01,17
2024-07-02,15
2024-07-03,18
2024-07-04,33
2024-07-05,19
2024-07-06,21
2024-07-07,20
2024-07-08,16
2024-07-09,14
2024-07-10,14
2024-07-11,14
2024-07-12,15
2024-07-13,21
2024-07-14,18
2024-07-15,15
2024-07-16,14
2024-07-17,13
2024-07-18,15
2024-07-19,15
2024-07-20,20
2024-07-21,20
2024-07-22,17
2024-07-23,14
2024-07-24,13
2024-07-25,14
2024-07-26,14
2024-07-27,19
2024-07-28,19
2024-07-29,17
2024-07-30,14
2024-07-31,14
2024-08-01,15
2024-08-02,17
2024-08-03,22
2024-08-04,20
2024-08-05,15
2024-08-06,13
2024-08-07,14
2024-08-08,14
2024-08-09,14
2024-08-10,19
2024-08-11,21
2024-08-12,15
2024-08-13,15
2024-08-14,15
2024-08-15,13
2024-08-16,14
2024-08-17,19
2024-08-18,19
2024-08-19,14
2024-08-20,13
2024-08-21,13
2024-08-22,13
2024-08-23,13
2024-08-24,18
2024-08-25,20
2024-08-26,14
2024-08-27,13
2024-08-28,13
2024-08-29,15
2024-08-30,16
2024-08-31,23
2024-09-01,22
2024-09-02,23
2024-09-03,13
2024-09-04,13
2024-09-05,12
2024-09-06,13
2024-09-07,18
2024-09-08,17
2024-09-09,13
2024-09-10,12
2024-09-11,13
2024-09-12,13
2024-09-13,13
2024-09-14,19
2024-09-15,17
2024-09-16,13
