Time,you
2023-04-26,95
2023-04-27,93
2023-04-28,96
2023-04-29,92
2023-04-30,97
2023-05-01,89
2023-05-02,94
2023-05-03,93
2023-05-04,98
2023-05-05,89
2023-05-06,90
2023-05-07,98
2023-05-08,97
2023-05-09,93
2023-05-10,95
2023-05-11,91
2023-05-12,90
2023-05-13,94
2023-05-14,97
2023-05-15,94
2023-05-16,97
2023-05-17,95
2023-05-18,95
2023-05-19,90
2023-05-20,90
2023-05-21,95
2023-05-22,92
2023-05-23,92
2023-05-24,90
2023-05-25,92
2023-05-26,94
2023-05-27,90
2023-05-28,94
2023-05-29,99
2023-05-30,91
2023-05-31,91
2023-06-01,94
2023-06-02,91
2023-06-03,94
2023-06-04,98
2023-06-05,93
2023-06-06,93
2023-06-07,93
2023-06-08,90
2023-06-09,91
2023-06-10,92
2023-06-11,94
2023-06-12,94
2023-06-13,91
2023-06-14,94
2023-06-15,90
2023-06-16,92
2023-06-17,94
2023-06-18,97
2023-06-19,90
2023-06-20,93
2023-06-21,90
2023-06-22,89
2023-06-23,93
2023-06-24,94
2023-06-25,95
2023-06-26,93
2023-06-27,96
2023-06-28,92
2023-06-29,94
2023-06-30,90
2023-07-01,93
2023-07-02,98
2023-07-03,90
2023-07-04,92
2023-07-05,91
2023-07-06,95
2023-07-07,93
2023-07-08,97
2023-07-09,97
2023-07-10,90
2023-07-11,90
2023-07-12,86
2023-07-13,90
2023-07-14,92
2023-07-15,90
2023-07-16,93
2023-07-17,91
2023-07-18,89
2023-07-19,90
2023-07-20,89
2023-07-21,87
2023-07-22,92
2023-07-23,97
2023-07-24,92
2023-07-25,93
2023-07-26,95
2023-07-27,86
2023-07-28,88
2023-07-29,91
2023-07-30,91
2023-07-31,90
2023-08-01,91
2023-08-02,88
2023-08-03,86
2023-08-04,91
2023-08-05,87
2023-08-06,92
2023-08-07,88
2023-08-08,90
2023-08-09,93
2023-08-10,87
2023-08-11,88
2023-08-12,91
2023-08-13,88
2023-08-14,85
2023-08-15,89
2023-08-16,90
2023-08-17,92
2023-08-18,85
2023-08-19,89
2023-08-20,91
2023-08-21,91
2023-08-22,91
2023-08-23,94
2023-08-24,89
2023-08-25,90
2023-08-26,90
2023-08-27,95
2023-08-28,91
2023-08-29,90
2023-08-30,92
2023-08-31,93
2023-09-01,91
2023-09-02,88
2023-09-03,87
2023-09-04,93
2023-09-05,88
2023-09-06,94
2023-09-07,91
2023-09-08,92
2023-09-09,87
2023-09-10,95
2023-09-11,90
2023-09-12,92
2023-09-13,94
2023-09-14,90
2023-09-15,91
2023-09-16,90
2023-09-17,93
2023-09-18,90
2023-09-19,95
2023-09-20,96
2023-09-21,99
2023-09-22,90
2023-09-23,97
2023-09-24,91
2023-09-25,94
2023-09-26,92
2023-09-27,94
2023-09-28,95
2023-09-29,95
2023-09-30,91
2023-10-01,86
2023-10-02,92
2023-10-03,93
2023-10-04,97
2023-10-05,94
2023-10-06,90
2023-10-07,91
2023-10-08,89
2023-10-09,91
2023-10-10,92
2023-10-11,98
2023-10-12,97
2023-10-13,86
2023-10-14,88
2023-10-15,95
2023-10-16,89
2023-10-17,90
2023-10-18,91
2023-10-19,96
2023-10-20,91
2023-10-21,88
2023-10-22,93
2023-10-23,91
2023-10-24,93
2023-10-25,92
2023-10-26,90
2023-10-27,94
2023-10-28,81
2023-10-29,83
2023-10-30,88
2023-10-31,88
2023-11-01,87
2023-11-02,91
2023-11-03,87
2023-11-04,89
2023-11-05,86
2023-11-06,94
2023-11-07,91
2023-11-08,91
2023-11-09,94
2023-11-10,88
2023-11-11,88
2023-11-12,91
2023-11-13,95
2023-11-14,93
2023-11-15,95
2023-11-16,98
2023-11-17,92
2023-11-18,86
2023-11-19,90
2023-11-20,89
2023-11-21,91
2023-11-22,92
2023-11-23,98
2023-11-24,78
2023-11-25,84
2023-11-26,93
2023-11-27,87
2023-11-28,92
2023-11-29,92
2023-11-30,94
2023-12-01,96
2023-12-02,87
2023-12-03,86
2023-12-04,86
2023-12-05,91
2023-12-06,95
2023-12-07,91
2023-12-08,91
2023-12-09,91
2023-12-10,87
2023-12-11,88
2023-12-12,90
2023-12-13,88
2023-12-14,91
2023-12-15,89
2023-12-16,85
2023-12-17,91
2023-12-18,86
2023-12-19,90
2023-12-20,92
2023-12-21,91
2023-12-22,84
2023-12-23,94
2023-12-24,91
2023-12-25,94
2023-12-26,95
2023-12-27,93
2023-12-28,95
2023-12-29,92
2023-12-30,95
2023-12-31,95
2024-01-01,97
2024-01-02,93
2024-01-03,100
2024-01-04,98
2024-01-05,99
2024-01-06,97
2024-01-07,97
2024-01-08,100
2024-01-09,93
2024-01-10,97
2024-01-11,98
2024-01-12,95
2024-01-13,93
2024-01-14,95
2024-01-15,94
2024-01-16,91
2024-01-17,93
2024-01-18,96
2024-01-19,96
2024-01-20,95
