Time,you
2023-12-22,83
2023-12-23,86
2023-12-24,85
2023-12-25,86
2023-12-26,83
2023-12-27,88
2023-12-28,86
2023-12-29,88
2023-12-30,88
2023-12-31,87
2024-01-01,90
2024-01-02,85
2024-01-03,91
2024-01-04,86
2024-01-05,90
2024-01-06,89
2024-01-07,90
2024-01-08,86
2024-01-09,84
2024-01-10,87
2024-01-11,87
2024-01-12,87
2024-01-13,85
2024-01-14,87
2024-01-15,86
2024-01-16,84
2024-01-17,90
2024-01-18,85
2024-01-19,88
2024-01-20,90
2024-01-21,86
2024-01-22,86
2024-01-23,87
2024-01-24,93
2024-01-25,87
2024-01-26,86
2024-01-27,89
2024-01-28,97
2024-01-29,89
2024-01-30,94
2024-01-31,95
2024-02-01,91
2024-02-02,89
2024-02-03,90
2024-02-04,90
2024-02-05,87
2024-02-06,88
2024-02-07,87
2024-02-08,92
2024-02-09,91
2024-02-10,90
2024-02-11,88
2024-02-12,80
2024-02-13,91
2024-02-14,89
2024-02-15,93
2024-02-16,88
2024-02-17,87
2024-02-18,90
2024-02-19,87
2024-02-20,88
2024-02-21,89
2024-02-22,90
2024-02-23,89
2024-02-24,87
2024-02-25,90
2024-02-26,91
2024-02-27,89
2024-02-28,86
2024-02-29,88
2024-03-01,85
2024-03-02,85
2024-03-03,92
2024-03-04,89
2024-03-05,91
2024-03-06,88
2024-03-07,92
2024-03-08,87
2024-03-09,84
2024-03-10,91
2024-03-11,88
2024-03-12,83
2024-03-13,90
2024-03-14,86
2024-03-15,82
2024-03-16,88
2024-03-17,93
2024-03-18,88
2024-03-19,85
2024-03-20,89
2024-03-21,87
2024-03-22,87
2024-03-23,82
2024-03-24,87
2024-03-25,89
2024-03-26,83
2024-03-27,89
2024-03-28,91
2024-03-29,88
2024-03-30,86
2024-03-31,88
2024-04-01,88
2024-04-02,88
2024-04-03,85
2024-04-04,87
2024-04-05,84
2024-04-06,88
2024-04-07,92
2024-04-08,100
2024-04-09,88
2024-04-10,89
2024-04-11,87
2024-04-12,96
2024-04-13,87
2024-04-14,95
2024-04-15,92
2024-04-16,89
2024-04-17,86
2024-04-18,89
2024-04-19,95
2024-04-20,87
2024-04-21,95
2024-04-22,93
2024-04-23,87
2024-04-24,88
2024-04-25,88
2024-04-26,86
2024-04-27,87
2024-04-28,88
2024-04-29,89
2024-04-30,87
2024-05-01,93
2024-05-02,86
2024-05-03,86
2024-05-04,90
2024-05-05,92
2024-05-06,91
2024-05-07,89
2024-05-08,87
2024-05-09,90
2024-05-10,90
2024-05-11,88
2024-05-12,89
2024-05-13,88
2024-05-14,88
2024-05-15,92
2024-05-16,85
2024-05-17,85
2024-05-18,85
2024-05-19,89
2024-05-20,89
2024-05-21,91
2024-05-22,86
2024-05-23,85
2024-05-24,86
2024-05-25,85
2024-05-26,87
2024-05-27,89
2024-05-28,84
2024-05-29,89
2024-05-30,86
2024-05-31,84
2024-06-01,85
2024-06-02,90
2024-06-03,85
2024-06-04,86
2024-06-05,87
2024-06-06,86
2024-06-07,84
2024-06-08,86
2024-06-09,91
2024-06-10,86
2024-06-11,84
2024-06-12,84
2024-06-13,88
2024-06-14,83
2024-06-15,86
2024-06-16,92
2024-06-17,89
2024-06-18,87
2024-06-19,86
2024-06-20,89
2024-06-21,87
2024-06-22,85
2024-06-23,90
2024-06-24,87
2024-06-25,85
2024-06-26,81
2024-06-27,87
2024-06-28,84
2024-06-29,88
2024-06-30,82
2024-07-01,84
2024-07-02,85
2024-07-03,87
2024-07-04,86
2024-07-05,79
2024-07-06,84
2024-07-07,93
2024-07-08,83
2024-07-09,86
2024-07-10,83
2024-07-11,86
2024-07-12,89
2024-07-13,78
2024-07-14,83
2024-07-15,85
2024-07-16,84
2024-07-17,85
2024-07-18,85
2024-07-19,83
2024-07-20,86
2024-07-21,87
2024-07-22,87
2024-07-23,83
2024-07-24,87
2024-07-25,84
2024-07-26,82
2024-07-27,84
2024-07-28,83
2024-07-29,85
2024-07-30,86
2024-07-31,83
2024-08-01,83
2024-08-02,83
2024-08-03,82
2024-08-04,84
2024-08-05,83
2024-08-06,78
2024-08-07,81
2024-08-08,79
2024-08-09,85
2024-08-10,86
2024-08-11,85
2024-08-12,83
2024-08-13,81
2024-08-14,85
2024-08-15,87
2024-08-16,83
2024-08-17,87
2024-08-18,84
2024-08-19,82
2024-08-20,83
2024-08-21,85
2024-08-22,85
2024-08-23,83
2024-08-24,83
2024-08-25,94
2024-08-26,85
2024-08-27,87
2024-08-28,87
2024-08-29,84
2024-08-30,84
2024-08-31,82
2024-09-01,88
2024-09-02,85
2024-09-03,80
2024-09-04,86
2024-09-05,82
2024-09-06,85
2024-09-07,84
2024-09-08,88
2024-09-09,84
2024-09-10,85
2024-09-11,85
2024-09-12,86
2024-09-13,78
2024-09-14,82
2024-09-15,87
2024-09-16,86
