Time,chat
2022-01-01,72.0
2022-01-02,77.0
2022-01-03,88.0
2022-01-04,90.0
2022-01-05,88.0
2022-01-06,73.0
2022-01-07,87.0
2022-01-08,84.0
2022-01-09,84.0
2022-01-10,81.0
2022-01-11,81.0
2022-01-12,83.0
2022-01-13,87.0
2022-01-14,68.0
2022-01-15,81.0
2022-01-16,74.0
2022-01-17,66.0
2022-01-18,72.0
2022-01-19,74.0
2022-01-20,82.0
2022-01-21,74.0
2022-01-22,83.0
2022-01-23,76.0
2022-01-24,97.0
2022-01-25,67.0
2022-01-26,75.0
2022-01-27,72.0
2022-01-28,84.0
2022-01-29,81.0
2022-01-30,86.0
2022-01-31,96.0
2022-02-01,81.0
2022-02-02,77.0
2022-02-03,83.0
2022-02-04,86.0
2022-02-05,75.0
2022-02-06,82.0
2022-02-07,85.0
2022-02-08,82.0
2022-02-09,79.0
2022-02-10,73.0
2022-02-11,75.0
2022-02-12,71.0
2022-02-13,80.0
2022-02-14,73.0
2022-02-15,76.0
2022-02-16,78.0
2022-02-17,83.0
2022-02-18,80.0
2022-02-19,79.0
2022-02-20,79.0
2022-02-21,84.0
2022-02-22,82.0
2022-02-23,81.0
2022-02-24,79.0
2022-02-25,79.0
2022-02-26,79.0
2022-02-27,77.0
2022-02-28,81.0
2022-03-01,80.0
2022-03-02,84.0
2022-03-03,77.0
2022-03-04,77.0
2022-03-05,81.0
2022-03-06,77.0
2022-03-07,80.0
2022-03-08,82.0
2022-03-09,79.0
2022-03-10,81.0
2022-03-11,79.0
2022-03-12,80.0
2022-03-13,73.0
2022-03-14,80.0
2022-03-15,74.0
2022-03-16,80.0
2022-03-17,80.0
2022-03-18,81.0
2022-03-19,78.0
2022-03-20,78.0
2022-03-21,77.0
2022-03-22,81.0
2022-03-23,79.0
2022-03-24,78.0
2022-03-25,83.0
2022-03-26,81.0
2022-03-27,82.0
2022-03-28,78.0
2022-03-29,84.0
2022-03-30,81.0
2022-03-31,81.0
2022-04-01,82.0
2022-04-02,84.0
2022-04-03,82.0
2022-04-04,81.0
2022-04-05,81.0
2022-04-06,81.0
2022-04-07,84.0
2022-04-08,86.0
2022-04-09,87.0
2022-04-10,77.0
2022-04-11,87.0
2022-04-12,83.0
2022-04-13,82.0
2022-04-14,85.0
2022-04-15,83.0
2022-04-16,79.0
2022-04-17,77.0
2022-04-18,87.0
2022-04-19,84.0
2022-04-20,85.0
2022-04-21,84.0
2022-04-22,81.0
2022-04-23,87.0
2022-04-24,85.0
2022-04-25,85.0
2022-04-26,81.0
2022-04-27,83.0
2022-04-28,80.0
2022-04-29,80.0
2022-04-30,81.0
2022-05-01,82.0
2022-05-02,83.0
2022-05-03,80.0
2022-05-04,82.0
2022-05-05,80.0
2022-05-06,82.0
2022-05-07,85.0
2022-05-08,80.0
2022-05-09,84.0
2022-05-10,86.0
2022-05-11,86.0
2022-05-12,83.0
2022-05-13,88.0
2022-05-14,81.0
2022-05-15,81.0
2022-05-16,80.0
2022-05-17,85.0
2022-05-18,84.0
2022-05-19,85.0
2022-05-20,80.0
2022-05-21,78.0
2022-05-22,80.0
2022-05-23,84.0
2022-05-24,92.0
2022-05-25,88.0
2022-05-26,86.0
2022-05-27,83.0
2022-05-28,77.0
2022-05-29,80.0
2022-05-30,77.0
2022-05-31,86.0
2022-06-01,87.0
2022-06-02,84.0
2022-06-03,89.0
2022-06-04,85.0
2022-06-05,84.0
2022-06-06,88.0
2022-06-07,88.0
2022-06-08,89.0
2022-06-09,93.0
2022-06-10,89.0
2022-06-11,81.0
2022-06-12,84.0
2022-06-13,84.0
2022-06-14,97.0
2022-06-15,87.0
2022-06-16,88.0
2022-06-17,86.0
2022-06-18,87.0
2022-06-19,80.0
2022-06-20,90.0
2022-06-21,93.0
2022-06-22,94.0
2022-06-23,94.0
2022-06-24,88.0
2022-06-25,86.0
2022-06-26,84.0
2022-06-27,93.0
2022-06-28,91.0
2022-06-29,93.0
2022-06-30,93.0
2022-07-01,88.0
2022-07-02,85.0
2022-07-03,82.0
2022-07-04,82.0
2022-07-05,88.0
2022-07-06,97.0
2022-07-07,92.0
2022-07-08,93.0
2022-07-09,88.0
2022-07-10,85.0
2022-07-11,98.0
2022-07-12,96.0
2022-07-13,97.0
2022-07-14,93.0
2022-07-15,93.0
2022-07-16,89.0
2022-07-17,89.0
2022-07-18,96.0
2022-07-19,97.0
2022-07-20,96.0
2022-07-21,96.0
2022-07-22,89.0
2022-07-23,86.0
2022-07-24,88.0
2022-07-25,95.0
2022-07-26,94.0
2022-07-27,94.0
2022-07-28,98.0
2022-07-29,93.0
2022-07-30,88.0
2022-07-31,91.0
2022-08-01,92.0
2022-08-02,98.0
2022-08-03,94.0
2022-08-04,93.0
2022-08-05,97.0
2022-08-06,86.0
2022-08-07,89.0
2022-08-08,92.0
2022-08-09,91.0
2022-08-10,100.0
2022-08-11,88.0
2022-08-12,88.0
2022-08-13,87.0
2022-08-14,86.0
2022-08-15,93.0
2022-08-16,91.0
2022-08-17,96.0
2022-08-18,93.0
2022-08-19,89.0
2022-08-20,96.0
2022-08-21,92.0
2022-08-22,87.0
2022-08-23,90.0
2022-08-24,93.0
2022-08-25,89.0
2022-08-26,88.0
2022-08-27,86.0
2022-08-28,86.0
2022-08-29,87.9655172413793
2022-08-30,87.9655172413793
2022-08-31,87.9655172413793
2022-09-01,85.5
2022-09-02,81.5344827586207
2022-09-03,86.9655172413793
2022-09-04,84.5
2022-09-05,86.9655172413793
2022-09-06,85.5
2022-09-07,90.43103448275862
2022-09-08,85.5
2022-09-09,87.4655172413793
2022-09-10,85.0
2022-09-11,85.0
2022-09-12,87.9655172413793
2022-09-13,88.4655172413793
2022-09-14,93.39655172413794
2022-09-15,87.9655172413793
2022-09-16,84.0
2022-09-17,86.9655172413793
2022-09-18,84.0
2022-09-19,89.93103448275862
2022-09-20,87.9655172413793
2022-09-21,87.9655172413793
2022-09-22,85.0
2022-09-23,82.0344827586207
2022-09-24,79.56896551724138
2022-09-25,81.0344827586207
2022-09-26,81.5344827586207
2022-09-27,81.5344827586207
2022-09-28,85.0
2022-09-29,82.06896551724138
2022-09-30,85.0
2022-10-01,82.06896551724138
2022-10-02,79.13793103448276
2022-10-03,79.13793103448276
2022-10-04,85.0
2022-10-05,87.93103448275862
2022-10-06,87.93103448275862
2022-10-07,87.93103448275862
2022-10-08,82.06896551724138
2022-10-09,82.06896551724138
2022-10-10,87.93103448275862
2022-10-11,87.93103448275862
2022-10-12,85.0
2022-10-13,90.86206896551724
2022-10-14,85.0
2022-10-15,82.06896551724138
2022-10-16,82.06896551724138
2022-10-17,82.06896551724138
2022-10-18,85.0
2022-10-19,85.0
2022-10-20,85.0
2022-10-21,85.0
2022-10-22,82.06896551724138
2022-10-23,76.20689655172413
2022-10-24,82.06896551724138
2022-10-25,85.0
2022-10-26,85.0
2022-10-27,85.0
2022-10-28,82.06896551724138
2022-10-29,79.13793103448276
2022-10-30,87.93103448275862
2022-10-31,82.06896551724138
2022-11-01,85.0
2022-11-02,87.93103448275862
2022-11-03,85.0
2022-11-04,85.0
2022-11-05,82.06896551724138
2022-11-06,79.13793103448276
2022-11-07,85.0
2022-11-08,82.06896551724138
2022-11-09,79.13793103448276
2022-11-10,90.86206896551724
2022-11-11,85.0
2022-11-12,85.0
2022-11-13,85.0
2022-11-14,85.0
2022-11-15,93.79310344827586
2022-11-16,87.93103448275862
2022-11-17,93.79310344827586
2022-11-18,96.72413793103448
2022-11-19,93.79310344827586
2022-11-20,93.79310344827586
2022-11-21,93.79310344827586
2022-11-22,90.86206896551724
2022-11-23,93.79310344827586
2022-11-24,76.20689655172413
2022-11-25,85.0
2022-11-26,85.0
2022-11-27,93.79310344827586
2022-11-28,90.86206896551724
2022-11-29,87.93103448275862
2022-11-30,85.0
2022-12-01,96.72413793103448
2022-12-02,96.72413793103448
2022-12-03,99.6551724137931
2022-12-04,102.58620689655172
2022-12-05,111.37931034482759
2022-12-06,126.03448275862068
2022-12-07,146.55172413793102
2022-12-08,152.41379310344826
2022-12-09,161.20689655172413
2022-12-10,149.48275862068965
2022-12-11,146.55172413793102
2022-12-12,181.72413793103448
2022-12-13,172.9310344827586
2022-12-14,161.20689655172413
2022-12-15,149.48275862068965
2022-12-16,149.48275862068965
2022-12-17,137.75862068965517
2022-12-18,123.10344827586206
2022-12-19,149.48275862068965
2022-12-20,158.27586206896552
2022-12-21,155.3448275862069
2022-12-22,152.41379310344826
2022-12-23,140.68965517241378
2022-12-24,117.24137931034483
2022-12-25,114.3103448275862
2022-12-26,128.9655172413793
2022-12-27,137.75862068965517
2022-12-28,140.68965517241378
2022-12-29,149.48275862068965
2022-12-30,137.75862068965517
2022-12-31,126.03448275862068
2023-01-01,108.44827586206895
2023-01-02,131.89655172413794
2023-01-03,137.75862068965517
2023-01-04,152.41379310344826
2023-01-05,155.3448275862069
2023-01-06,158.27586206896552
2023-01-07,143.6206896551724
