Time,strands
2022-08-29,51
2022-08-30,51
2022-08-31,54
2022-09-01,42
2022-09-02,54
2022-09-03,43
2022-09-04,43
2022-09-05,42
2022-09-06,51
2022-09-07,59
2022-09-08,55
2022-09-09,57
2022-09-10,44
2022-09-11,50
2022-09-12,59
2022-09-13,55
2022-09-14,65
2022-09-15,52
2022-09-16,55
2022-09-17,51
2022-09-18,51
2022-09-19,61
2022-09-20,63
2022-09-21,58
2022-09-22,63
2022-09-23,63
2022-09-24,48
2022-09-25,55
2022-09-26,66
2022-09-27,60
2022-09-28,62
2022-09-29,61
2022-09-30,59
2022-10-01,42
2022-10-02,57
2022-10-03,65
2022-10-04,68
2022-10-05,65
2022-10-06,61
2022-10-07,69
2022-10-08,50
2022-10-09,56
2022-10-10,63
2022-10-11,71
2022-10-12,61
2022-10-13,68
2022-10-14,69
2022-10-15,49
2022-10-16,49
2022-10-17,69
2022-10-18,76
2022-10-19,73
2022-10-20,71
2022-10-21,64
2022-10-22,46
2022-10-23,60
2022-10-24,78
2022-10-25,76
2022-10-26,78
2022-10-27,79
2022-10-28,69
2022-10-29,48
2022-10-30,45
2022-10-31,76
2022-11-01,67
2022-11-02,73
2022-11-03,79
2022-11-04,79
2022-11-05,55
2022-11-06,66
2022-11-07,78
2022-11-08,73
2022-11-09,77
2022-11-10,84
2022-11-11,76
2022-11-12,58
2022-11-13,64
2022-11-14,85
2022-11-15,86
2022-11-16,74
2022-11-17,87
2022-11-18,71
2022-11-19,52
2022-11-20,59
2022-11-21,72
2022-11-22,62
2022-11-23,57
2022-11-24,43
2022-11-25,47
2022-11-26,53
2022-11-27,78
2022-11-28,80
2022-11-29,88
2022-11-30,92
2022-12-01,81
2022-12-02,94
2022-12-03,94
2022-12-04,91
2022-12-05,100
2022-12-06,94
2022-12-07,92
2022-12-08,93
2022-12-09,94
2022-12-10,63
2022-12-11,64
2022-12-12,91
2022-12-13,81
2022-12-14,81
2022-12-15,76
2022-12-16,69
2022-12-17,60
2022-12-18,50
2022-12-19,66
2022-12-20,56
2022-12-21,48
2022-12-22,40
2022-12-23,41
2022-12-24,35
2022-12-25,27
2022-12-26,36
2022-12-27,38
2022-12-28,43
2022-12-29,41
2022-12-30,41
2022-12-31,38
2023-01-01,33
2023-01-02,41
2023-01-03,49
2023-01-04,50
2023-01-05,54
2023-01-06,62
2023-01-07,40
2023-01-08,43
2023-01-09,65
2023-01-10,64
2023-01-11,77
2023-01-12,74
2023-01-13,73
2023-01-14,45
2023-01-15,41
2023-01-16,47
2023-01-17,73
2023-01-18,72
2023-01-19,81
2023-01-20,71
2023-01-21,46
2023-01-22,56
2023-01-23,88
2023-01-24,81
2023-01-25,75
2023-01-26,84
2023-01-27,73
2023-01-28,43
2023-01-29,49
2023-01-30,85
2023-01-31,76
2023-02-01,81
2023-02-02,79
2023-02-03,89
2023-02-04,54
2023-02-05,54
2023-02-06,85
2023-02-07,99
2023-02-08,87
2023-02-09,94
2023-02-10,76
2023-02-11,49
2023-02-12,54
2023-02-13,82
2023-02-14,81
2023-02-15,92
2023-02-16,89
2023-02-17,83
2023-02-18,50
2023-02-19,55
2023-02-20,57
2023-02-21,83
2023-02-22,83
2023-02-23,87
2023-02-24,80
2023-02-25,47
2023-02-26,56
2023-02-27,93
2023-02-28,85
2023-03-01,98
2023-03-02,92
2023-03-03,83
2023-03-04,55
2023-03-05,63
2023-03-06,93
2023-03-07,89
2023-03-08,90
2023-03-09,95
2023-03-10,78
2023-03-11,60
2023-03-12,50
2023-03-13,74
2023-03-14,75
2023-03-15,75
2023-03-16,84
2023-03-17,68
2023-03-18,42
2023-03-19,48
2023-03-20,83
2023-03-21,80
2023-03-22,81
2023-03-23,90
2023-03-24,86
2023-03-25,53
2023-03-26,52
2023-03-27,77
2023-03-28,77
2023-03-29,82
2023-03-30,86
2023-03-31,74
2023-04-01,53
2023-04-02,43
2023-04-03,75
2023-04-04,75
2023-04-05,68
2023-04-06,66
2023-04-07,54
2023-04-08,50
2023-04-09,46
2023-04-10,73
2023-04-11,71
2023-04-12,74
2023-04-13,78
2023-04-14,69
2023-04-15,47
2023-04-16,53
2023-04-17,79
2023-04-18,78
2023-04-19,73
2023-04-20,76
2023-04-21,73
2023-04-22,49
2023-04-23,51
2023-04-24,82
2023-04-25,70
2023-04-26,80
2023-04-27,75
2023-04-28,70
2023-04-29,47
2023-04-30,52
2023-05-01,73
2023-05-02,75
2023-05-03,72
2023-05-04,72
2023-05-05,65
2023-05-06,45
2023-05-07,38
2023-05-08,68
2023-05-09,69
2023-05-10,68
2023-05-11,65
2023-05-12,60
2023-05-13,46
2023-05-14,42
2023-05-15,58
2023-05-16,54
2023-05-17,66
2023-05-18,54
2023-05-19,56
2023-05-20,45
2023-05-21,51
2023-05-22,53
2023-05-23,58
2023-05-24,61
2023-05-25,57
