Time,strands
2025-04-15,77
2025-04-16,68
2025-04-17,100
2025-04-18,61
2025-04-19,72
2025-04-20,56
2025-04-21,63
2025-04-22,68
2025-04-23,71
2025-04-24,71
2025-04-25,72
2025-04-26,54
2025-04-27,57
2025-04-28,62
2025-04-29,99
2025-04-30,82
2025-05-01,57
2025-05-02,61
2025-05-03,51
2025-05-04,57
2025-05-05,56
2025-05-06,68
2025-05-07,68
2025-05-08,69
2025-05-09,69
2025-05-10,61
2025-05-11,52
2025-05-12,72
2025-05-13,71
2025-05-14,66
2025-05-15,60
2025-05-16,64
2025-05-17,64
2025-05-18,56
2025-05-19,64
2025-05-20,62
2025-05-21,65
2025-05-22,69
2025-05-23,69
2025-05-24,55
2025-05-25,72
2025-05-26,76
2025-05-27,78
2025-05-28,58
2025-05-29,58
2025-05-30,56
2025-05-31,48
2025-06-01,54
2025-06-02,56
2025-06-03,65
2025-06-04,69
2025-06-05,61
2025-06-06,68
2025-06-07,62
2025-06-08,53
2025-06-09,58
2025-06-10,59
2025-06-11,64
2025-06-12,48
2025-06-13,45
2025-06-14,51
2025-06-15,52
2025-06-16,62
2025-06-17,68
2025-06-18,62
2025-06-19,54
2025-06-20,55
2025-06-21,61
2025-06-22,54
2025-06-23,51
2025-06-24,49
2025-06-25,41
2025-06-26,44
2025-06-27,48
2025-06-28,55
2025-06-29,59
2025-06-30,54
2025-07-01,52
2025-07-02,48
2025-07-03,49
2025-07-04,49
2025-07-05,49
2025-07-06,60
2025-07-07,60
2025-07-08,53
2025-07-09,50
2025-07-10,46
2025-07-11,54
2025-07-12,54
2025-07-13,54
2025-07-14,53
2025-07-15,50
2025-07-16,51
2025-07-17,50
2025-07-18,56
2025-07-19,51
2025-07-20,48
2025-07-21,53
2025-07-22,52
2025-07-23,48
2025-07-24,46
2025-07-25,57
2025-07-26,53
2025-07-27,60
2025-07-28,53
2025-07-29,52
2025-07-30,57
2025-07-31,47
2025-08-01,48
2025-08-02,56
2025-08-03,53
2025-08-04,46
2025-08-05,45
2025-08-06,43
2025-08-07,45
2025-08-08,61
2025-08-09,57
2025-08-10,53
2025-08-11,59
2025-08-12,60
2025-08-13,57
2025-08-14,56
2025-08-15,52
2025-08-16,53
2025-08-17,54
2025-08-18,56
2025-08-19,67
2025-08-20,69
2025-08-21,55
2025-08-22,55
2025-08-23,46
2025-08-24,56
2025-08-25,50
2025-08-26,56
2025-08-27,52
2025-08-28,62
2025-08-29,57
2025-08-30,47
2025-08-31,46
2025-09-01,51
2025-09-02,51
2025-09-03,84
2025-09-04,72
2025-09-05,52
2025-09-06,65
2025-09-07,69
2025-09-08,64
2025-09-09,54
2025-09-10,49
2025-09-11,56
2025-09-12,58
2025-09-13,58
2025-09-14,51
2025-09-15,60
2025-09-16,62
2025-09-17,56
2025-09-18,52
2025-09-19,54
2025-09-20,48
2025-09-21,47
2025-09-22,63
2025-09-23,51
2025-09-24,51
2025-09-25,63
2025-09-26,54
2025-09-27,51
2025-09-28,44
2025-09-29,51
2025-09-30,55
2025-10-01,54
2025-10-02,53
2025-10-03,49
2025-10-04,52
2025-10-05,55
2025-10-06,50
2025-10-07,60
2025-10-08,55
2025-10-09,61
2025-10-10,53
2025-10-11,51
2025-10-12,52
2025-10-13,54
2025-10-14,62
2025-10-15,54
2025-10-16,56
2025-10-17,73
2025-10-18,59
2025-10-19,49
2025-10-20,57
2025-10-21,58
2025-10-22,55
2025-10-23,70
2025-10-24,58
2025-10-25,50
2025-10-26,54
2025-10-27,65
2025-10-28,65
2025-10-29,66
2025-10-30,68
2025-10-31,63
2025-11-01,47
2025-11-02,46
2025-11-03,54
2025-11-04,52
2025-11-05,61
2025-11-06,60
2025-11-07,87
2025-11-08,62
2025-11-09,56
2025-11-10,61
2025-11-11,50
2025-11-12,57
2025-11-13,59
2025-11-14,68
2025-11-15,50
2025-11-16,57
2025-11-17,62
2025-11-18,61
2025-11-19,62
2025-11-20,61
2025-11-21,59
2025-11-22,49
2025-11-23,52
2025-11-24,60
2025-11-25,60
2025-11-26,58
2025-11-27,46
2025-11-28,52
2025-11-29,49
2025-11-30,55
2025-12-01,53
2025-12-02,55
2025-12-03,60
2025-12-04,63
2025-12-05,61
2025-12-06,49
2025-12-07,48
2025-12-08,53
2025-12-09,55
2025-12-10,54
2025-12-11,68
2025-12-12,59
2025-12-13,61
2025-12-14,46
2025-12-15,62
2025-12-16,57
2025-12-17,57
2025-12-18,56
2025-12-19,54
2025-12-20,47
2025-12-21,39
2025-12-22,51
2025-12-23,44
2025-12-24,45
2025-12-25,43
2025-12-26,48
2025-12-27,48
2025-12-28,44
2025-12-29,41
2025-12-30,66
2025-12-31,61
2026-01-01,48
2026-01-02,44
2026-01-03,56
2026-01-04,61
2026-01-05,53
2026-01-06,54
2026-01-07,51
2026-01-08,57
2026-01-09,54
