Time,giants
2023-12-22,10
2023-12-23,10
2023-12-24,15
2023-12-25,73
2023-12-26,56
2023-12-27,10
2023-12-28,9
2023-12-29,10
2023-12-30,9
2023-12-31,42
2024-01-01,13
2024-01-02,8
2024-01-03,8
2024-01-04,8
2024-01-05,9
2024-01-06,10
2024-01-07,53
2024-01-08,39
2024-01-09,11
2024-01-10,10
2024-01-11,9
2024-01-12,9
2024-01-13,10
2024-01-14,9
2024-01-15,10
2024-01-16,9
2024-01-17,8
2024-01-18,7
2024-01-19,7
2024-01-20,9
2024-01-21,10
2024-01-22,9
2024-01-23,7
2024-01-24,7
2024-01-25,7
2024-01-26,7
2024-01-27,7
2024-01-28,10
2024-01-29,9
2024-01-30,7
2024-01-31,7
2024-02-01,19
2024-02-02,9
2024-02-03,7
2024-02-04,8
2024-02-05,7
2024-02-06,7
2024-02-07,7
2024-02-08,7
2024-02-09,7
2024-02-10,7
2024-02-11,9
2024-02-12,9
2024-02-13,8
2024-02-14,8
2024-02-15,7
2024-02-16,7
2024-02-17,7
2024-02-18,8
2024-02-19,7
2024-02-20,7
2024-02-21,7
2024-02-22,7
2024-02-23,8
2024-02-24,10
2024-02-25,9
2024-02-26,9
2024-02-27,8
2024-02-28,8
2024-02-29,8
2024-03-01,8
2024-03-02,10
2024-03-03,10
2024-03-04,9
2024-03-05,9
2024-03-06,8
2024-03-07,8
2024-03-08,9
2024-03-09,10
2024-03-10,10
2024-03-11,19
2024-03-12,20
2024-03-13,13
2024-03-14,11
2024-03-15,10
2024-03-16,11
2024-03-17,10
2024-03-18,10
2024-03-19,11
2024-03-20,10
2024-03-21,9
2024-03-22,9
2024-03-23,10
2024-03-24,10
2024-03-25,9
2024-03-26,9
2024-03-27,10
2024-03-28,16
2024-03-29,13
2024-03-30,20
2024-03-31,21
2024-04-01,11
2024-04-02,19
2024-04-03,18
2024-04-04,16
2024-04-05,15
2024-04-06,13
2024-04-07,21
2024-04-08,10
2024-04-09,15
2024-04-10,16
2024-04-11,9
2024-04-12,10
2024-04-13,13
2024-04-14,13
2024-04-15,10
2024-04-16,12
2024-04-17,12
2024-04-18,11
2024-04-19,17
2024-04-20,24
2024-04-21,17
2024-04-22,10
2024-04-23,15
2024-04-24,18
2024-04-25,13
2024-04-26,24
2024-04-27,33
2024-04-28,25
2024-04-29,11
2024-04-30,11
2024-05-01,11
2024-05-02,12
2024-05-03,12
2024-05-04,15
2024-05-05,17
2024-05-06,17
2024-05-07,10
2024-05-08,11
2024-05-09,15
2024-05-10,10
2024-05-11,15
2024-05-12,19
2024-05-13,12
2024-05-14,18
2024-05-15,19
2024-05-16,24
2024-05-17,13
2024-05-18,20
2024-05-19,15
2024-05-20,10
2024-05-21,11
2024-05-22,12
2024-05-23,16
2024-05-24,11
2024-05-25,19
2024-05-26,15
2024-05-27,16
2024-05-28,11
2024-05-29,21
2024-05-30,11
2024-05-31,10
2024-06-01,19
2024-06-02,27
2024-06-03,11
2024-06-04,13
2024-06-05,18
2024-06-06,10
2024-06-07,9
2024-06-08,16
2024-06-09,16
2024-06-10,10
2024-06-11,15
2024-06-12,18
2024-06-13,11
2024-06-14,10
2024-06-15,20
2024-06-16,17
2024-06-17,10
2024-06-18,14
2024-06-19,20
2024-06-20,14
2024-06-21,16
2024-06-22,13
2024-06-23,13
2024-06-24,10
2024-06-25,14
2024-06-26,13
2024-06-27,19
2024-06-28,11
2024-06-29,23
2024-06-30,28
2024-07-01,11
2024-07-02,11
2024-07-03,16
2024-07-04,16
2024-07-05,15
2024-07-06,17
2024-07-07,15
2024-07-08,10
2024-07-09,11
2024-07-10,18
2024-07-11,19
2024-07-12,11
2024-07-13,18
2024-07-14,19
2024-07-15,10
2024-07-16,8
2024-07-17,10
2024-07-18,9
2024-07-19,10
2024-07-20,14
2024-07-21,15
2024-07-22,10
2024-07-23,15
2024-07-24,18
2024-07-25,26
2024-07-26,12
2024-07-27,19
2024-07-28,25
2024-07-29,12
2024-07-30,15
2024-07-31,17
2024-08-01,14
2024-08-02,11
2024-08-03,18
2024-08-04,21
2024-08-05,12
2024-08-06,15
2024-08-07,15
2024-08-08,30
2024-08-09,30
2024-08-10,23
2024-08-11,19
2024-08-12,12
2024-08-13,18
2024-08-14,18
2024-08-15,20
2024-08-16,12
2024-08-17,30
2024-08-18,24
2024-08-19,13
2024-08-20,16
2024-08-21,19
2024-08-22,11
2024-08-23,10
2024-08-24,28
2024-08-25,30
2024-08-26,12
2024-08-27,13
2024-08-28,16
2024-08-29,18
2024-08-30,13
2024-08-31,17
2024-09-01,20
2024-09-02,14
2024-09-03,11
2024-09-04,16
2024-09-05,21
2024-09-06,14
2024-09-07,23
2024-09-08,100
2024-09-09,31
2024-09-10,16
2024-09-11,14
2024-09-12,16
2024-09-13,15
2024-09-14,17
2024-09-15,77
2024-09-16,24
